Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
CanPurg_rOpCanPurgReq|uint8|HEADER|1|0|0|CanPurg_rOpCanPurgReq|0|0|Phys|-|1|1/256|0|Divers|Divers||CanPurg_rOpCanPurgReq||1||||||||0|1||||1|0|0||0|0|255|0|0.99609375|0|
CoEs_bAcvClsCanPurgSTTEs|boolean|COES|1|0|0|CoEs_bAcvClsCanPurgSTTEs|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoEs_bAcvClsCanPurgSTTEs||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoEs_bAcvClsCanPurgSTTEs_C|boolean|COES|1|0|0|CoEs_bAcvClsCanPurgSTTEs_C|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoEs_bAcvClsCanPurgSTTEs_C||2|||||||PTS_DOC_5660023|1|1||||1|0|0|Booléen d'activation de la commande de fermeture de la vanne canister sur un arrêt moteur STT|0|0|1|0|1|0|
CoEs_bAcvIgCutOffSTTEs|boolean|COES|1|0|0|CoEs_bAcvIgCutOffSTTEs|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoEs_bAcvIgCutOffSTTEs||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoEs_bAcvIgCutOffSTTEs_C|boolean|COES|1|0|0|CoEs_bAcvIgCutOffSTTEs_C|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoEs_bAcvIgCutOffSTTEs_C||2|||||||PTS_DOC_5660023|1|1||||1|0|0|Booléen d'activation de la commande de coupure allumage sur un arrêt moteur STT|0|0|1|0|1|0|
CoEs_bAcvIgSysSTTEs|boolean|COES|1|0|0|CoEs_bAcvIgSysSTTEs|0|0|Phys|bool|2|0||Divers|Divers||CoEs_bAcvIgSysSTTEs||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoEs_bAcvIgSysSTTEs_C|boolean|COES|1|0|0|CoEs_bAcvIgSysSTTEs_C|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoEs_bAcvIgSysSTTEs_C||2|||||||PTS_DOC_5660023|1|1||||1|0|0|Booléen d'activation de la commande d'avance sur un arrêt moteur STT|0|0|1|0|1|0|
CoEs_bAcvInjCutOffSTTEs|boolean|COES|1|0|0|CoEs_bAcvInjCutOffSTTEs|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoEs_bAcvInjCutOffSTTEs||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoEs_bAcvInjCutOffSTTEs_C|boolean|COES|1|0|0|CoEs_bAcvInjCutOffSTTEs_C|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoEs_bAcvInjCutOffSTTEs_C||2|||||||PTS_DOC_5660023|1|1||||1|0|0|Booléen d'activation de la commande de coupure injection sur un arrêt moteur STT|0|0|1|0|1|0|
CoEs_bAcvIntrCdnEngRun_C|boolean|COES|1|0|0|CoEs_bAcvIntrCdnEngRun_C|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoEs_bAcvIntrCdnEngRun_C||2|||||||PTS_DOC_5660023|1|1||||1|0|0|Activation bit for the reset of cut-off sequence strategies based on "engine running" state|0|0|1|0|1|0|
CoEs_bAcvIntrCdnNStall_C|boolean|COES|1|0|0|CoEs_bAcvIntrCdnNStall_C|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoEs_bAcvIntrCdnNStall_C||2|||||||PTS_DOC_5660023|1|1||||1|0|0|Booléen d'activation du reset des stratégies d'interruption de séquence d'arrêt en cas d'échec|0|0|1|0|1|0|
CoEs_bAcvIntrSTTEs_C|boolean|COES|1|0|0|CoEs_bAcvIntrSTTEs_C|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoEs_bAcvIntrSTTEs_C||2|||||||PTS_DOC_5660023|1|1||||1|0|0|Booléen d'activation de la zone d'interruption de la séquence d'arrêt|0|0|1|0|1|0|
CoEs_bAcvOilPmpSysSTTEs|boolean|COES|1|0|0|CoEs_bAcvOilPmpSysSTTEs|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoEs_bAcvOilPmpSysSTTEs||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoEs_bAcvOilPmpSysSTTEs_C|boolean|COES|1|0|0|CoEs_bAcvOilPmpSysSTTEs_C|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoEs_bAcvOilPmpSysSTTEs_C||2|||||||PTS_DOC_5660023|1|1||||1|0|0|Booléen d'activation de la commande de la pression d'huile sur un arrêt moteur STT|0|0|1|0|1|0|
CoEs_bAcvThrSysSTTEs|boolean|COES|1|0|0|CoEs_bAcvThrSysSTTEs|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoEs_bAcvThrSysSTTEs||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoEs_bAcvThrSysSTTEs_C|boolean|COES|1|0|0|CoEs_bAcvThrSysSTTEs_C|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoEs_bAcvThrSysSTTEs_C||2|||||||PTS_DOC_5660023|1|1||||1|0|0|Booléen d'activation de la commande de position papillon sur un arrêt moteur STT|0|0|1|0|1|0|
CoEs_bAcvVlvSysLockPosnSTTEs|boolean|COES|1|0|0|CoEs_bAcvVlvSysLockPosnSTTEs|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoEs_bAcvVlvSysLockPosnSTTEs||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoEs_bAcvVlvSysLockPosnSTTEs_C|boolean|COES|1|0|0|CoEs_bAcvVlvSysLockPosnSTTEs_C|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoEs_bAcvVlvSysLockPosnSTTEs_C||2|||||||PTS_DOC_5660023|1|1||||1|0|0|Booléen d'activation de la commande des vanos sur leur position de référence de vérouillage sur un arrêt moteur STT|0|0|1|0|1|0|
CoEs_bAcvVlvSysLockPosnSTTEs_MP|boolean|COES|0|0|0|CoEs_bAcvVlvSysLockPosnSTTEs_MP|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoEs_bAcvVlvSysLockPosnSTTEs_MP||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoEs_bAcvVlvSysRiseSTTEs|boolean|COES|1|0|0|CoEs_bAcvVlvSysRiseSTTEs|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoEs_bAcvVlvSysRiseSTTEs||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoEs_bAcvVlvSysRiseSTTEs_C|boolean|COES|1|0|0|CoEs_bAcvVlvSysRiseSTTEs_C|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoEs_bAcvVlvSysRiseSTTEs_C||2|||||||PTS_DOC_5660023|1|1||||1|0|0|Booléen d'activation de la commande de position de la levée de soupape sur un arrêt moteur STT|0|0|1|0|1|0|
CoEs_bCdnExVlvLockPosn_C|boolean|COES|1|0|0|CoEs_bCdnExVlvLockPosn_C|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoEs_bCdnExVlvLockPosn_C||2|||||||PTS_DOC_5660023|1|1||||1|0|0|Booléen activant la condition de positionnement du VVT échappement sur sa position de référence de vérouillage pour pousuivre un arrêt moteur STT|0|0|1|0|1|0|
CoEs_bCdnInVlvLockPosn_C|boolean|COES|1|0|0|CoEs_bCdnInVlvLockPosn_C|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoEs_bCdnInVlvLockPosn_C||2|||||||PTS_DOC_5660023|1|1||||1|0|0|Booléen activant la condition de positionnement du VVT admission sur sa position de référence de vérouillage pour pousuivre un arrêt moteur STT|0|0|1|0|1|0|
CoEs_bCfCdnIntrSTT_C|boolean|COES|1|0|0|CoEs_bCfCdnIntrSTT_C|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoEs_bCfCdnIntrSTT_C||2|||||||PTS_DOC_5660023|1|1||||1|0|0|Booléen de configuration pour le calcul de la condition d'interruption de la séquence d'arrêt|0|0|1|0|1|0|
CoEs_bCfNEngIntrSTTEs_C|boolean|COES|1|0|0|CoEs_bCfNEngIntrSTTEs_C|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoEs_bCfNEngIntrSTTEs_C||2|||||||PTS_DOC_5660023|1|1||||1|0|0|Configuration bit for selection of engine speed information|0|0|1|0|1|0|
CoEs_bCmdActrSTTEs|boolean|COES|0|0|0|CoEs_bCmdActrSTTEs|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoEs_bCmdActrSTTEs||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoEs_bCndEngHiLim_MP|boolean|COES|0|0|0|CoEs_bCndEngHiLim_MP|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoEs_bCndEngHiLim_MP||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoEs_bCndEngLoLim_MP|boolean|COES|0|0|0|CoEs_bCndEngLoLim_MP|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoEs_bCndEngLoLim_MP||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
COES_bCoPTStEngRunPrev|boolean|COES|0|0|0|COES_bCoPTStEngRunPrev|0|0|Phys|bool|2|0||Divers|Divers||COES_bCoPTStEngRunPrev||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoEs_bCutActrSTTEs|boolean|COES|0|0|0|CoEs_bCutActrSTTEs|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoEs_bCutActrSTTEs||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoEs_bCutOffIgSTTEs|boolean|COES|0|0|0|CoEs_bCutOffIgSTTEs|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoEs_bCutOffIgSTTEs||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
COES_bCutOffSeqInterrupRS|boolean|COES|0|0|0|COES_bCutOffSeqInterrupRS|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||COES_bCutOffSeqInterrupRS||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoEs_bDeacCdnCanPurg_C|boolean|COES|1|0|0|CoEs_bDeacCdnCanPurg_C|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoEs_bDeacCdnCanPurg_C||2|||||||PTS_DOC_5660023|1|1||||1|0|0|Booléen de désactivation de la condition sur la vanne canister pour pousuivre un arrêt moteur STT|0|0|1|0|1|0|
CoEs_bDlyCanPurgCls|boolean|COES|0|0|0|CoEs_bDlyCanPurgCls|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoEs_bDlyCanPurgCls||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
