Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval
CoEmCkg_stStrtRstrtFbCmd|uint8|HEADER|1|0|0|CoEmCkg_stStrtRstrtFbCmd|0|0|Phys|-|1|1|0|Divers|Divers||CoEmCkg_stStrtRstrtFbCmd||1||||||||0|1||||1|0|0||0|0|3|0|3|0
CoSync_agEng_MP|uint8|COSYNC|0|0|0|CoSync_agEng_MP|0|0|Phys|°vil|1|6|0|Divers|Divers||CoSync_agEng_MP||1||||||||0|1||||1|0|0||0|0|120|0|720|0
CoSync_agEs|uint16|COSYNC|1|0|0|CoSync_agEs|0|0|Phys|°vil|1|1|0|Divers|Divers||CoSync_agEs||1||||||||0|1||||1|0|0||0|0|720|0|720|0
CoSync_agNearMissCgt_C|uint8|COSYNC|1|0|0|CoSync_agNearMissCgt_C|0|0|Phys|°vil|1|6|0|Divers|Divers||CoSync_agNearMissCgt_C||2|||||||V02 NT 10 02290|1|1||||1|0|0|Angle de tolérance définissant la zone singularité.|0|0|30|0|180|0
CoSync_agNearTDC_C|uint8|COSYNC|1|0|0|CoSync_agNearTDC_C|0|0|Phys|°vil|1|6|0|Divers|Divers||CoSync_agNearTDC_C||2|||||||V02 NT 10 02290|1|1||||1|0|0|Angle de tolérance définissant la zone PMH|0|0|30|0|180|0
CoSync_agUncrtEs|uint8|COSYNC|1|0|0|CoSync_agUncrtEs|0|0|Phys|°vil|1|1|0|Divers|Divers||CoSync_agUncrtEs||1||||||||0|1||||1|0|0||0|0|90|0|90|0
CoSync_bAcvCalcDetEs|boolean|COSYNC|0|0|0|CoSync_bAcvCalcDetEs|0|0|Phys|bool|2|0||Divers|Divers||CoSync_bAcvCalcDetEs||1||||||||0|1||||1|0|0||0|0|1|0|1|0
CoSync_bAcvCalcDgoPosEs|boolean|COSYNC|0|0|0|CoSync_bAcvCalcDgoPosEs|0|0|Phys|bool|2|0||Divers|Divers||CoSync_bAcvCalcDgoPosEs||1||||||||0|1||||1|0|0||0|0|1|0|1|0
CoSync_bAcvCalcStuckEng|boolean|COSYNC|0|0|0|CoSync_bAcvCalcStuckEng|0|0|Phys|bool|2|0||Divers|Divers||CoSync_bAcvCalcStuckEng||1||||||||0|1||||1|0|0||0|0|1|0|1|0
CoSync_bAcvDetEs_C|boolean|COSYNC|1|0|0|CoSync_bAcvDetEs_C|0|0|Phys|bool|2|0||Divers|Divers||CoSync_bAcvDetEs_C||2|||||||V02 NT 10 02290|1|1||||1|0|0|Activation du calcul de détection d'arrêt moteur|0|0|1|0|1|0
CoSync_bAcvDetEsIni|boolean|COSYNC|0|0|0|CoSync_bAcvDetEsIni|0|0|Phys|bool|2|0||Divers|Divers||CoSync_bAcvDetEsIni||1||||||||0|1||||1|0|0||0|0|1|0|1|0
CoSync_bAcvDgoPosEs_C|boolean|COSYNC|1|0|0|CoSync_bAcvDgoPosEs_C|0|0|Phys|bool|2|0||Divers|Divers||CoSync_bAcvDgoPosEs_C||2|||||||V02 NT 10 02290|1|1||||1|0|0|Activation ou pas du calcul du diagnostic sur la position d'arrêt moteur|0|0|1|0|1|0
CoSync_bAcvDgoPosEsIni|boolean|COSYNC|0|0|0|CoSync_bAcvDgoPosEsIni|0|0|Phys|bool|2|0||Divers|Divers||CoSync_bAcvDgoPosEsIni||1||||||||0|1||||1|0|0||0|0|1|0|1|0
CoSync_bAcvElSys|boolean|COSYNC|0|0|0|CoSync_bAcvElSys|0|0|Phys|bool|2|0||Divers|Divers||CoSync_bAcvElSys||1||||||||0|1||||1|0|0||0|0|1|0|1|0
CoSync_bAcvForc0Sync_C|boolean|COSYNC|1|0|0|CoSync_bAcvForc0Sync_C|0|0|Phys|bool|2|0||Divers|Divers||CoSync_bAcvForc0Sync_C||2|||||||V02 NT 10 02290|1|1||||1|0|0|Information permettant de désactiver la variable CoSync_bForcEngNotSync|0|0|1|0|1|0
