Name|Type|Requirement
ENGIDLEINTERFACE_vidBoucleStruct|1|VEMS_R_10_04614_002.01
ENGIDLEINTERFACE_vidSelGainRegul|1|VEMS_R_10_04614_003.01
IdlSys_bAcvStrtTqSys|0|VEMS_R_10_04614_001.02
IdlSys_idxIdlCtlMod|0|VEMS_R_10_04614_001.02
IdlSys_tqIdcIdlMax|0|VEMS_R_10_04614_001.02
IdlSys_tqIdcIdlMin|0|VEMS_R_10_04614_001.02
IdlSys_tqOfsIdlMax_C|0|VEMS_R_10_04614_001.02
IdlSys_tqOfsIdlMin_C|0|VEMS_R_10_04614_001.02
IdlSys_tqSatIdlMax_C|0|VEMS_R_10_04614_001.02
IdlSys_tqSatIdlMin_C|0|VEMS_R_10_04614_001.02
IdlSys_bTqMinSel_C|0|VEMS_R_10_04614_001.02
ENGIDLEINTERFACE_vidCalcCouples|1|VEMS_R_10_04614_004.02
ENGIDLEINTERFACE_vidEntryInit|1|VEMS_R_10_04614_001.02
IdlSys_EveSync_GslIdlCtl|1|VEMS_R_10_04614_001.02
