Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
CoPt_bAcvTqMaxEstimSIP|boolean|HEADER|1|0|0|CoPt_bAcvTqMaxEstimSIP|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoPt_bAcvTqMaxEstimSIP||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoPt_tqEfcAirMaxEstim|sint16|HEADER|1|0|0|CoPt_tqEfcAirMaxEstim|0|0|Phys|N.m|1|1/16|0|Structure Couple|Structure Couple||CoPt_tqEfcAirMaxEstim||1||||||||0|1||||1|0|0||0|-32000|32000|-2000|2000|0|
CoPt_tqEfcMaxProtDftl|sint16|HEADER|1|0|0|CoPt_tqEfcMaxProtDftl|0|0|Phys|N.m|1|1/16|0|Structure Couple|Structure Couple||CoPt_tqEfcMaxProtDftl||1||||||||0|1||||1|0|0||0|-32000|32000|-2000|2000|0|
CoPt_tqMaxGBxAir|sint16|HEADER|1|0|0|CoPt_tqMaxGBxAir|0|0|Phys|N.m|1|1/16|0|Structure Couple|Structure Couple||CoPt_tqMaxGBxAir||1||||||||0|1||||1|0|0||0|-32000|32000|-2000|2000|0|
EngLim_bLimDynSel_C|boolean|ENGLIMEFCCORD|1|0|0|EngLim_bLimDynSel_C|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||EngLim_bLimDynSel_C||2|||||||V02 NT 10 03267|1|1||||1|0|0|Flag de configuration de la prise en compte de la limitation dynamique sur la branche air|0|0|1|0|1|0|
EngLim_bProtDfltChaSel_C|boolean|ENGLIMEFCCORD|1|0|0|EngLim_bProtDfltChaSel_C|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||EngLim_bProtDfltChaSel_C||2|||||||V02 NT 10 03267|1|1||||1|0|0|Flag de configuration de la prise en compte de la limitation différentiel pour les couples ESP|0|0|1|0|1|0|
EngLim_bProtDfltModSptSel_C|boolean|ENGLIMEFCCORD|1|0|0|EngLim_bProtDfltModSptSel_C|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||EngLim_bProtDfltModSptSel_C||2|||||||V02 NT 10 03267|1|1||||1|0|0|Flag de configuration de la prise en compte de la limitation différentiel pour le mode sport|0|0|1|0|1|0|
EngLim_bSmkLimDrivFil_C|boolean|ENGLIMEFCCORD|1|0|0|EngLim_bSmkLimDrivFil_C|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||EngLim_bSmkLimDrivFil_C||2|||||||V02 NT 10 03267|1|1||||1|0|0|Booléen de conf pour le choix d'application de la limitation fumée dans la limitation préventif|0|0|1|0|1|0|
EngLim_idxChaLim_C|uint8|ENGLIMEFCCORD|1|0|0|EngLim_idxChaLim_C|0|0|Phys|-|1|1|0|Structure Couple|Structure Couple||EngLim_idxChaLim_C||2|||||||V02 NT 10 03267|1|1||||1|0|0|Octet de configuration pour le choix des couples limitations à  intégrer pour la fonction ESP|0|0|255|0|255|0|
EngLim_idxCoPtLim_C|uint8|ENGLIMEFCCORD|1|0|0|EngLim_idxCoPtLim_C|0|0|Phys|-|1|1|0|Structure Couple|Structure Couple||EngLim_idxCoPtLim_C||2|||||||V02 NT 10 03267|1|1||||1|0|0|Octet de configuration pour le choix des couples limitations à intégrer pour la fonction BVA/BVMP|0|0|255|0|255|0|
