Name|Type|Requirement
MATHSRV_u16Mul_u16_u16_div_u16|1|MFX047
Mfx_RDiv_s32s32_s32|1|MFX033
MATHSRV_s16Mul_s16_u16_div_s16|1|MFX047
Mfx_RDiv_u32u32_u32|1|MFX033
Mfx_RMulDiv_u32s32s32_s32|1|MFX047
Mfx_RMulDiv_u32s32u32_s32|1|MFX047
Mfx_RMulDiv_u32u32u32_u32|1|MFX047
MATHSRV_u32Mul_s32_s32|1|MFX022
MATHSRV_s32Mul_s32_u16|1|MFX022
MATHSRV_u32Mul_u32_u32_div_s32|1|MFX047
MATHSRV_u32Sub_u32_u32|1|MFX010
Mfx_RMulDiv_s32s32s32_s32|1|MFX047
Mfx_RMulDiv_u16s16u16_u16|1|MFX047
Mfx_Add_s32s32_s32|1|MFX006
Mfx_Mul_s32u32_u32|1|MFX022
Mfx_RDiv_u32s32_u32|1|MFX033
Mfx_Add_u32u32_u32|1|MFX006
Mfx_RMulDiv_u32u32s32_u32|1|MFX047
MATHSRV_u16FirstOrderFilterGu16|1|VEMS_R_08_02127_037
MATHSRV_s16Div_s32_u32|1|MFX033
MATHSRV_s32Mul_s32_s32_div_u32|1|MFX047
MATHSRV_u32Div_s32_s32|1|MFX033
MATHSRV_u32Sub_s32_u32|1|MFX010
MATHSRV_u32Add_u32_u32|1|MFX006
MATHSRV_u32Div_u32_s32|1|MFX033
MATHSRV_s16FirstOrderFilterGu8|1|VEMS_R_08_02127_106
Mfx_RMulDiv_u16s16s16_u16|1|MFX047
MATHSRV_s16Mul_s16_s16_div_s16|1|MFX047
Mfx_Mul_s32s32_u32|1|MFX022
MATHSRV_s32Div_s32_u32|1|MFX033
MATHSRV_s32Sub_s32_s32|1|MFX010
MATHSRV_s32Sub_u32_s32|1|MFX010
Mfx_Add_u32s32_u32|1|MFX006
MATHSRV_s32Mul_u32_s32_div_u32|1|MFX047
Mfx_Sub_s32u32_s32|1|MFX010
Mfx_Sub_u32u32_u32|1|MFX010
MATHSRV_u16Interp1d|1|VEMS_R_08_02127_014
MATHSRV_u32Mul_u32_s32_div_s32|1|MFX047
EngLim_tqCkEfcATLimCordEngLim|0|VEMS_R_10_03267_001.02
MATHSRV_u8Interp2d|1|VEMS_R_08_02127_033
EngLim_tqCkEfcAirLim|0|VEMS_R_10_03267_001.03
