Name|Type|Requirement
EngReqH_tiInhEngStopDmgMTrb_C|0|VEMS_R_09_05960_001.02
EngReqH_tiInhEngStopThrSys_C|0|VEMS_R_09_05960_001.02
EngReqH_bEngStopAuth|0|VEMS_R_09_05960_001.02
EngReqH_stTiEngStopInh|0|VEMS_R_09_05960_001.02
ENGREQH_vidPartieFonctionTempAir|1|VEMS_R_09_05960_013.01
ENGREQH_vidPartieDisfoncTempEau|1|VEMS_R_09_05960_005.01
ENGREQH_vidPartieDisfonTempHuile|1|VEMS_R_09_05960_008.01
EngReqH_tiThdAuthTrbProt_C|0|VEMS_R_09_05960_001.03
EngReqH_tqAddEngRStrtReq_M|0|VEMS_R_09_05960_001.03
EngReqH_tqEngRstrtReqInvld_C|0|VEMS_R_09_05960_001.03
EngReqH_tqEngRstrtReq_M|0|VEMS_R_09_05960_001.03
EngReqH_tqForcEngRStrtReq_C|0|VEMS_R_09_05960_001.03
EngReqH_bAuthStopSTTTrbProt|0|VEMS_R_09_05960_001.03
EngReqH_bInhCanPurg|0|VEMS_R_09_05960_001.03
EngReqH_bInhLrnAFA|0|VEMS_R_09_05960_001.03
ENGREQH_vidCalcDelaiAutStopTurbo|1|VEMS_R_09_05960_002.03
ENGREQH_vidCalcDelaiAutStopTurbo|1|VEMS_R_09_05960_019.02
ENGREQH_vidCalcDelaiAutStopTurbo|1|VEMS_R_09_05960_024.02
EngReqH_bDeacInhEngStopDmgMTrb_C|0|VEMS_R_09_05960_001.02
EngReqH_tqOfsEngRstrtReq_M|0|VEMS_R_09_05960_001.03
ENGREQH_vidCalcIncrePalierTurb|1|VEMS_R_09_05960_022.03
ENGREQH_vidCalculDuCouple|1|VEMS_R_09_05960_036.02
ENGREQH_vidCalculRegimeTurbine|1|VEMS_R_09_05960_021.03
EngReqH_tiInhEngStopDft_C|0|VEMS_R_09_05960_001.04
EngReqH_tiInhEngStopRstrtReq_C|0|VEMS_R_09_05960_001.04
EngReqH_tiInhEngStopThdHi_C|0|VEMS_R_09_05960_001.04
EngReqH_tiInhEngStopThdLo_C|0|VEMS_R_09_05960_001.04
EngReqH_tiInhEngStopTqAdp_C|0|VEMS_R_09_05960_001.04
EngReqH_stEngStopAuth|0|VEMS_R_09_05960_001.04
EngReqH_SdlFast_EngReqH|1|VEMS_R_09_05960_001.04
EngReqH_SdlMid_EngReqH|1|VEMS_R_09_05960_001.04
ENGREQH_vidAutorisMoteurSTOP|1|VEMS_R_09_05960_026.04
ENGREQH_vidConditionRegimeMoteur|1|VEMS_R_09_05960_038.03
EngReqH_bDeacInhEngStopThrSys_C|0|VEMS_R_09_05960_001.02
EngReqH_bPrioCanPurg_C|0|VEMS_R_09_05960_001.03
EngReqH_bRstCntTrb_C|0|VEMS_R_09_05960_001.03
EngReqH_bTestDeacCdnDlyTrb_C|0|VEMS_R_09_05960_001.03
EngReqH_facCorDlyTrbProt_T|0|VEMS_R_09_05960_001.03
EngReqH_facIncDmgTrb_M|0|VEMS_R_09_05960_001.03
EngReqH_facTqEngRStrtReq_T|0|VEMS_R_09_05960_001.03
