Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
FTPCtl_ctAcvPmpSTTStop_C|uint16|FTPCTL|1|0|0|FTPCtl_ctAcvPmpSTTStop_C|0|0|Phys|-|1|1|0|Volt|Volt||FTPCtl_ctAcvPmpSTTStop_C||2|||||||PTS_DOC_5139357|1|1||||1|0|0|timer of pump activation in STT stop phasis|0|0|60000|0|60000|0|
FTPCtl_ctAcvShoFlowFuPmp_C|uint16|FTPCTL|1|0|0|FTPCtl_ctAcvShoFlowFuPmp_C|0|0|Phys|-|1|1|0|Volt|Volt||FTPCtl_ctAcvShoFlowFuPmp_C||2|||||||PTS_DOC_5139357|1|1||||1|0|0|timer of pump activation in case of periodic activation|0|0|60000|0|60000|0|
FTPCtl_ctAcvShoStopFuPmp_C|uint16|FTPCTL|1|0|0|FTPCtl_ctAcvShoStopFuPmp_C|0|0|Phys|-|1|1|0|Divers|Divers||FTPCtl_ctAcvShoStopFuPmp_C||2|||||||PTS_DOC_5139357|1|1||||1|0|0|timer of pump activation in case of short engine stop|0|0|60000|0|60000|0|
FTPCtl_ctCutStallLdMem|uint16|FTPCTL|0|0|0|FTPCtl_ctCutStallLdMem|0|0|Phys|-|1|1|0|Volt|Volt||FTPCtl_ctCutStallLdMem||1||||||||0|1||||1|0|0||0|0|1000|0|1000|0|
FTPCtl_ctEngCutStallLdMem_C|uint16|FTPCTL|1|0|0|FTPCtl_ctEngCutStallLdMem_C|0|0|Phys|-|1|1|0|Divers|Divers||FTPCtl_ctEngCutStallLdMem_C||2|||||||PTS_DOC_5139357|1|1||||1|0|0|timer to read the storage about priming|0|0|1000|0|1000|0|
FTPCtl_ctFirstAcvFuPmp_C|uint16|FTPCTL|1|0|0|FTPCtl_ctFirstAcvFuPmp_C|0|0|Phys|-|1|1|0|Divers|Divers||FTPCtl_ctFirstAcvFuPmp_C||2|||||||PTS_DOC_5139357|1|1||||1|0|0|timer of pump activation in case of system priming|0|0|65535|0|65535|0|
FTPCtl_ctFirstCmdFuPmpTmr|uint16|FTPCTL|0|0|0|FTPCtl_ctFirstCmdFuPmpTmr|0|0|Phys|-|1|1|0|Divers|Divers||FTPCtl_ctFirstCmdFuPmpTmr||1||||||||0|1||||1|0|0||0|0|65535|0|65535|0|
FTPCtl_ctFirstCmdFuPmpTmr_NV|uint16|HEADER|1|0|0|FTPCtl_ctFirstCmdFuPmpTmr_NV|0|0|Phys|-|1|1|0|EEPROM|EEPROM||FTPCtl_ctFirstCmdFuPmpTmr_NV||1||||||||0|1||||1|0|0||0|0|65535|0|65535|0|
FTPCtl_ctFirstCmdTmrInc_MP|uint16|FTPCTL|0|0|0|FTPCtl_ctFirstCmdTmrInc_MP|0|0|Phys|-|1|1|0|Volt|Volt||FTPCtl_ctFirstCmdTmrInc_MP||1||||||||0|1||||1|0|0||0|0|65535|0|65535|0|
Afts_bRstMemFirstFillFuEng|boolean|HEADER|1|0|0|Afts_bRstMemFirstFillFuEng|0|0|Phys|bool|2|0||Divers|Divers||Afts_bRstMemFirstFillFuEng||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
