Name|Type|Requirement
FTPCtl_bAcvRlyPmp_rFuTnkPmp|0|VEMS_R_11_02548_001.01
FTPCtl_stBlsVoltCtlReq|0|VEMS_R_11_02548_001.01
FTPCtl_bHiRatHi_C|0|VEMS_R_11_02548_001.01
FTPCtl_bSelInjTypEng_C|0|VEMS_R_11_02548_001.01
FTPCtl_bZeroRatZero_C|0|VEMS_R_11_02548_001.01
FTPCtl_noCnvMass_C|0|VEMS_R_11_02548_001.01
FTPCtl_rFlowFuZero_C|0|VEMS_R_11_02548_001.01
FTPCtl_stLdVoltCtlMax_C|0|VEMS_R_11_02548_001.01
Ext_noCylEng_C|0|VEMS_R_11_02548_001.03
FTPCtl_bCfPmpOnOff_C|0|VEMS_R_11_02548_001.03
FTPCtl_bMemFirstCmdFuPmpRst_C|0|VEMS_R_11_02548_001.03
FTPCtl_bRstFlowFuFil_C|0|VEMS_R_11_02548_001.03
FTPCtl_ctAcvPmpEngCut_C|0|VEMS_R_11_02548_001.03
FTPCtl_ctAcvPmpEngrunGas_C|0|VEMS_R_11_02548_001.03
FTPCtl_ctAcvPmpSTTStop_C|0|VEMS_R_11_02548_001.03
FTPCtl_ctEngCutStallLdMem_C|0|VEMS_R_11_02548_001.03
FTPCtl_ctFirstAcvFuPmp_C|0|VEMS_R_11_02548_001.03
FTPCtl_ctWaitPmpEngrunGas_C|0|VEMS_R_11_02548_001.03
FTPCtl_facConTiFlowFuFil_C|0|VEMS_R_11_02548_001.03
FTPCtl_rDeltaCompHiFlowFu_C|0|VEMS_R_11_02548_001.03
FTPCtl_rFlowFuEngPrep_C|0|VEMS_R_11_02548_001.03
FTPCtl_rFlowFuEngRstrt_C|0|VEMS_R_11_02548_001.03
FTPCtl_rFlowFuEngStrt_C|0|VEMS_R_11_02548_001.03
FTPCtl_rFlowFuEngrunFuChgGas_C|0|VEMS_R_11_02548_001.03
FTPCtl_rFlowFuEngrunGasChgFu_C|0|VEMS_R_11_02548_001.03
FTPCtl_rFlowFuEngrunGasWait_C|0|VEMS_R_11_02548_001.03
FTPCtl_rFlowFuForcGasChgFu_C|0|VEMS_R_11_02548_001.03
FTPCtl_rFlowFuLoDft_C|0|VEMS_R_11_02548_001.03
FTPCtl_ctAcvShoFlowFuPmp_C|0|VEMS_R_11_02548_001.03
FTPCtl_ctWaitAcvPmpCyc_C|0|VEMS_R_11_02548_001.03
FTPCtl_ctWaitAcvPmpSTTStop_C|0|VEMS_R_11_02548_001.03
FTPCtl_ctWaitPmpEngrunGasFu_C|0|VEMS_R_11_02548_001.03
FTPCtl_noFlowFuPerc_C|0|VEMS_R_11_02548_001.03
FTPCtl_noStEngAdpNbEng_C|0|VEMS_R_11_02548_001.03
FTPCtl_stLdVoltCtlZero_C|0|VEMS_R_11_02548_001.01
FTPCTL_vidOnOff_Pump_Adaptation|1|VEMS_R_11_02548_018.01
FTPCtl_rDeltaCompLoFlowFu_C|0|VEMS_R_11_02548_001.03
FTPCtl_rFlowFuEngStopPmpStrt_C|0|VEMS_R_11_02548_001.03
FTPCtl_rFlowFuEngrunGas_C|0|VEMS_R_11_02548_001.03
FTPCtl_rFlowFuHiDft_C|0|VEMS_R_11_02548_001.03
FTPCtl_rFlowFuThdHi_C|0|VEMS_R_11_02548_001.03
FTPCtl_rIniFlowFuFil_C|0|VEMS_R_11_02548_001.03
FTPCtl_rThdHysRatFlowFu_C|0|VEMS_R_11_02548_001.03
FTPCtl_stFirst_C|0|VEMS_R_11_02548_001.03
FTPCtl_tiHldVldWin_C|0|VEMS_R_11_02548_001.03
FTPCtl_tiVehStop_C|0|VEMS_R_11_02548_001.03
FTPCtl_rFlowFuEngStopPmpOff_C|0|VEMS_R_11_02548_001.03
FTPCtl_rFlowFuThdLo_C|0|VEMS_R_11_02548_001.03
FTPCtl_stEngRun_C|0|VEMS_R_11_02548_001.03
FTPCtl_tiWaitAcvFil_C|0|VEMS_R_11_02548_001.03
FTPCtl_volfFlowFuMax_C|0|VEMS_R_11_02548_001.03
FTPCtl_mFuInjX_A|0|VEMS_R_11_02548_001.03
FTPCtl_nEngY_A|0|VEMS_R_11_02548_001.03
FTPCTL_vidCorresponding_ratio|1|VEMS_R_11_02548_004.02
FTPCTL_vidFlow_optimum|1|VEMS_R_11_02548_003.02
FTPCTL_vidEngine_need_calculus|1|VEMS_R_11_02548_002.02
FTPCTL_vidHysteresis_filtering|1|VEMS_R_11_02548_005.03
FTPCTL_vidFlowSetpointSynthesis|1|VEMS_R_11_02548_009.01
FTPCTL_vidPressure_hold_in_gas|1|VEMS_R_11_02548_018.01
FTPCTL_vidWorking_field|1|VEMS_R_11_02548_007.02
FTPCTL_vidEOLMemorisation|1|VEMS_R_11_02548_011.04
FTPCTL_vidEntryInit|1|VEMS_R_11_02548_001.03
FTPCtl_Sdl10ms_FTPCtl|1|VEMS_R_11_02548_001.03
FTPCTL_vidFalling_edge_filtering|1|VEMS_R_11_02548_006.02
FTPCTL_vidPressure_hold_in_gas|1|VEMS_R_11_02548_019.01
FTPCtl_bMemFirstFillFu|0|VEMS_R_11_02548_001.03
FTPCtl_bVoltCtlReq|0|VEMS_R_11_02548_001.03
FTPCtl_rFlowFuTnkPmp|0|VEMS_R_11_02548_001.03
FTPCTL_vidPressHoldEngineActive|1|VEMS_R_11_02548_016.01
FTPCTL_vidPressHoldEngineActive|1|VEMS_R_11_02548_017.04
FTPCtl_bAcvPmpWkuPha|0|VEMS_R_11_02548_001.03
FTPCtl_volfDynFlowFuAd_M|0|VEMS_R_11_02548_001.03
FTPCtl_volfFlowFuEng_M|0|VEMS_R_11_02548_001.03
FTPCtl_ctAcvShoStopFuPmp_C|0|VEMS_R_11_02548_001.03
FTPCtl_rFlowAcvCyc_C|0|VEMS_R_11_02548_001.03
FTPCtl_rFlowAcvPrim_C|0|VEMS_R_11_02548_001.03
FTPCtl_rFlowDeacCyc_C|0|VEMS_R_11_02548_001.03
FTPCtl_rFlowLgStop_C|0|VEMS_R_11_02548_001.03
FTPCtl_rFlowNom_C|0|VEMS_R_11_02548_001.03
FTPCtl_rFlowShoStop_C|0|VEMS_R_11_02548_001.03
FTPCtl_rFlowWait_C|0|VEMS_R_11_02548_001.03
FTPCTL_vidRecovryModesActivation|1|VEMS_R_11_02548_008.01
FTPCTL_vidVolt_Control_activ|1|VEMS_R_11_02548_013.02
FTPCTL_vidPriming_need|1|VEMS_R_11_02548_010.04
FTPCTL_vidEOLStateTimer|1|VEMS_R_11_02548_012.05
FTPCTL_vidPressHoldCaseCutStall|1|VEMS_R_11_02548_014.02
FTPCTL_vidPressHoldCaseCutStall|1|VEMS_R_11_02548_015.03
FTPCtl_bAcvPmpStrt_C|0|VEMS_R_11_02548_001.03
