Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
CoBrk_bAcvBrk|boolean|HEADER|1|0|0|CoBrk_bAcvBrk|0|0|Phys|bool|2|0|0|Structure Couple|Structure Couple||CoBrk_bAcvBrk||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoEs_bAcvInjCutOffSTTEs|boolean|HEADER|1|0|0|CoEs_bAcvInjCutOffSTTEs|0|0|Phys|bool|2|0||STT|STT||CoEs_bAcvInjCutOffSTTEs||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoPt_bAcvAntiStallFil|boolean|HEADER|1|0|0|CoPt_bAcvAntiStallFil|0|0|Phys|bool|2|0||IFRTE|IFRTE||CoPt_bAcvAntiStallFil||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoPt_bAcvIdlCrawl|boolean|HEADER|1|0|0|CoPt_bAcvIdlCrawl|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoPt_bAcvIdlCrawl||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoPt_bTqTx|boolean|HEADER|1|0|0|CoPt_bTqTx|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoPt_bTqTx||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoPt_noEgdGearCord|uint8|HEADER|1|0|0|CoPt_noEgdGearCord|0|0|Phys|-|1|1|0|Structure Couple|Structure Couple||CoPt_noEgdGearCord||1||||||||0|1||||1|0|0||0|0|7|0|7|0|
CoPt_stCpl|uint8|HEADER|1|0|0|CoPt_stCpl|0|0|Phys|-|1|1|0|Divers|Divers||CoPt_stCpl||1||||||||0|1||||1|0|0||0|0|3|0|3|0|
CoPt_stGearRat|uint8|HEADER|1|0|0|CoPt_stGearRat|0|0|Phys|-|1|1|0|IFRTE|IFRTE||CoPt_stGearRat||1||||||||0|1||||1|0|0||0|0|2|0|2|0|
CoPt_stGSTyp|uint8|HEADER|1|0|0|CoPt_stGSTyp|0|0|Phys|-|1|1|0|IFRTE|IFRTE||CoPt_stGSTyp||1||||||||0|1||||1|0|0||0|0|5|0|5|0|
CoPt_tqMaxClu|sint16|HEADER|1|0|0|CoPt_tqMaxClu|0|0|Phys|N.m|1|0.0625|0|Structure Couple|Structure Couple||CoPt_tqMaxClu||1||||||||0|1||||1|0|0||0|-32000|32000|-2000|2000|0|
CoPTSt_bRStrtSTT|boolean|HEADER|1|0|0|CoPTSt_bRStrtSTT|0|0|Phys|bool|2|0||IFRTE|IFRTE||CoPTSt_bRStrtSTT||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoStrtRStrt_stStopCutReq|uint8|HEADER|1|0|0|CoStrtRStrt_stStopCutReq|0|0|Phys|-|1|1|0|Divers|Divers||CoStrtRStrt_stStopCutReq||1||||||||0|1||||1|0|0||0|0|7|0|7|0|
D4_p50|uint16|HEADER|1|0|0|D4_p50|0|0|Phys|-|1|1/4|50|Development_Z|Development_Z||D4_p50||4||||||||0|1||||1|0|0||0|0|65535|50|16433.75|0|
EngLim_tqIdcEngCurGBx|sint16|HEADER|1|0|0|EngLim_tqIdcEngCurGBx|0|0|Phys|N.m|1|0.0625|0|IFRTE|IFRTE||EngLim_tqIdcEngCurGBx||1||||||||0|1||||1|0|0||0|-32000|32000|-2000|2000|0|
