Name|Type|Requirement
IdlSys_KI_FilSpd1_C|0|VEMS_R_08_04444_001.03
IdlSys_KI_FilSpd2_C|0|VEMS_R_08_04444_001.03
IdlSys_KI_FilSpd3_C|0|VEMS_R_08_04444_001.03
IdlSys_nAcvStrt1_T|0|VEMS_R_08_04444_001.03
IdlSys_nAcvStrt2_T|0|VEMS_R_08_04444_001.03
IdlSys_nEnaIdlHi_C|0|VEMS_R_08_04444_001.03
IdlSys_nEnaIdlLo_C|0|VEMS_R_08_04444_001.03
IdlSys_nInhInjDyn_C|0|VEMS_R_08_04444_001.03
IdlSys_nInjThd_M|0|VEMS_R_08_04444_001.03
IdlSys_noDlyInjOnAdv_T|0|VEMS_R_08_04444_001.03
IdlSys_noDlyOnAdv_T|0|VEMS_R_08_04444_001.03
IdlSys_nOfsIdlOff_T|0|VEMS_R_08_04444_001.03
IdlSys_nOfsIdlOn_T|0|VEMS_R_08_04444_001.03
IdlSys_nOfsInj_T|0|VEMS_R_08_04444_001.03
IdlSys_nOfsTCo_T|0|VEMS_R_08_04444_001.03
IdlSys_noGear_C|0|VEMS_R_08_04444_001.03
IdlSys_noGearX_A|0|VEMS_R_08_04444_001.03
IdlSys_nThdInjMax_C|0|VEMS_R_08_04444_001.03
IdlSys_nThdInjMin_C|0|VEMS_R_08_04444_001.03
IdlSys_rIdlStab_T|0|VEMS_R_08_04444_001.03
IdlSys_rSpdIdlStabX_A|0|VEMS_R_08_04444_001.03
IdlSys_rSpdY_A|0|VEMS_R_08_04444_001.03
IdlSys_spdThdVehHi_C|0|VEMS_R_08_04444_001.03
IdlSys_spdThdVehLo_C|0|VEMS_R_08_04444_001.03
IdlSys_spdVeh_C|0|VEMS_R_08_04444_001.03
IdlSys_tCo_C|0|VEMS_R_08_04444_001.03
IdlSys_tCoX_A|0|VEMS_R_08_04444_001.03
IdlSys_tiFil_aEng_A|0|VEMS_R_08_04444_001.03
IdlSys_tiFil_aEng_T|0|VEMS_R_08_04444_001.03
IdlSys_tiFil_EngSpd_C|0|VEMS_R_08_04444_001.03
IdlSys_tiFil_FilGrd1_C|0|VEMS_R_08_04444_001.03
IdlSys_tiFil_FilGrd2_C|0|VEMS_R_08_04444_001.03
IdlSys_tiFil_FilGrd3_C|0|VEMS_R_08_04444_001.03
IdlSys_tiFil_FilSpd1_C|0|VEMS_R_08_04444_001.03
IdlSys_tiFil_FilSpd3_C|0|VEMS_R_08_04444_001.03
IdlSys_idxIniIdlGearInc_C|0|VEMS_R_10_08591_001.05
IdlSys_idxIniIdlGearNeut_C|0|VEMS_R_10_08591_001.05
IdlSys_nOfsIniTarIdl_C|0|VEMS_R_10_08591_001.05
IDLMGR_vidCalc_seuil_reinjection|1|VEMS_R_08_04444_015.02
IDLMGR_vidCalculer_Grad_regime|1|VEMS_R_08_04444_009.01
IDLMGR_vidGerer_appui_frein|1|VEMS_R_08_04444_012.02
IDLMGR_vidCalc_inertie_vehicule|1|VEMS_R_08_04444_005.02
IDLMGR_vidCalc_coef_consigne_dyn|1|VEMS_R_08_04444_013.02
IDLMGR_vidMasquer_isopuissance|1|VEMS_R_08_04444_036.01
IDLMGR_vidMasquer_activation_reg|1|VEMS_R_08_04444_027.01
IDLMGR_vidAutoriser_regulateur|1|VEMS_R_08_04444_021.01
IDLMGR_vidDetect_couples_maitres|1|VEMS_R_08_04444_023.01
IDLMGR_vidGerer_injection|1|VEMS_R_08_04444_014.02
IDLMGR_vidAutoriser_Filtrage|1|VEMS_R_08_04444_035.02
IDLMGR_vidCalc_coef_isopuissance|1|VEMS_R_08_04444_011.03
IDLMGR_vidCalc_couple_init_regul|1|VEMS_R_08_04444_037.04
IDLMGR_vidCalc_grad_theorique|1|VEMS_R_08_04444_018.02
IDLMGR_vidCalculer_isopuissance|1|VEMS_R_08_04444_031.01
IDLMGR_vidConditions_injection|1|VEMS_R_08_04444_016.04
IDLMGR_vidConsignes_control|1|VEMS_R_08_04444_026.03
IDLMGR_vidDesactiver_ralenti|1|VEMS_R_08_04444_007.01
IDLMGR_vidDetect_regime_critique|1|VEMS_R_08_04444_022.02
IDLMGR_vidEtat_Demarrage|1|VEMS_R_08_04444_004.01
IDLMGR_vidEtat_moteur_tournant|1|VEMS_R_08_04444_003.02
IDLMGR_vidFiltre_Isopuissance_Av|1|VEMS_R_08_04444_033.03
IDLMGR_vidInjection_dynamique|1|VEMS_R_08_04444_017.02
IDLMGR_vidCalcul_consigne_dyn|1|VEMS_R_08_04444_028.01
IDLMGR_vidCalculer_couples|1|VEMS_R_08_04444_032.04
IDLMGR_vidDeterminer_Grad_regime|1|VEMS_R_08_04444_008.04
IDLMGR_vidGerer_boucl_st_couple|1|VEMS_R_08_04444_038.01
IDLMGR_vidActiver_ralenti|1|VEMS_R_10_08591_003.02
IDLMGR_vidBoucler_stuct_couple|1|VEMS_R_10_08591_040.02
IDLMGR_vidCalc_auto_coupure_inj|1|VEMS_R_10_08591_032.01
IDLMGR_vidCalc_autorisation_inj|1|VEMS_R_10_08591_035.02
IdlSys_aAcvDynHi_T|0|VEMS_R_08_04444_001.03
IdlSys_aAcvDynLo_T|0|VEMS_R_08_04444_001.03
IdlSys_aEngY_A|0|VEMS_R_08_04444_001.03
IdlSys_bAcvBrk_C|0|VEMS_R_08_04444_001.03
IdlSys_bAcvInjDyn_C|0|VEMS_R_08_04444_001.03
IdlSys_bInhIdlTqCdnAcv_C|0|VEMS_R_08_04444_001.03
IdlSys_facMaxDecBrk_C|0|VEMS_R_08_04444_001.03
IDLMGR_vidReinit_chgmt_etat_ramp|1|VEMS_R_08_04444_045.01
IDLMGR_vidRetarder_Activation|1|VEMS_R_08_04444_034.02
IDLMGR_vidSuperviser_reg_ralenti|1|VEMS_R_08_04444_020.03
IDLMGR_vidSupervision_regulateur|1|VEMS_R_08_04444_019.02
IdlSys_facMaxDecIdlStabAir_T|0|VEMS_R_08_04444_001.03
IdlSys_facMaxIncBrk_C|0|VEMS_R_08_04444_001.03
IdlSys_facMaxIncTqAdv_T|0|VEMS_R_08_04444_001.03
IdlSys_facTCo_T|0|VEMS_R_08_04444_001.03
IdlSys_facTCoAntiStall_T|0|VEMS_R_08_04444_001.03
IdlSys_KAnt_FilGrd1_C|0|VEMS_R_08_04444_001.03
IdlSys_KAnt_FilGrd2_C|0|VEMS_R_08_04444_001.03
IdlSys_KAnt_FilGrd3_C|0|VEMS_R_08_04444_001.03
IdlSys_KAnt_FilSpd1_C|0|VEMS_R_08_04444_001.03
IdlSys_KAnt_FilSpd2_C|0|VEMS_R_08_04444_001.03
IdlSys_KAnt_FilSpd3_C|0|VEMS_R_08_04444_001.03
