Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
CoPt_bAcvAntiStallFil|boolean|HEADER|1|0|0|CoPt_bAcvAntiStallFil|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoPt_bAcvAntiStallFil||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoPt_noEgdGearCord|uint8|HEADER|1|0|0|CoPt_noEgdGearCord|0|0|Phys|-|1|1|0|Structure Couple|Structure Couple||CoPt_noEgdGearCord||1||||||||0|1||||1|0|0||0|0|7|0|7|0|
CoPt_tqIdcReqCord_nRegReq|sint16|HEADER|1|0|0|CoPt_tqIdcReqCord_nRegReq|0|0|Phys|N.m|1|0.0625|0|IFRTE|IFRTE||CoPt_tqIdcReqCord_nRegReq||1||||||||0|1||||1|0|0||0|-32000|32000|-2000|2000|0|
D4_p8000|uint16|HEADER|1|0|0|D4_p8000|0|0|Phys|-|1|1/4|8000|Structure Couple|Structure Couple||D4_p8000||4||||||||0|1||||1|0|0||0|0|65535|8000|24383.75|0|
Ext_nEng|uint16|HEADER|1|0|0|Ext_nEng|0|0|Phys|rpm|1|1|0|Divers|Divers||Ext_nEng||1||||||||0|1||||1|0|0||0|0|7500|0|7500|0|
Ext_tCoMes|sint16|HEADER|1|0|0|Ext_tCoMes|0|0|Phys|°C|1|1|0|Divers|Divers||Ext_tCoMes||1||||||||0|1||||1|0|0||0|-40|214|-40|214|0|
Ext_tiTDC|uint8|HEADER|1|0|0|Ext_tiTDC|0|0|Phys|s|1|0.001|0|Divers|Divers||Ext_tiTDC||1||||||||0|1||||1|0|0||0|0|100|0|0.1|0|
IdlSys_bAcvAntiStall|boolean|HEADER|1|0|0|IdlSys_bAcvAntiStall|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||IdlSys_bAcvAntiStall||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
IdlSys_bAcvInjCutOffNEng_C|boolean|IDLSYSCUTOFF|1|0|0|IdlSys_bAcvInjCutOffNEng_C|0|0|Phys|bool|2|0||divers|divers||IdlSys_bAcvInjCutOffNEng_C||2|||||||V02 NT 10 04612|1|1||||1|0|0|Booléen d'activation de la condition sur le régime moteur|0|0|1|0|1|0|
IdlSys_bAuthInjCutOff|boolean|HEADER|1|0|0|IdlSys_bAuthInjCutOff|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||IdlSys_bAuthInjCutOff||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
IdlSys_bAuthInjCutOffINEng|boolean|IDLSYSCUTOFF|0|0|0|IdlSys_bAuthInjCutOffINEng|0|0|Phys|bool|2|0||divers|divers||IdlSys_bAuthInjCutOffINEng||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
