Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
CoCha_tqEfcReq|sint16|HEADER|1|0|0|CoCha_tqEfcReq|0|0|Phys|Nm|1|1/16|0|divers|divers||CoCha_tqEfcReq||1||||||||0|1||||1|0|0||0|-32000|32000|-2000|2000|0|
CoPt_bAcvNRegReq|boolean|HEADER|1|0|0|CoPt_bAcvNRegReq|0|0|Phys|bool|2|0||Divers|Divers||CoPt_bAcvNRegReq||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoPt_bDiagSIPORng|boolean|HEADER|1|0|0|CoPt_bDiagSIPORng|0|0|Phys|bool|2|0||Divers|Divers||CoPt_bDiagSIPORng||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoPt_bSIP|boolean|HEADER|1|0|0|CoPt_bSIP|0|0|Phys|bool|2|0|0|IFRTE|IFRTE||CoPt_bSIP||1||||||||0|1||||1|0|0||0|0|1|||0|
CoPt_bTakeOff|boolean|HEADER|1|0|0|CoPt_bTakeOff|0|0|Phys|bool|2|0||divers|divers||CoPt_bTakeOff||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoPt_noEgdGearCord|uint8|HEADER|1|0|0|CoPt_noEgdGearCord|0|0|Phys|-|1|1|0|IFRTE|IFRTE||CoPt_noEgdGearCord||1||||||||0|1||||1|0|0||0|0|7|0|7|0|
CoPt_noGearCord_Sfty|uint8|HEADER|1|0|0|CoPt_noGearCord_Sfty|0|0|Phys|-|1|1|0|divers|divers||CoPt_noGearCord_Sfty||1||||||||0|1||||1|0|0||0|0|7|0|7|0|
CoPt_noGearCordDrivFil|uint8|HEADER|1|0|0|CoPt_noGearCordDrivFil|0|0|Phys|-|1|1|0|IFRTE|IFRTE||CoPt_noGearCordDrivFil||1||||||||0|1||||1|0|0||0|0|8|0|8|0|
CoPt_tqAirReqGBx|sint16|HEADER|1|0|0|CoPt_tqAirReqGBx|0|0|Phys|Nm|1|1/16|0|Divers|Divers||CoPt_tqAirReqGBx||1||||||||0|1||||1|0|0||0|-32000|32000|-2000|2000|0|
CoPt_tqDrvRaw|sint16|HEADER|1|0|0|CoPt_tqDrvRaw|0|0|Phys|N.m|1|1/16|0|IFRTE|IFRTE||CoPt_tqDrvRaw||1||||||||0|1||||1|0|0||0|-32000|32000|-2000|2000|0|
CoPt_tqEfcCordLim_tqGBx|sint16|HEADER|1|0|0|CoPt_tqEfcCordLim_tqGBx|0|0|Phys|Nm|1|1/16|0|Structure Couple|Structure Couple||CoPt_tqEfcCordLim_tqGBx||1||||||||0|1||||1|0|0||0|-32000|32000|-2000|2000|0|
CoPt_tqIdcReqCord_nRegReq|sint16|HEADER|1|0|0|CoPt_tqIdcReqCord_nRegReq|0|0|Phys|Nm|1|1/16|0|IFRTE|IFRTE||CoPt_tqIdcReqCord_nRegReq||1||||||||0|1||||1|0|0||0|-32000|32000|-2000|2000|0|
CoPt_tqReqGBx|sint16|HEADER|1|0|0|CoPt_tqReqGBx|0|0|Phys|Nm|1|1/16|0|IFRTE|IFRTE||CoPt_tqReqGBx||1||||||||0|1||||1|0|0||0|-32000|32000|-2000|2000|0|
CoPTSt_bDgoSftyORngAM|boolean|HEADER|1|0|0|CoPTSt_bDgoSftyORngAM|0|0|Phys|bool|2|0||Divers|Divers||CoPTSt_bDgoSftyORngAM||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoPTSt_bDgoSftyORngAT|boolean|HEADER|1|0|0|CoPTSt_bDgoSftyORngAT|0|0|Phys|bool|2|0||Divers|Divers||CoPTSt_bDgoSftyORngAT||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoPTSt_stDrvTra|uint8|HEADER|1|0|0|CoPTSt_stDrvTra|0|0|Phys|-|1|1|0|IFRTE|IFRTE||CoPTSt_stDrvTra||1||||||||0|1||||1|0|0||0|0|2|0|2|0|
CoReqVeh_bEngStrtReq|boolean|HEADER|1|0|0|CoReqVeh_bEngStrtReq|0|0|Phys|bool|2|0|0|divers|divers||CoReqVeh_bEngStrtReq||1||||||||0|1||||1|0|0||0|0|1|||0|
CoStrtRStrt_bInh|boolean|HEADER|1|0|0|CoStrtRStrt_bInh|0|0|Phys|bool|2|0|0|divers|divers||CoStrtRStrt_bInh||1||||||||0|1||||1|0|0||0|0|1|||0|
DZone_tqEfcDifLrnOut|sint16|HEADER|1|0|0|DZone_tqEfcDifLrnOut|0|0|Phys|N.m|1|1/16|0|IFRTE|IFRTE||DZone_tqEfcDifLrnOut||1||||||||0|1||||1|0|0||0|-32000|32000|-2000|2000|0|
Eng_nCkFil|uint16|HEADER|1|0|0|Eng_nCkFil|0|0|Phys|rpm|1|1/4|0|divers|divers||Eng_nCkFil||1||||||||0|1||||1|0|0||0|0|32000|0|8000|0|
EngLim_tqCkDrivFil|sint16|HEADER|1|0|0|EngLim_tqCkDrivFil|0|0|Phys|N.m|1|1/16|0|Structure Couple|Structure Couple||EngLim_tqCkDrivFil||1||||||||0|1||||1|0|0||0|-32000|32000|-2000|2000|0|
EngLim_tqIdcEngCurMax|sint16|HEADER|1|0|0|EngLim_tqIdcEngCurMax|0|0|Phys|Nm|1|1/16|0|IFRTE|IFRTE||EngLim_tqIdcEngCurMax||1||||||||0|1||||1|0|0||0|-32000|32000|-2000|2000|0|
EngLim_tqIdcRed|sint16|HEADER|1|0|0|EngLim_tqIdcRed|0|0|Phys|Nm|1|1/16|0|divers|divers||EngLim_tqIdcRed||1||||||||0|1||||1|0|0||0|-32000|32000|-2000|2000|0|
EngLim_tqIdcSyst|sint16|HEADER|1|0|0|EngLim_tqIdcSyst|0|0|Phys|Nm|1|1/16|0|divers|divers||EngLim_tqIdcSyst||1||||||||0|1||||1|0|0||0|-32000|32000|-2000|2000|0|
EOM_bTWCHeatPha|boolean|HEADER|1|0|0|EOM_bTWCHeatPha|0|0|Phys|bool|2|0||divers|divers||EOM_bTWCHeatPha||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
EOM_prm_facBasModCur|uint8|HEADER|1|1|16|EOM_prm_facBasModCur|0|0|Phys|-|1|1/128|0|IFRTE|IFRTE||EOM_prm_facBasModCur||1||*||*||*||0|1||||1|0|0||0|0|128|0|1|0|
EOM_prm_facTranMod|uint8|HEADER|1|1|16|EOM_prm_facTranMod|0|0|Phys|-|1|1/128|0|IFRTE|IFRTE||EOM_prm_facTranMod||1||*||*||*||0|1||||1|0|0||0|0|128|0|1|0|
Ext_bATParkNeut|boolean|HEADER|1|0|0|Ext_bATParkNeut|0|0|Phys|bool|2|0||Divers|Divers||Ext_bATParkNeut||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_bDrvTraAMT|boolean|HEADER|1|0|0|Ext_bDrvTraAMT|0|0|Phys|bool|2|0||Divers|Divers||Ext_bDrvTraAMT||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_bSTTCf|boolean|HEADER|1|0|0|Ext_bSTTCf|0|0|Phys|bool|2|0||Gestion des consignes de couple|Gestion des consignes de couple||Ext_bSTTCf||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_nEng|uint16|HEADER|1|0|0|Ext_nEng|0|0|Phys|rpm|1|1|0|CKMNGIF|CKMNGIF||Ext_nEng||1||||||||0|1||||1|0|0||0|0|7500|0|7500|0|
Ext_pAirExtMesSI|uint16|HEADER|1|0|0|Ext_pAirExtMesSI|0|0|Phys|Pa|1|8|0|Divers|Divers||Ext_pAirExtMesSI||1||||||||0|1||||1|0|0||0|0|65535|0|524280|0|
F16384|uint16|IFTQSTRUCT_TQMON|1|0|0|F16384|0|0|Phys|-||||divers|divers||F16384||4||||||||0|1||||0|0|0||0|0|65535|0|1073725440|0|
FRM_FRM_ACVCURPOSNREGEXVLV|uint16|HEADER|1|0|0|FRM_FRM_ACVCURPOSNREGEXVLV|0|0|Phys|bool|2|0|||||FRM_FRM_ACVCURPOSNREGEXVLV||3||||||||0|1|||65|0|0|0||0|||||0|
FRM_FRM_ACVCURPOSNREGINVLV|uint16|HEADER|1|0|0|FRM_FRM_ACVCURPOSNREGINVLV|0|0|Phys|-|||||||FRM_FRM_ACVCURPOSNREGINVLV||3||||||||0|1|||67|0|0|0||0|||||0|
FRM_FRM_ACVDRVTRAINVLD|uint16|HEADER|1|0|0|FRM_FRM_ACVDRVTRAINVLD|0|0|Phys|bool|2|0|||||FRM_FRM_ACVDRVTRAINVLD||3||||||||0|1|||64|0|0|0||0|||||0|
FRM_FRM_ACVLOCKPOSNEXVLV|uint16|HEADER|1|0|0|FRM_FRM_ACVLOCKPOSNEXV|0|0|Phys|-|||||||FRM_FRM_ACVLOCKPOSNEXVLV||3||||||||0|1|||68|0|0|0||0|||||0|
FRM_FRM_ACVLOCKPOSNINVLV|uint16|HEADER|1|0|0|FRM_FRM_ACVLOCKPOSNINVLV|0|0|Phys|-|||||||FRM_FRM_ACVLOCKPOSNINVLV||3||||||||0|1|||69|0|0|0||0|||||0|
FRM_FRM_ENGSPDLIMHIINTV|uint16|HEADER|1|0|0|FRM_FRM_ENGSPDLIMHIINTV|0|0|Phys|-|2|0||divers|divers||FRM_FRM_ENGSPDLIMHIINTV||3||||||||0|1|||4|0|0|0||0|0|1|0|1|0|
FRM_FRM_ENGSPDLIMLOINTV|uint16|HEADER|1|0|0|FRM_bEngSpdLimLoIntv|0|0|Phys|-|2|0||divers|divers||FRM_FRM_ENGSPDLIMLOINTV||3||||||||0|1|||5|0|0|0||0|0|1|0|1|0|
FRM_FRM_INHANTIDB|uint16|HEADER|1|0|0|FRM_FRM_INHANTIDB|0|0|Phys|-|||||||FRM_FRM_INHANTIDB||3||||||||0|1|||388|0|0|0||0|||||0|
FRM_FRM_INHCNVLOSSMDL|uint16|HEADER|1|0|0|FRM_FRM_INHCNVLOSSMDL|0|0|Phys|-|2|0||divers|divers||FRM_FRM_INHCNVLOSSMDL||3||||||||0|1|||6|0|0|0||0|0|1|0|1|0|
FRM_FRM_INHCOPTSIP|uint16|HEADER|1|0|0|FRM_FRM_INHCOPTSIP|0|0|Phys|-|2|0|||||FRM_FRM_INHCOPTSIP||3||||||||0|1|||0|0|0|0||0|||||0|
FRM_FRM_INHMES_PAIREXT|uint16|HEADER|1|0|0|FRM_FRM_INHMES_PAIREXT|0|0|Phys|-|||||||FRM_FRM_INHMES_PAIREXT||3||||||||0|1|||12|0|0|0||0|||||0|
FRM_FRM_INHREGNDECO|uint16|HEADER|1|0|0|FRM_bInhRegNDeco|0|0|Phys|-|2|0||divers|divers||FRM_FRM_INHREGNDECO||3||||||||0|1|||8|0|0|0||0|0|1|0|1|0|
FRM_FRM_INHRVTQDEMTAKEOFF|uint16|HEADER|1|0|0|FRM_bInhRvTqDemTakeOff|0|0|Phys|-|2|0||divers|divers||FRM_FRM_INHRVTQDEMTAKEOFF||3||||||||0|1|||9|0|0|0||0|0|1|0|1|0|
FRM_FRM_INHSTGPUMPLOSSMDL|uint16|HEADER|1|0|0|FRM_bInhStgPumpLossMdl|0|0|Phys|-|2|0||divers|divers||FRM_FRM_INHSTGPUMPLOSSMDL||3||||||||0|1|||10|0|0|0||0|0|1|0|1|0|
FRM_FRM_INHTQCLL|uint16|HEADER|1|0|0|FRM_FRM_INHTQCLL|0|0|Phys|-|||||||FRM_FRM_INHTQCLL||3||||||||0|1|||772|0|0|0||0|||||0|
IdlSys_bAcvIdlCtl|boolean|HEADER|1|0|0|IdlSys_bAcvIdlCtl|0|0|Phys|bool|2|0||divers|divers||IdlSys_bAcvIdlCtl||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
IdlSys_bIniIdlCtl|boolean|HEADER|1|0|0|IdlSys_bIniIdlCtl|0|0|Phys|bool|2|0||Tq|Tq||IdlSys_bIniIdlCtl||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
IdlSys_nTarIdlDyn|uint16|HEADER|1|0|0|IdlSys_nTarIdlDyn|0|0|Phys|rpm|1|1/4|0|divers|divers||IdlSys_nTarIdlDyn||1||||||||0|1||||1|0|0||0|0|32000|0|8000|0|
IdlSys_tqIdcIdl|sint16|HEADER|1|0|0|IdlSys_tqIdcIdl|0|0|Phys|Nm|1|1/16|0|divers|divers||IdlSys_tqIdcIdl||1||||||||0|1||||1|0|0||0|-32000|32000|-2000|2000|0|
IFTQSTRUCT_TQMON_bAcvNRegReOut|boolean|IFTQSTRUCT_TQMON|0|0|0|IFTQSTRUCT_TQMON_bAcvNRegReOut|0|0|Phys|bool|2|0||divers|divers||IFTQSTRUCT_TQMON_bAcvNRegReOut||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
IFTQSTRUCT_TQMON_bAcvNRegRePrev|boolean|IFTQSTRUCT_TQMON|0|0|0|IFTQSTRUCT_TQMON_bAcvNRegRePrev|0|0|Phys|bool|2|0||Divers|Divers||IFTQSTRUCT_TQMON_bAcvNRegRePrev||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
IFTQSTRUCT_TQMON_bAcvNRegRePrev1|boolean|IFTQSTRUCT_TQMON|0|0|0|IFTQSTRUCT_TQMON_bAcvNRegRePrev1|0|0|Phys|bool|2|0||Divers|Divers||IFTQSTRUCT_TQMON_bAcvNRegRePrev1||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
IFTQSTRUCT_TQMON_bAcvNRegRePrev2|boolean|IFTQSTRUCT_TQMON|0|0|0|IFTQSTRUCT_TQMON_bAcvNRegRePrev2|0|0|Phys|bool|2|0||Divers|Divers||IFTQSTRUCT_TQMON_bAcvNRegRePrev2||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
IFTQSTRUCT_TQMON_bAcvNRegRePrev3|boolean|IFTQSTRUCT_TQMON|0|0|0|IFTQSTRUCT_TQMON_bAcvNRegRePrev3|0|0|Phys|bool|2|0||Divers|Divers||IFTQSTRUCT_TQMON_bAcvNRegRePrev3||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
IFTQSTRUCT_TQMON_bAcvNRegRePrev4|boolean|IFTQSTRUCT_TQMON|0|0|0|IFTQSTRUCT_TQMON_bAcvNRegRePrev4|0|0|Phys|bool|2|0||Divers|Divers||IFTQSTRUCT_TQMON_bAcvNRegRePrev4||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
IFTQSTRUCT_TQMON_bDeceAcvOut|boolean|IFTQSTRUCT_TQMON|0|0|0|IFTQSTRUCT_TQMON_bDeceAcvOut|0|0|Phys|bool|2|0||divers|divers||IFTQSTRUCT_TQMON_bDeceAcvOut||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
IFTQSTRUCT_TQMON_bDeceAcvPrev|boolean|IFTQSTRUCT_TQMON|0|0|0|IFTQSTRUCT_TQMON_bDeceAcvPrev|0|0|Phys|bool|2|0||divers|divers||IFTQSTRUCT_TQMON_bDeceAcvPrev||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
IFTQSTRUCT_TQMON_bDeceAcvPrev1|boolean|IFTQSTRUCT_TQMON|0|0|0|IFTQSTRUCT_TQMON_bDeceAcvPrev1|0|0|Phys|bool|2|0||divers|divers||IFTQSTRUCT_TQMON_bDeceAcvPrev1||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
IFTQSTRUCT_TQMON_bDeceAcvPrev2|boolean|IFTQSTRUCT_TQMON|0|0|0|IFTQSTRUCT_TQMON_bDeceAcvPrev2|0|0|Phys|bool|2|0||divers|divers||IFTQSTRUCT_TQMON_bDeceAcvPrev2||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
IFTQSTRUCT_TQMON_bDeceAcvPrev3|boolean|IFTQSTRUCT_TQMON|0|0|0|IFTQSTRUCT_TQMON_bDeceAcvPrev3|0|0|Phys|bool|2|0||divers|divers||IFTQSTRUCT_TQMON_bDeceAcvPrev3||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
IFTQSTRUCT_TQMON_bDeceAcvPrev4|boolean|IFTQSTRUCT_TQMON|0|0|0|IFTQSTRUCT_TQMON_bDeceAcvPrev4|0|0|Phys|bool|2|0||divers|divers||IFTQSTRUCT_TQMON_bDeceAcvPrev4||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
IFTQSTRUCT_TQMON_s16TqLimEMOut|sint16|IFTQSTRUCT_TQMON|0|0|0|IFTQSTRUCT_TQMON_s16TqLimEMOut|0|0|Phys|Nm|1|0.0625|0|divers|divers||IFTQSTRUCT_TQMON_s16TqLimEMOut||1||||||||0|1||||1|0|0||0|-32000|32000|-2000|2000|0|
IFTQSTRUCT_TQMON_s16TqLimEMPrev|sint16|IFTQSTRUCT_TQMON|0|0|0|IFTQSTRUCT_TQMON_s16TqLimEMPrev|0|0|Phys|Nm|1|0.0625|0|Divers|Divers||IFTQSTRUCT_TQMON_s16TqLimEMPrev||1||||||||0|1||||1|0|0||0|-32000|32000|-2000|2000|0|
IFTQSTRUCT_TQMON_s16TqLimEMPrev1|sint16|IFTQSTRUCT_TQMON|0|0|0|IFTQSTRUCT_TQMON_s16TqLimEMPrev1|0|0|Phys|Nm|1|0.0625|0|Divers|Divers||IFTQSTRUCT_TQMON_s16TqLimEMPrev1||1||||||||0|1||||1|0|0||0|-32000|32000|-2000|2000|0|
IFTQSTRUCT_TQMON_s16TqLimEMPrev2|sint16|IFTQSTRUCT_TQMON|0|0|0|IFTQSTRUCT_TQMON_s16TqLimEMPrev2|0|0|Phys|Nm|1|0.0625|0|Divers|Divers||IFTQSTRUCT_TQMON_s16TqLimEMPrev2||1||||||||0|1||||1|0|0||0|-32000|32000|-2000|2000|0|
IFTQSTRUCT_TQMON_s16TqLimEMPrev3|sint16|IFTQSTRUCT_TQMON|0|0|0|IFTQSTRUCT_TQMON_s16TqLimEMPrev3|0|0|Phys|Nm|1|0.0625|0|Divers|Divers||IFTQSTRUCT_TQMON_s16TqLimEMPrev3||1||||||||0|1||||1|0|0||0|-32000|32000|-2000|2000|0|
IFTQSTRUCT_TQMON_s16TqLimEMPrev4|sint16|IFTQSTRUCT_TQMON|0|0|0|IFTQSTRUCT_TQMON_s16TqLimEMPrev4|0|0|Phys|Nm|1|0.0625|0|Divers|Divers||IFTQSTRUCT_TQMON_s16TqLimEMPrev4||1||||||||0|1||||1|0|0||0|-32000|32000|-2000|2000|0|
IFTQSTRUCT_TQMON_s8TarGearOut|sint8|IFTQSTRUCT_TQMON|0|0|0|IFTQSTRUCT_TQMON_s8TarGearOut|0|0|Phys|-|1|1|0|divers|divers||IFTQSTRUCT_TQMON_s8TarGearOut||1||||||||0|1||||1|0|0||0|-1|9|-1|9|0|
IFTQSTRUCT_TQMON_s8TarGearPrev|sint8|IFTQSTRUCT_TQMON|0|0|0|IFTQSTRUCT_TQMON_s8TarGearPrev|0|0|Phys|-|1|1|0|Divers|Divers||IFTQSTRUCT_TQMON_s8TarGearPrev||1||||||||0|1||||1|0|0||0|-1|9|-1|9|0|
IFTQSTRUCT_TQMON_s8TarGearPrev1|sint8|IFTQSTRUCT_TQMON|0|0|0|IFTQSTRUCT_TQMON_s8TarGearPrev1|0|0|Phys|-|1|1|0|Divers|Divers||IFTQSTRUCT_TQMON_s8TarGearPrev1||1||||||||0|1||||1|0|0||0|-1|9|-1|9|0|
IFTQSTRUCT_TQMON_s8TarGearPrev2|sint8|IFTQSTRUCT_TQMON|0|0|0|IFTQSTRUCT_TQMON_s8TarGearPrev2|0|0|Phys|-|1|1|0|Divers|Divers||IFTQSTRUCT_TQMON_s8TarGearPrev2||1||||||||0|1||||1|0|0||0|-1|9|-1|9|0|
IFTQSTRUCT_TQMON_s8TarGearPrev3|sint8|IFTQSTRUCT_TQMON|0|0|0|IFTQSTRUCT_TQMON_s8TarGearPrev3|0|0|Phys|-|1|1|0|Divers|Divers||IFTQSTRUCT_TQMON_s8TarGearPrev3||1||||||||0|1||||1|0|0||0|-1|9|-1|9|0|
IFTQSTRUCT_TQMON_s8TarGearPrev4|sint8|IFTQSTRUCT_TQMON|0|0|0|IFTQSTRUCT_TQMON_s8TarGearPrev4|0|0|Phys|-|1|1|0|Divers|Divers||IFTQSTRUCT_TQMON_s8TarGearPrev4||1||||||||0|1||||1|0|0||0|-1|9|-1|9|0|
IFTQSTRUCT_TQMON_u16CkFilOut|uint16|IFTQSTRUCT_TQMON|0|0|0|IFTQSTRUCT_TQMON_u16CkFilOut|0|0|Phys|rpm|1|0.25|0|divers|divers||IFTQSTRUCT_TQMON_u16CkFilOut||1||||||||0|1||||1|0|0||0|0|32000|0|8000|0|
IFTQSTRUCT_TQMON_u16CkFilPrev|uint16|IFTQSTRUCT_TQMON|0|0|0|IFTQSTRUCT_TQMON_u16CkFilPrev|0|0|Phys|rpm|1|0.25|0|Divers|Divers||IFTQSTRUCT_TQMON_u16CkFilPrev||1||||||||0|1||||1|0|0||0|0|32000|0|8000|0|
IFTQSTRUCT_TQMON_u16CkFilPrev1|uint16|IFTQSTRUCT_TQMON|0|0|0|IFTQSTRUCT_TQMON_u16CkFilPrev1|0|0|Phys|rpm|1|0.25|0|Divers|Divers||IFTQSTRUCT_TQMON_u16CkFilPrev1||1||||||||0|1||||1|0|0||0|0|32000|0|8000|0|
IFTQSTRUCT_TQMON_u16CkFilPrev2|uint16|IFTQSTRUCT_TQMON|0|0|0|IFTQSTRUCT_TQMON_u16CkFilPrev2|0|0|Phys|rpm|1|0.25|0|Divers|Divers||IFTQSTRUCT_TQMON_u16CkFilPrev2||1||||||||0|1||||1|0|0||0|0|32000|0|8000|0|
IFTQSTRUCT_TQMON_u16CkFilPrev3|uint16|IFTQSTRUCT_TQMON|0|0|0|IFTQSTRUCT_TQMON_u16CkFilPrev3|0|0|Phys|rpm|1|0.25|0|Divers|Divers||IFTQSTRUCT_TQMON_u16CkFilPrev3||1||||||||0|1||||1|0|0||0|0|32000|0|8000|0|
IFTQSTRUCT_TQMON_u16CkFilPrev4|uint16|IFTQSTRUCT_TQMON|0|0|0|IFTQSTRUCT_TQMON_u16CkFilPrev4|0|0|Phys|rpm|1|0.25|0|divers|divers||IFTQSTRUCT_TQMON_u16CkFilPrev4||1||||||||0|1||||1|0|0||0|0|32000|0|8000|0|
IFTQSTRUCT_TQMON_u16FilterOut|uint16|IFTQSTRUCT_TQMON|0|0|0|IFTQSTRUCT_TQMON_u16FilterOut|0|0|Phys|rpm|1|1|0|Divers|Divers||IFTQSTRUCT_TQMON_u16FilterOut||1||||||||0|1||||1|0|0||0|0|8000|0|8000|0|
IFTQSTRUCT_TQMON_u16SpdVeh|uint16|IFTQSTRUCT_TQMON|0|0|0|IFTQSTRUCT_TQMON_u16SpdVeh|0|0|Phys|km/(RPM.h)|1|1/128|0|Divers|Divers||IFTQSTRUCT_TQMON_u16SpdVeh||1||||||||0|1||||1|0|0||0|0|64000|0|500|0|
IFTQSTRUCT_TQMON_u32nEngFiltMem|uint32|IFTQSTRUCT_TQMON|0|0|0|IFTQSTRUCT_TQMON_u32nEngFiltMem|0|0|Phys|-|1|1|0|Divers|Divers||IFTQSTRUCT_TQMON_u32nEngFiltMem||1||||||||0|1||||1|0|0||0|0|4294967295|0|4294967295|0|
IFTQSTRUCT_TQMON_u8CorDrFilOut|uint8|IFTQSTRUCT_TQMON|0|0|0|IFTQSTRUCT_TQMON_u8CorDrFilOut|0|0|Phys|-|1|1|0|divers|divers||IFTQSTRUCT_TQMON_u8CorDrFilOut||1||||||||0|1||||1|0|0||0|0|8|0|8|0|
IFTQSTRUCT_TQMON_u8CorDrFilPrev1|uint8|IFTQSTRUCT_TQMON|0|0|0|IFTQSTRUCT_TQMON_u8CorDrFilPrev1|0|0|Phys|-|1|1|0|Divers|Divers||IFTQSTRUCT_TQMON_u8CorDrFilPrev1||1||||||||0|1||||1|0|0||0|0|8|0|8|0|
IFTQSTRUCT_TQMON_u8CorDrFilPrev2|uint8|IFTQSTRUCT_TQMON|0|0|0|IFTQSTRUCT_TQMON_u8CorDrFilPrev2|0|0|Phys|-|1|1|0|Divers|Divers||IFTQSTRUCT_TQMON_u8CorDrFilPrev2||1||||||||0|1||||1|0|0||0|0|8|0|8|0|
IFTQSTRUCT_TQMON_u8CorDrFilPrev3|uint8|IFTQSTRUCT_TQMON|0|0|0|IFTQSTRUCT_TQMON_u8CorDrFilPrev3|0|0|Phys|-|1|1|0|Divers|Divers||IFTQSTRUCT_TQMON_u8CorDrFilPrev3||1||||||||0|1||||1|0|0||0|0|8|0|8|0|
IFTQSTRUCT_TQMON_u8CorDrFilPrev4|uint8|IFTQSTRUCT_TQMON|0|0|0|IFTQSTRUCT_TQMON_u8CorDrFilPrev4|0|0|Phys|-|1|1|0|divers|divers||IFTQSTRUCT_TQMON_u8CorDrFilPrev4||1||||||||0|1||||1|0|0||0|0|8|0|8|0|
IFTQSTRUCT_TQMON_u8CorDriFilPrev|uint8|IFTQSTRUCT_TQMON|0|0|0|IFTQSTRUCT_TQMON_u8CorDriFilPrev|0|0|Phys|-|1|1|0|Divers|Divers||IFTQSTRUCT_TQMON_u8CorDriFilPrev||1||||||||0|1||||1|0|0||0|0|8|0|8|0|
IFTQSTRUCT_TQMON_u8Inhib|uint8|IFTQSTRUCT_TQMON|0|0|0|IFTQSTRUCT_TQMON_u8Inhib|0|0|Hexa|-||||divers|divers||IFTQSTRUCT_TQMON_u8Inhib||2|||||||PTS_DOC_5050415|1|1||||1|0|0|Calibration d’inhibition du module  IFTQSTRUCT_TQMON|0|0|255|0|255|0|
