Name|Type|Requirement
SftyMgt_bInhnTarIdlCoPt_C|0|VEMS_R_10_01232_001.02
SftyMgt_nTarIdlGbxMax_C|0|VEMS_R_10_01232_001.02
SftyMgt_tiDlyNTarIdlDftOff_C|0|VEMS_R_10_01232_001.02
NTARIDLCHK_EntryInit|1|VEMS_R_10_01232_001.02
SftyMgt_bInhIniIdlDyn_C|0|VEMS_R_10_01232_001.04
SftyMgt_facIncMaxTarIdl_C|0|VEMS_R_10_01232_001.04
SftyMgt_nGrdNTarIdlDyn_C|0|VEMS_R_10_01232_001.04
SftyMgt_nMinEngSetTqSysAcv_C|0|VEMS_R_10_01232_001.04
SftyMgt_nOfsErrTarIdl_C|0|VEMS_R_10_01232_001.04
SftyMgt_nOfsNTarIdlDyn_C|0|VEMS_R_10_01232_001.04
SftyMgt_nTarIdlDynThd_C|0|VEMS_R_10_01232_001.04
SftyMgt_nTarIdlMax_C|0|VEMS_R_10_01232_001.04
SftyMgt_tiDlyNTarIdlDftOn_C|0|VEMS_R_10_01232_001.04
SftyMgt_tiDlyNTarIdlDynDft_C|0|VEMS_R_10_01232_001.04
SftyMgt_nTarIdlIni_C|0|VEMS_R_10_01232_001.04
SftyMgt_bDgoNIdl|0|VEMS_R_10_01232_002.01
SftyMgt_nTarIdlDynThd_C|0|VEMS_R_10_01232_002.01
SftyMgt_bDgoNIdl|0|VEMS_R_10_01232_001.04
SftyMgt_facIncMaxTarIdl_C|0|VEMS_R_10_01232_002.01
SftyMgt_nOfsErrTarIdl_C|0|VEMS_R_10_01232_002.01
SftyMgt_nOfsNTarIdlDyn_C|0|VEMS_R_10_01232_002.01
SftyMgt_nTarIdlIni_C|0|VEMS_R_10_01232_002.01
SftyMgt_nTarIdlMax_C|0|VEMS_R_10_01232_002.01
SftyMgt_stGBxAT_C|0|VEMS_R_10_01232_001.04
SftyMgt_stGBxAT_C|0|VEMS_R_10_01232_002.01
SftyMgt_nMinEngSetTqSysAcv_C|0|VEMS_R_10_01232_002.01
SftyMgt_nGrdNTarIdlDyn_C|0|VEMS_R_10_01232_002.01
SftyMgt_bInhIniNTarIdlStrt_C|0|VEMS_R_10_01232_001.04
SftyMgt_bInhIniNTarIdlStrt_C|0|VEMS_R_10_01232_002.01
SftyMgt_bInhIniIdlDyn_C|0|VEMS_R_10_01232_002.01
SftyMgt_tiDlyNTarIdlDynDft_C|0|VEMS_R_10_01232_002.01
SftyMgt_tiDlyNTarIdlDftOn_C|0|VEMS_R_10_01232_002.01
NTARIDLCHK_vidEntryInit|1|VEMS_R_10_01232_001.04
NTARIDLCHK_vidEntryInit|1|VEMS_R_10_01232_002.01
NTARIDLCHK_vidValConsigneRalenti|1|VEMS_R_10_01232_001.04
SftyMgt_SdlMid_nTarIdlChk|1|VEMS_R_10_01232_001.04
SftyMgt_SdlMid_nTarIdlChk|1|VEMS_R_10_01232_002.01
