Name|Type|Requirement
SftyMgt_bDgoPresDsThr|0|VEMS_R_10_01239_001.02
SftyMgt_bInhDftAirExt_C|0|VEMS_R_10_01239_001.02
SftyMgt_bInhDftGrdAirExt_C|0|VEMS_R_10_01239_001.02
SftyMgt_bInhDftPresDsThr_C|0|VEMS_R_10_01239_001.02
SftyMgt_pAirExtDftThd_C|0|VEMS_R_10_01239_001.02
SftyMgt_pGrdAirExtDftThd_C|0|VEMS_R_10_01239_001.02
SftyMgt_tiAirExtFil_C|0|VEMS_R_10_01239_001.02
SftyMgt_tiDlyAirExtDft_C|0|VEMS_R_10_01239_001.02
SftyMgt_tiDlyGrdAirExtDft_C|0|VEMS_R_10_01239_001.02
SftyMgt_tiDlyPresDsThrOn_C|0|VEMS_R_10_01239_001.02
SftyMgt_tiOpTrbActFil_C|0|VEMS_R_10_01239_001.02
SftyMgt_nCkFilSftyPresX_A|0|VEMS_R_10_01239_001.02
SftyMgt_nCkFilTrbActX_A|0|VEMS_R_10_01239_001.02
SftyMgt_nPresOffsSfty_A|0|VEMS_R_10_01239_001.02
SftyMgt_pAirExtCor_T|0|VEMS_R_10_01239_001.02
SftyMgt_pDsThrEstim_M|0|VEMS_R_10_01239_001.02
SftyMgt_pOffsSfty_T|0|VEMS_R_10_01239_001.02
SftyMgt_pTrbActCor_M|0|VEMS_R_10_01239_001.02
SftyMgt_posnThrSftyPresY_A|0|VEMS_R_10_01239_001.02
SftyMgt_rOpTrbActFilY_A|0|VEMS_R_10_01239_001.02
SftyMgt_pDsThrOfs_M|0|VEMS_R_10_01239_001.02
SftyMgt_rOpTrbActReqGrdThd_C|0|VEMS_R_10_01239_001.02
SftyMgt_tiOpTrbActFilDown_C|0|VEMS_R_10_01239_001.02
SftyMgt_tiOpTrbActFilUp_C|0|VEMS_R_10_01239_001.02
SftyMgt_bCfPDsThrEstim_C|0|VEMS_R_10_01239_001.02
SftyMgt_rTrbActCor_M|0|VEMS_R_10_01239_001.02
SftyMgt_tiPosnThrFil_C|0|VEMS_R_10_01239_001.02
PDSTHRCHK_vidEntryInit|1|VEMS_R_10_01239_001.02
PDSTHRCHK_vidEstimOffAppSec|1|VEMS_R_10_01239_003.02
PDSTHRCHK_vidSecurPressSensor|1|VEMS_R_10_01239_005.01
SftyMgt_SdlMid_pDsThrChk|1|VEMS_R_10_01239_001.02
SftyMgt_pAirExt_A|0|VEMS_R_10_01239_001.02
SftyMgt_facAirExtCor_T|0|VEMS_R_10_01239_001.02
PDSTHRCHK_vidEstimPresAdmission|1|VEMS_R_10_01239_002.04
PDSTHRCHK_vidCompSecurisation|1|VEMS_R_10_01239_004.04
SftyMgt_pDsThrEstimBas1_M|0|VEMS_R_10_01239_001.02
SftyMgt_pDsThrEstimBas2_M|0|VEMS_R_10_01239_001.02
SftyMgt_pTrbActCorBas1_M|0|VEMS_R_10_01239_001.02
SftyMgt_pTrbActCorBas2_M|0|VEMS_R_10_01239_001.02
