Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
BufNEs_idxLstBufWr|uint8|HEADER|1|0|0|BufNEs_idxLstBufWr|0|0|Phys|-|1|1|0|Divers|Divers||BufNEs_idxLstBufWr||1||||||||0|1||||1|0|0||0|0|255|0|255|0|
BufNEs_noNFillTi|uint8|HEADER|1|0|0|BufNEs_noNFillTi|0|0|Phys|-|1|1|0|Divers|Divers||BufNEs_noNFillTi||1||||||||0|1||||1|0|0||0|0|255|0|255|0|
BufNEs_prm_tiCgtBuf|uint32|HEADER|1|1|12|BufNEs_prm_tiCgtBuf|0|0|Phys|s|1|0.000001|0|Divers|Divers||BufNEs_prm_tiCgtBuf||1||*||*||*||0|1||||1|0|0||0|0|500000|0|0.5|0|
CoEmCkg_bInfoCplReq|boolean|HEADER|1|0|0|CoEmCkg_bInfoCplReq|0|0|Phys|bool|2|0||IFRTE|IFRTE||CoEmCkg_bInfoCplReq||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoEmCkg_bInfoCplSt|boolean|HEADER|1|0|0|CoEmCkg_bInfoCplSt|0|0|Phys|bool|2|0||IFRTE|IFRTE||CoEmCkg_bInfoCplSt||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoEmCkg_nStaEgdHiThd|uint16|HEADER|1|0|0|CoEmCkg_nStaEgdHiThd|0|0|Phys|RPM|1|1|0|IFRTE|IFRTE||CoEmCkg_nStaEgdHiThd||1||||||||0|1||||1|0|0||0|0|500|0|500|0|
CoEmCkg_nStaEgdLoThd|uint16|HEADER|1|0|0|CoEmCkg_nStaEgdLoThd|0|0|Phys|RPM|1|1|0|IFRTE|IFRTE||CoEmCkg_nStaEgdLoThd||1||||||||0|1||||1|0|0||0|0|500|0|500|0|
CoEmCkg_stStrtRstrtFbCmd|uint8|HEADER|1|0|0|CoEmCkg_stStrtRstrtFbCmd|0|0|Phys|-|1|1|0|IFRTE|IFRTE||CoEmCkg_stStrtRstrtFbCmd||1||||||||0|1||||1|0|0||0|0|3|0|3|0|
CoEmCkg_stSTTCf|uint8|HEADER|1|0|0|CoEmCkg_stSTTCf|0|0|Phys|-|1|1|0|IFRTE|IFRTE||CoEmCkg_stSTTCf||1||||||||0|1||||1|0|0||0|0|3|0|3|0|
CoEmCkg_tiStaEgdHiThd|uint8|HEADER|1|0|0|CoEmCkg_tiStaEgdHiThd|0|0|Phys|s|1|0.001|0|IFRTE|IFRTE||CoEmCkg_tiStaEgdHiThd||1||||||||0|1||||1|0|0||0|0|250|0|0.25|0|
CoEmCkg_tiStaEgdLoThd|uint8|HEADER|1|0|0|CoEmCkg_tiStaEgdLoThd|0|0|Phys|s|1|0.001|0|IFRTE|IFRTE||CoEmCkg_tiStaEgdLoThd||1||||||||0|1||||1|0|0||0|0|250|0|0.25|0|
CoEs_bAcvInjCutOffSTTEs|boolean|HEADER|1|0|0|CoEs_bAcvInjCutOffSTTEs|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoEs_bAcvInjCutOffSTTEs||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoPtUH_bDrvTraOp|boolean|HEADER|1|0|0|CoPtUH_bDrvTraOp|0|0|Phys|bool|2|0||Divers|Divers||CoPtUH_bDrvTraOp||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_bAuthInj|boolean|HEADER|1|0|0|Ext_bAuthInj|0|0|Phys|bool|2|0||Divers|Divers||Ext_bAuthInj||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_bDirRotCk|boolean|HEADER|1|0|0|Ext_bDirRotCk|0|0|Phys|bool|2|0||Divers|Divers||Ext_bDirRotCk||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_nEng|uint16|HEADER|1|0|0|Ext_nEng|0|0|Phys|RPM|1|1|0|Divers|Divers||Ext_nEng||1||||||||0|1||||1|0|0||0|0|7500|0|7500|0|
Ext_noCylEng_SC|uint8|HEADER|1|0|0|Ext_noCylEng_SC|0|0|Phys|-|||||||Ext_noCylEng_SC||3||||||||0|1|||3|0|0|0||0|||||0|
FRM_FRM_ACVCOSYNCDFTCK|uint16|HEADER|1|0|0|FRM_FRM_ACVCOSYNCDFTCK|0|0|Phys|-|||||||FRM_FRM_ACVCOSYNCDFTCK||3||||||||0|1|||1|0|0|0||0|||||0|
InjCtl_mfFuReq|uint16|HEADER|1|0|0|InjCtl_mfFuReq|0|0|Phys|mg/cp|1|1/16|0|Divers|Divers||InjCtl_mfFuReq||1||||||||0|1||||1|0|0||0|0|1600|0|100|0|
PredEs_agEng|uint8|PREDES|0|0|0|PredEs_agEng|0|0|Phys|°Ck|1|6|0|Phases moteur|Phases moteur||PredEs_agEng||1||||||||0|1||||1|0|0||0|0|120|0|720|0|
PredEs_agEngDly|uint8|PREDES|0|0|0|PredEs_agEngDly|0|0|Phys|°Ck|1|6|0|Phases moteur|Phases moteur||PredEs_agEngDly||1||||||||0|1||||1|0|0||0|0|120|0|720|0|
PredEs_agMissCgt_C|uint16|HEADER|1|0|0|PredEs_agMissCgt_C|0|0|Phys|°Ck|1|1|0|Phases moteur|Phases moteur||PredEs_agMissCgt_C||2|||||||PTS_DOC_5141019|1|1||||1|0|0|Engine angle (on 360°vil) of the  first gap edge.|0|0|720|0|720|0|
PredEs_agMissCgt360|uint8|PREDES|0|0|0|PredEs_agMissCgt360|0|0|Phys|°Ck|1|6|0|Phases moteur|Phases moteur||PredEs_agMissCgt360||1||||||||0|1||||1|0|0||0|0|120|0|720|0|
PredEs_bAcvClcPredCurN|boolean|PREDES|0|0|0|PredEs_bAcvClcPredCurN|0|0|Phys|bool|2|0||Phases moteur|Phases moteur||PredEs_bAcvClcPredCurN||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
PredEs_bAcvClcPredNHi|boolean|PREDES|0|0|0|PredEs_bAcvClcPredNHi|0|0|Phys|bool|2|0||Phases moteur|Phases moteur||PredEs_bAcvClcPredNHi||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
PredEs_bAcvClcPredNLo|boolean|PREDES|0|0|0|PredEs_bAcvClcPredNLo|0|0|Phys|bool|2|0||Phases moteur|Phases moteur||PredEs_bAcvClcPredNLo||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
PredEs_bAcvInfoCpl_C|uint8|PREDES|1|0|0|PredEs_bAcvInfoCpl_C|0|0|Phys|-|1|1|0|Phases moteur|Phases moteur||PredEs_bAcvInfoCpl_C||2|||||||PTS_DOC_5141019|1|1||||1|0|0|Calibration of the counter value of the PredEs_bOkOscNRaw variable|0|0|255|0|255|0|
PredEs_bAcvOKOscN_C|boolean|PREDES|1|0|0|PredEs_bAcvOKOscN_C|0|0|Phys|bool|2|0||Phases moteur|Phases moteur||PredEs_bAcvOKOscN_C||2|||||||PTS_DOC_5141019|1|1||||1|0|0|Activation of the starter engagement authorization|0|0|1|0|1|0|
PredEs_bAcvRecBuf|boolean|PREDES|0|0|0|PredEs_bAcvRecBuf|0|0|Phys|bool|2|0||Phases moteur|Phases moteur||PredEs_bAcvRecBuf||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
PredEs_bAcvRecBuf0_MP|boolean|PREDES|0|0|0|PredEs_bAcvRecBuf0_MP|0|0|Phys|bool|2|0||Phases moteur|Phases moteur||PredEs_bAcvRecBuf0_MP||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
