Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
GDGAR_bGetFRM|A|(argin uint16 u16IndexFRM)boolean;|1|HEADER|1|NONE||||0|0|0|0||
PredEs_Sdl10ms_PredEs|C|();|SCH.2|PREDES|1|PTS_DOC_5141019||||0|0|0|0|Accroche moniteur 10 ms.|
PREDES_vidActCalStrtEngaAuthrEng|B|();|FCT1.3|PREDES|0|PTS_DOC_5141019||||0|0|0|0|This block disables the function calculation, if the engine speed is higher than a threshold.|
PREDES_vidCalcCrkPosBfrEngDirChg|C|();|FCT3.5|PREDES|0|PTS_DOC_5141019||||0|0|0|0|This block calculates the covered angle between the last crankshaft edge preceding the first predicted crankshaft direction change and the first crankshaft direction change.|
PREDES_vidCalcDlyBtwEngSpdNCrtTi|C|();|FCT2.9|PREDES|0|PTS_DOC_5141019||||0|0|0|0|This block evaluates the duration between the last instantaneous engine speed calculation and the current function call (current time).|
PREDES_vidCalcInfEstTiBtwPrdNBfN|D|();|FCT2.7|PREDES|0|PTS_DOC_5141019||||0|0|0|0|The block outputs are used to calculate the delay between the last crankshaft signal falling edge and the current function call.|
PREDES_vidCalcInstEngSpdNFillBfr|C|();|FCT2.5|PREDES|0|PTS_DOC_5141019||||0|0|0|0|This block calculates the instantaneous engine speeds (with a range of18°Ck), before records its.|
PREDES_vidCalcPredictionSetpts|C|();|FCT2.6|PREDES|0|PTS_DOC_5141019||||0|0|0|0|This block calculates the delay of instantaneous engine speed, due to: The calculation delay of the instantaneous engine speed and  the delay between the last crankshaft signal edge and the engine speed prediction|
PREDES_vidCalcStrtEngaAuthrEng|C|();|FCT1.4|PREDES|0|PTS_DOC_5141019||||0|0|0|0|This bloc calculates the starter engagement authorization.|
PREDES_vidCalcStrtrEngaAfrEngDir|C|();|FCT1.6|PREDES|0|PTS_DOC_5141019||||0|0|0|0|This block checks if the engine speed is good to request an engagement during oscillations engine (before final engine stop).|
PREDES_vidCalcStrtrEngaBfrEngDir|C|();|FCT1.9|PREDES|0|PTS_DOC_5141019||||0|0|0|0|This block checks during deceleration phase (Before engine direction change), if the engine speed is good to request an engagement.|
PREDES_vidCalculateIncrementStep|B|();|FCT3.3|PREDES|0|PTS_DOC_5141019||||0|0|0|0|This block calculates the teeth number to foresee. Also, the increment between two call loop is determined.|
PREDES_vidCalculatPredictionTime|B|();|FCT3.6|PREDES|0|PTS_DOC_5141019||||0|0|0|0|This block evaluates:- The instantaneous engine speed and the previous one, - The matching prediction durations|
PREDES_vidCalEngSpdLnkWthWhilInc|B|();|FCT3.4|PREDES|0|PTS_DOC_5141019||||0|0|0|0|This block predicts the square engine speed after PredEs_noTrigCor crankshaft signal teeth.|
PREDES_vidChkCondToEngagAreFlfld|E|();|FCT4.4|PREDES|0|PTS_DOC_5141019||||0|0|0|0|This block informs that the engine speed will have the aspects to request a starter engagement.|
PREDES_vidChkEngSpdToEngageStrtr|B|();|FCT3.9|PREDES|0|PTS_DOC_5141019||||0|0|0|0|This block guarantees the engine speed ranges between 2 threshold engine speed (Minimal and maximal engagement engine speed).|
PREDES_vidChkIfCndToFilbfrRFlfld|C|();|FCT1.10|PREDES|0|PTS_DOC_5141019||||0|0|0|0|This block checks if the conditions are present to fill the instantaneous engine speed buffer (mainly during a stop engine STT request).|
PREDES_vidCoordinatWhileLoopPrt1|C|();|FCT3.2|PREDES|0|PTS_DOC_5141019||||0|0|0|0|This block creates the flowing information:- The calculation activation of the predicted variables, - The called prediction calculation, - The stop condition of the while loop|
PREDES_vidCoordinatWhileLoopPrt2|C|();|FCT3.7|PREDES|0|PTS_DOC_5141019||||0|0|0|0|This block creates the flowing information:- The calculation activation of the predicted variables, - The called prediction calculation, - The stop condition of the while loop|
PREDES_vidCorrectPredictionTime|C|();|FCT2.10|PREDES|0|PTS_DOC_5141019||||0|0|0|0|This block corrects the prediction times and engine speed values. Also, the engine speed offset is estimated to correct the engine model.|
PREDES_vidCorrOutIfCalcDisabled|B|();|FCT4.7|PREDES|0|PTS_DOC_5141019||||0|0|0|0|This block disables the engagement authorization if the engine speed is higher than a threshold.|
PREDES_vidCreatLvlBtw6DgrVarNFct|D|();|FCT1.5|PREDES|0|PTS_DOC_5141019||||0|0|0|0|This block is a layer to check value of the variables updated every crankshaft signal falling edge (With software like INCA).|
PREDES_vidCrtLogDatToCalcInstSpd|D|();|FCT2.4|PREDES|0|PTS_DOC_5141019||||0|0|0|0|This block informs if the engine is in the crankshaft signal tooth.|
PREDES_vidCrtNumDatToCalcInstSpd|B|();|FCT2.3|PREDES|0|PTS_DOC_5141019||||0|0|0|0|This block gives: - The instantaneous engine speed number to record in the buffer, - The current crankshaft tooth type., - The buffer address to record the engine speed.|
PREDES_vidDetectSmallEngSpdOsc|B|();|FCT1.7|PREDES|0|PTS_DOC_5141019||||0|0|0|0|The maximal engine speed is recorded during the negative oscillations. If the recorded maximal engine speed is slower than maximal engagement engine speed, then an engagement request authorization is valid.|
PredEs_vidEntryInit|C|();|SCH.1|PREDES|1|PTS_DOC_5141019||||0|0|0|0|Événement reset calculateur.|
PREDES_vidEstimatCorrectedEngSpd|B|();|FCT4.3|PREDES|0|PTS_DOC_5141019||||0|0|0|0|This block calculates the current engine speed in case of the current engine speed with delay compensation is invalid.|
PREDES_vidEstmTibtwPrdEsNBufNEs|C|();|FCT2.8|PREDES|0|PTS_DOC_5141019||||0|0|0|0|This block evaluates the duration between the function call (current time) and the last crankshaft signal falling edge.|
PREDES_vidEvaluatCorEngSpdValdty|C|();|FCT4.2|PREDES|0|PTS_DOC_5141019||||0|0|0|0|This block evaluates the current engine speed validity (with delay correction).|
PREDES_vidFillInstanEngSpdBuffer|B|();|FCT2.1|PREDES|0|PTS_DOC_5141019||||0|0|0|0|This block creates a buffer of instantaneous engine speed.|
PREDES_vidFormatInformation|C|();|FCT4.1|PREDES|0|PTS_DOC_5141019||||0|0|0|0|This block calculates several variables:- The current engine speed, - The current engine speed validity, - The offset time to compensate the prediction setpoints, - And mainly, the engagement authorization before the first engine direction change|
PREDES_vidGlobalView|C|();|FCT1.2|PREDES|0|PTS_DOC_5141019||||0|0|0|0|This block indicates if a starter engagement could be requested.|
PREDES_vidInitOutput|F|();|FCT1.1|PREDES|0|PTS_DOC_5141019||||0|0|0|0|Fonction initialisation.|
PREDES_vidMergThe2Authorizations|B|();|FCT4.6|PREDES|0|PTS_DOC_5141019||||0|0|0|0|This block merges information:- First one created during the engine stop before the change of the rotation direction, - Second one created during the engine stop after the change of the rotation direction|
PREDES_vidPredictEngineSpeed|C|();|FCT3.1|PREDES|0|PTS_DOC_5141019||||0|0|0|0|This block calculates with loop the following variables:- The engine speeds for the current time, - If the engine speed is ranged from the minimal to the maximal engagement engine speed, - If the predicted engine speed with maximal duration has been made|
PREDES_vidPredictEngSpdForDefiTi|B|();|FCT3.8|PREDES|0|PTS_DOC_5141019||||0|0|0|0|This block interpolates 3 times the engine speed with:- The engine speed predicts for a time smaller than the setpoint duration, - The predicted engine speed for a time higher than the setpoint duration|
