Name|Type|Requirement
PredEs_agEs|0|VEMS_R_10_02549_001.01
PredEs_agUncrtEs|0|VEMS_R_10_02549_001.01
PredEs_bDetSlowN|0|VEMS_R_10_02549_001.01
PredEs_bVldAgEs|0|VEMS_R_10_02549_001.01
PredEs_bVldFastN|0|VEMS_R_10_02549_001.01
PredEs_nFast|0|VEMS_R_10_02549_001.01
PredEsChg_bDgoNFast_C|0|VEMS_R_10_02549_001.01
PredEsChg_nThdAcvFct_C|0|VEMS_R_10_02549_001.01
PREDESCHG_vidPredEsChgDraft|1|VEMS_R_10_02549_001.01
PREDESCHG_vidInhibCalcRegHautReg|1|VEMS_R_10_02549_002.01
PREDESCHG_vidEffectSwitchCasVie|1|VEMS_R_10_02549_004.01
PREDESCHG_vidEntry_10ms|1|VEMS_R_10_02549_001.01
PREDESCHG_vidEntry_10ms|1|VEMS_R_10_02549_005.01
PREDESCHG_vidEntry_10ms|1|VEMS_R_10_02549_006.01
PREDESCHG_vidEntryInit|1|VEMS_R_10_02549_001.01
PREDESCHG_vidEntryInit|1|VEMS_R_10_02549_005.01
PREDESCHG_vidEffectCalcRegInsta|1|VEMS_R_10_02549_003.01
