Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
CoPt_Sdl10ms_ProtDftlClc|A|();|SCH.2|PROTDFTLCLC|1|V02 NT 11 04686||||0|0|0|0|Fonction d'accroche au moniteur 10ms|
GDGAR_bGetFRM|A|func_FRM_bGetFRM|1|HEADER|1|NONE||||0|0|0|0|Fonction de production de variables FRM|
PROTDFTLCLC_vidCoordCouplLimit|A|();|FCT2.4|PROTDFTLCLC|0|V02 NT 11 04686||||0|0|0|0|Ce bloc coordonne les limitations. Le couple CoPt_tqEfcMaxProtDftl de sortie de la spécification répond au besoin de protection du différentiel et au besoin de protection contre la surchauffe des freins.|
PROTDFTLCLC_vidDetActLimitCouple|A|();|FCT1.9|PROTDFTLCLC|0|V02 NT 11 04686||||0|0|0|0|Ce bloc détermine l’activation de la protection du différentiel. La protection peut être inhibée par une calibration.|
PROTDFTLCLC_vidDetCoupleCouronne|A|();|FCT1.4|PROTDFTLCLC|0|V02 NT 11 04686||||0|0|0|0|Ce bloc détermine le couple couronne à partir du taux de conversion de couple et du couple moteur réel.|
PROTDFTLCLC_vidDetCoupleLimitMot|A|();|FCT2.2|PROTDFTLCLC|0|V02 NT 11 04686||||0|0|0|0|Ce bloc détermine la limitation de couple moteur pour la protection du différentiel. Il est calculé à partir du couple roue de limitation et du taux de conversion de couple.|
PROTDFTLCLC_vidDetCoupleLimitRou|A|();|FCT2.1|PROTDFTLCLC|0|V02 NT 11 04686||||0|0|0|0|Ce bloc détermine le couple roue de limitation à partir du régime différentiel des roues motrices et du taux de sollicitation énergétique du différentiel.|
PROTDFTLCLC_vidDetCoupleProtDiff|A|();|FCT1.10|PROTDFTLCLC|0|V02 NT 11 04686||||0|0|0|0|Ce bloc détermine la limitation de couple applicable si la protection du différentiel est  activée. La fonction se décompose en 2 blocs : Calcul de la limitation de couple à la roue, Calcul de la limitation de couple moteur.|
PROTDFTLCLC_vidDetCouplProtFrein|A|();|FCT2.3|PROTDFTLCLC|0|V02 NT 11 04686||||0|0|0|0|Ce bloc détermine le couple de protection contre la surchauffe freins. Ce couple est fonction du régime moteur et du rapport de boite engagé. Il est filtré et prend la valeur de 2000 Nm lorsque la protection des freins est inactive.|
PROTDFTLCLC_vidDetEnergieCourant|A|();|FCT1.3|PROTDFTLCLC|0|V02 NT 11 04686||||0|0|0|0|Ce bloc détermine les composantes énergétiques. La fonction se décompose en 4 blocs : Déterminer le couple couronne, Estimer le régime différentiel des roues motrices,  Déterminer la puissance, Déterminer l’énergie.|
PROTDFTLCLC_vidDeterminerEnergie|A|();|FCT1.7|PROTDFTLCLC|0|V02 NT 11 04686||||0|0|0|0|Ce bloc détermine l’énergie dans le différentiel ainsi que l’énergie « exceptionnelle » du différentiel.|
PROTDFTLCLC_vidDetPuissance|A|();|FCT1.6|PROTDFTLCLC|0|V02 NT 11 04686||||0|0|0|0|Ce bloc détermine la puissance fournie par le moteur au différentiel. Cette puissance est égale au produit du couple couronne et du régime différentiel des roues motrices.|
PROTDFTLCLC_vidEntryInit|A|();|SCH.1|PROTDFTLCLC|1|V02 NT 11 04686||||0|0|0|0|Evénement reset du calculateur.|
PROTDFTLCLC_vidEstimerRegimeDiff|A|();|FCT1.5|PROTDFTLCLC|0|V02 NT 11 04686||||0|0|0|0|Ce bloc convertit les vitesses roues en régimes roues pour déterminer le régime différentiel des roues motrices ainsi que le régime moyen des roues arrière.|
PROTDFTLCLC_vidEstimSollicit|A|();|FCT1.8|PROTDFTLCLC|0|V02 NT 11 04686||||0|0|0|0|Ce bloc calcule la sollicitation énergétique du différentiel.|
PROTDFTLCLC_vidEstimSollicitDiff|A|();|FCT1.2|PROTDFTLCLC|0|V02 NT 11 04686||||0|0|0|0|Ce bloc estime les sollicitations du différentiel. La fonction se décompose en 2 blocs:Déterminer l’énergie courante dans le différentiel, Estimer la sollicitation énergétique du différentiel par rapport à son énergie maximale admissible.|
PROTDFTLCLC_vidInitOutput|A|();|FCT1.1|PROTDFTLCLC|0|V02 NT 11 04686||||0|0|0|0|Initialisation des sorties|
