Name|Type|Requirement
PROTDFTLCLC_vidDetActLimitCouple|1|VEMS_R_11_04686_009.01
PROTDFTLCLC_vidDetCoupleProtDiff|1|VEMS_R_11_04686_010.01
PROTDFTLCLC_vidDetCoupleLimitRou|1|VEMS_R_11_04686_011.01
PROTDFTLCLC_vidDetCoupleLimitMot|1|VEMS_R_11_04686_012.01
PROTDFTLCLC_vidDetCouplProtFrein|1|VEMS_R_11_04686_013.01
PROTDFTLCLC_vidCoordCouplLimit|1|VEMS_R_11_04686_014.01
PROTDFTLCLC_vidEntryInit|1|VEMS_R_11_04686_001.01
CoPt_Sdl10ms_ProtDftlClc|1|VEMS_R_11_04686_001.01
CoPt_bProtDftlAcv_C|0|VEMS_R_11_04686_001.01
CoPt_bTqStProt_C|0|VEMS_R_11_04686_001.01
CoPt_dstWhlProtDftl_C|0|VEMS_R_11_04686_001.01
CoPt_facFilProtBrk_C|0|VEMS_R_11_04686_001.01
CoPt_facGainFilFastProtDftl_C|0|VEMS_R_11_04686_001.01
CoPt_facGainFilNProtDftl_C|0|VEMS_R_11_04686_001.01
CoPt_facGainFilSlowProtDftl_C|0|VEMS_R_11_04686_001.01
CoPt_facSpdWhlFil_C|0|VEMS_R_11_04686_001.01
CoPt_nAcvProtDftl_C|0|VEMS_R_11_04686_001.01
CoPt_nDeltaAcvProtDftl_C|0|VEMS_R_11_04686_001.01
CoPt_pwrColdProtDftl_C|0|VEMS_R_11_04686_001.01
CoPt_tiAcvTqProtBrk_C|0|VEMS_R_11_04686_001.01
CoPt_tiAcvTqProtDftl_C|0|VEMS_R_11_04686_001.01
CoPt_tiDeacTqProtBrk_C|0|VEMS_R_11_04686_001.01
CoPt_tiDeacTqProtDftl_C|0|VEMS_R_11_04686_001.01
CoPt_tqOfsStProt_C|0|VEMS_R_11_04686_001.01
CoPt_wMaxProtDftl_C|0|VEMS_R_11_04686_001.01
CoPt_wMaxSatProtDftl_C|0|VEMS_R_11_04686_001.01
CoPt_wMaxSpcProtDftl_C|0|VEMS_R_11_04686_001.01
CoPt_nDftlMaxProtDftl_A|0|VEMS_R_11_04686_001.01
CoPt_nDftlMinProtDftl_A|0|VEMS_R_11_04686_001.01
CoPt_nEngProtBrkX_A|0|VEMS_R_11_04686_001.01
CoPt_noGearProtBrkY_A|0|VEMS_R_11_04686_001.01
CoPt_tqEfcMaxProtBrk_M|0|VEMS_R_11_04686_001.01
CoPt_tqWhlMaxProtDftl_T|0|VEMS_R_11_04686_001.01
CoPt_tqWhlMinProtDftl_T|0|VEMS_R_11_04686_001.01
CoPt_stProt|0|VEMS_R_11_04686_001.01
CoPt_tqEfcMaxProtDftl|0|VEMS_R_11_04686_001.01
PROTDFTLCLC_vidEstimSollicitDiff|1|VEMS_R_11_04686_002.01
PROTDFTLCLC_vidDetEnergieCourant|1|VEMS_R_11_04686_003.01
PROTDFTLCLC_vidDetCoupleCouronne|1|VEMS_R_11_04686_004.01
PROTDFTLCLC_vidEstimerRegimeDiff|1|VEMS_R_11_04686_005.01
PROTDFTLCLC_vidDetPuissance|1|VEMS_R_11_04686_006.01
PROTDFTLCLC_vidDeterminerEnergie|1|VEMS_R_11_04686_007.01
PROTDFTLCLC_vidEstimSollicit|1|VEMS_R_11_04686_008.01
