Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
CoVSCtl_rAccPEng|uint16|HEADER|1|0|0|CoVSCtl_rAccPEng|0|0|Phys|%|1|1/128|0|IFRTE|IFRTE||CoVSCtl_rAccPEng||1||||||||0|1||||1|0|0||0|0|12800|0|100|0|
D4|uint16|HEADER|1|0|0|D4|0|0|Phys|-|1|1/4|0|communication|communication||D4||4||||||||0|1||||1|0|0||0|0|65535|0|16383.75|0|
Eng_nCkFil|uint16|HEADER|1|0|0|Eng_nCkFil|0|0|Phys|RPM|1|1/4|0|IFRTE|IFRTE||Eng_nCkFil||1||||||||0|1||||1|0|0||0|0|32000|0|8000|0|
EngLim_tqEfcLdMaxWoutOvb|sint16|HEADER|1|0|0|EngLim_tqEfcLdMaxWoutOvb|0|0|Phys|N.m|1|1/16|0|Structure Couple|Structure Couple||EngLim_tqEfcLdMaxWoutOvb||1||||||||0|1||||1|0|0||0|-32000|32000|-2000|2000|0|
EngLim_tqIdcPresUsThrMax|sint16|HEADER|1|0|0|EngLim_tqIdcPresUsThrMax|0|0|Phys|N.m|1|1/16|0|IFRTE|IFRTE||EngLim_tqIdcPresUsThrMax||1||||||||0|1||||1|0|0||0|-32000|32000|-2000|2000|0|
EOM_bInhTqSysRich|boolean|HEADER|1|0|0|EOM_bInhTqSysRich|0|0|Phys|bool|2|0||Divers|Divers||EOM_bInhTqSysRich||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_bInhTqSysOvb|boolean|HEADER|1|0|0|Ext_bInhTqSysOvb|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||Ext_bInhTqSysOvb||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_tCoMes|sint16|HEADER|1|0|0|Ext_tCoMes|0|0|Phys|°C|1|1|0|Divers|Divers||Ext_tCoMes||1||||||||0|1||||1|0|0||0|-40|214|-40|214|0|
FRM_FRM_INHTQSYSOVB|uint16|HEADER|1|0|0|FRM_FRM_INHTQSYSOVB|0|0|Phys|-|||||||FRM_FRM_INHTQSYSOVB||3||||||||0|1|||1|0|0|0||0|||||0|
FRM_FRM_INHTQSYSRICH|uint16|HEADER|1|0|0|FRM_FRM_INHTQSYSRICH|0|0|Phys|-|||||||FRM_FRM_INHTQSYSRICH||3||||||||0|1|||0|0|0|0||0|||||0|
