Name|Type|Requirement
SBPAGEN_TqSys_EveSync|1|VEMS_R_08_07560_002.01
TqSys_bAcvSBPA_C|0|VEMS_R_08_07560_002.01
SBPAGEN_vidDecaler_registre|1|VEMS_R_08_07560_004.01
SBPAGEN_vidEffectuer_traitements|1|VEMS_R_08_07560_006.01
TqSys_bAcvSBPAClc_C|0|VEMS_R_08_07560_002.02
TqSys_noPerSBPA_C|0|VEMS_R_08_07560_002.02
TqSys_tqHiLvlSBPA_C|0|VEMS_R_08_07560_002.02
TqSys_tqLoLvlSBPA_C|0|VEMS_R_08_07560_002.02
TqSys_ctCycSBPA|0|VEMS_R_08_07560_002.02
TqSys_ctPerSBPA|0|VEMS_R_08_07560_002.02
TqSys_tqIdcLvlSBPA|0|VEMS_R_08_07560_002.02
TqSys_tqIdcSBPA|0|VEMS_R_08_07560_002.02
SBPAGEN_u8Inhib|0|VEMS_R_08_07560_002.02
SBPAGEN_vidCalculer_niveau|1|VEMS_R_08_07560_003.01
SBPAGEN_vidEntryInit|1|VEMS_R_08_07560_002.02
SBPAGEN_vidInitOutput|1|VEMS_R_08_07560_002.02
SBPAGEN_vidModifier_niveau|1|VEMS_R_08_07560_005.01
TqSys_EveSync_SBPA|1|VEMS_R_08_07560_002.02
