Implement|ArgumentOrder|ItemType|Star|MasterType|ItemName|DimX|DimY|typedef_a_supprimer|Validation|Module|Public|Kind_of_export
struct|0|ub|0|uint8||||0|0|TYPEDEF|1|None
struct|0|uw|0|uint16||||0|0|TYPEDEF|1|None
struct|0|u4|0|uint32||||0|0|TYPEDEF|1|None
struct|0|sb|0|sint8||||0|0|TYPEDEF|1|None
struct|0|sw|0|sint16||||0|0|TYPEDEF|1|None
struct|0|s4|0|sint32||||0|0|TYPEDEF|1|None
struct|0|bool|0|boolean||||0|0|TYPEDEF|1|None
struct|0|uint8|0|Std_ReturnType||||0|0|TYPEDEF|1|None
struct|0|uint16|0|ADCHAL_tudtAdcResult||||0|0|TYPEDEF|1|None
argret||ADCHAL_tudtAdcResult|0|func_ADCHAL_udtRead||||0|0|TYPEDEF|1|None
argin|1|uint8|0|func_ADCHAL_udtRead|u8Channel|||0|0|TYPEDEF|1|None
argret||boolean|0|func_CAMEXHAL_bGetInCamLevel||||0|0|TYPEDEF|1|None
argret||boolean|0|func_CAMEXHAL_bIsCamRunning||||0|0|TYPEDEF|1|None
argret||boolean|0|func_CAMEXHAL_bSynchronized||||0|0|TYPEDEF|1|None
argret||uint16|0|func_CAMEXHAL_u16GetEngineAngle||||0|0|TYPEDEF|1|None
argret||uint32|0|func_CAMEXHAL_u32GetCamToothPer||||0|0|TYPEDEF|1|None
argret||uint8|0|func_CAMEXHAL_u8NSNCamSynchro||||0|0|TYPEDEF|1|None
argret||uint8|0|func_CAMEXHAL_u8PSACamSynchro||||0|0|TYPEDEF|1|None
argret||uint8|0|func_CAMEXHAL_u8RSACamSynchro||||0|0|TYPEDEF|1|None
argret||uint8|0|func_CAMEXHAL_u8Synchronisation||||0|0|TYPEDEF|1|None
struct|0|uint8|0|CAMHAL_tenuMode||||0|0|TYPEDEF|1|None
argret||Std_ReturnType|0|func_CAMHAL_udtEnableDetection||||0|0|TYPEDEF|1|None
argret||Std_ReturnType|0|func_CAMHAL_udtDisableDetection||||0|0|TYPEDEF|1|None
argret||Std_ReturnType|0|func_CAMHAL_udtEnableSynchron||||0|0|TYPEDEF|1|None
argret||Std_ReturnType|0|func_CAMHAL_udtDisableSynchron||||0|0|TYPEDEF|1|None
argret||Std_ReturnType|0|func_CAMHAL_udtForceDesynchron||||0|0|TYPEDEF|1|None
argret||Std_ReturnType|0|func_CAMHAL_DisableEvtActivation||||0|0|TYPEDEF|1|None
argret||Std_ReturnType|0|func_CAMHAL_EnableEvtActivation||||0|0|TYPEDEF|1|None
struct|0|uint8|0|CAMHAL_tenuCylinderNumber||||0|0|TYPEDEF|1|None
struct|0|CAMHAL_tenuCylinderNumber|0|CRKHAL_tenuCylinderNumber||||0|0|TYPEDEF|1|None
argret|1||0|PROTOTYPE_TASK||||0|0|TYPEDEF|1|None
argret|1||0|PROTOTYPE_ISR||||0|0|TYPEDEF|1|None
argret|1||0|PROTOTYPE_ISR_1||||0|0|TYPEDEF|1|None
argret|1||0|PROTOTYPE_ALARMCALLBACK||||0|0|TYPEDEF|1|None
struct|0|ub|0|u8||||0|0|TYPEDEF|1|None
argret||Std_ReturnType|0|func_CRKHAL_udtReadMode||||0|0|TYPEDEF|1|None
argout|1|CRKHAL_tenuMode|1|func_CRKHAL_udtReadMode|penuMode|||0|0|TYPEDEF|1|None
argret||Std_ReturnType|0|func_CRKHAL_udtReadStatus||||0|0|TYPEDEF|1|None
argin|1|uint8|0|func_CRKHAL_udtReadStatus|u8Channel|||0|0|TYPEDEF|1|None
argout|2|boolean|1|func_CRKHAL_udtReadStatus|pbStatus|||0|0|TYPEDEF|1|None
argret||uint16|0|func_CRKHAL_u16ReadAlarm||||0|0|TYPEDEF|1|None
argin|1|uint8|0|func_CRKHAL_u16ReadAlarm|u8Channel|||0|0|TYPEDEF|1|None
argret||Std_ReturnType|0|func_CRKHAL_udtGTTA||||0|0|TYPEDEF|1|None
argout|1|uint16|1|func_CRKHAL_udtGTTA|pu16ToothAngle|||0|0|TYPEDEF|1|None
struct|0|uint8|0|CRKHAL_tenuMode||||0|0|TYPEDEF|1|None
argout|2|uint16|1|func_CRKHAL_udtGetRoundedAngle|pu16RoundedAngle|||0|0|TYPEDEF|1|None
argret||Std_ReturnType|0|func_CRKHAL_udtReadAngleOnSynchr||||0|0|TYPEDEF|1|None
argout|1|uint16|1|func_CRKHAL_udtReadAngleOnSynchr|pu16Angle|||0|0|TYPEDEF|1|None
