Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
SECUBV_u8tiDlyOnDgoDeltaTqI_Cnt|uint8|SECUBV|0|0|0|SECUBV_u8tiDlyOnDgoDeltaTqI_Cnt|0|0|Phys|s|1|0.04|0|Divers|Divers||SECUBV_u8tiDlyOnDgoDeltaTqI_Cnt||1||||||||0|1||||1|0|0||0|0|255|0|10.2|0|
SftyMgt_bActDftDeltaTqIPos_C|boolean|SECUBV|1|0|0|SftyMgt_bActDftDeltaTqIPos_C|0|0|Phys|bool|2|0||Divers|Divers||SftyMgt_bActDftDeltaTqIPos_C||2|||||||V02 NT 10 01251|1|1||||1|0|0|activation de la surveillance par intégrale de surcouple rapide / volonte conducteur boite AL4/AT8|0|0|1|0|1|0|
SftyMgt_bDeac0TqGBx|boolean|SECUBV|1|0|0|SftyMgt_bDeac0TqGBx|0|0|Phys|bool|2|0||Divers|Divers||SftyMgt_bDeac0TqGBx||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
SftyMgt_bDeac0TqGBxATAMTCf|boolean|SECUBV|0|0|0|SftyMgt_bDeac0TqGBxATAMTCf|0|0|Phys|bool|2|0||Divers|Divers||SftyMgt_bDeac0TqGBxATAMTCf||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
SftyMgt_bDeac0TqGBxMTCf|boolean|SECUBV|0|0|0|SftyMgt_bDeac0TqGBxMTCf|0|0|Phys|bool|2|0||Divers|Divers||SftyMgt_bDeac0TqGBxMTCf||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
SftyMgt_bDftDeltaTq|boolean|SECUBV|0|0|0|SftyMgt_bDftDeltaTq|0|0|Phys|bool|2|0||Divers|Divers||SftyMgt_bDftDeltaTq||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
SftyMgt_bDftDeltaTqI|boolean|SECUBV|0|0|0|SftyMgt_bDftDeltaTqI|0|0|Phys|bool|2|0||Divers|Divers||SftyMgt_bDftDeltaTqI||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
SftyMgt_bDftSIPFRM|boolean|SECUBV|0|0|0|SftyMgt_bDftSIPFRM|0|0|Phys|bool|2|0||Divers|Divers||SftyMgt_bDftSIPFRM||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
SftyMgt_bDftSIPInvld|boolean|SECUBV|0|0|0|SftyMgt_bDftSIPInvld|0|0|Phys|bool|2|0||Divers|Divers||SftyMgt_bDftSIPInvld||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
SftyMgt_bDftSIPORng|boolean|SECUBV|0|0|0|SftyMgt_bDftSIPORng|0|0|Phys|bool|2|0||Divers|Divers||SftyMgt_bDftSIPORng||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
SftyMgt_bDgoDeltaTq|boolean|SECUBV|0|0|0|SftyMgt_bDgoDeltaTq|0|0|Phys|bool|2|0||Divers|Divers||SftyMgt_bDgoDeltaTq||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_stGBxCf|uint8|HEADER|1|0|0|Ext_stGBxCf|0|0|Phys|-|1|1|0|Cf|Cf||Ext_stGBxCf||1||||||||0|1||||1|0|0||0|0|2|0|2|0|
Ext_stTraTypCf|uint8|HEADER|1|0|0|Ext_stTraTypCf|0|0|Phys|-|1|1|0|Divers|Divers||Ext_stTraTypCf||1||||||||0|1||||1|0|0||0|0|7|0|7|0|
SECUBV_bEnaDftDeltaTqIRunPrev|boolean|SECUBV|0|0|0|SECUBV_bEnaDftDeltaTqIRunPrev|0|0|Phys|bool|2|0||Divers|Divers||SECUBV_bEnaDftDeltaTqIRunPrev||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
SECUBV_bEnaSIPCntRun_Prev|boolean|SECUBV|0|0|0|SECUBV_bEnaSIPCntRun_Prev|0|0|Phys|bool|2|0||Divers|Divers||SECUBV_bEnaSIPCntRun_Prev||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
SECUBV_u16tiDlyOnDgoTqGBx_Cnt|uint16|SECUBV|0|0|0|SECUBV_u16tiDlyOnDgoTqGBx_Cnt|0|0|Phys|s|1|0.04|0|Divers|Divers||SECUBV_u16tiDlyOnDgoTqGBx_Cnt||1||||||||0|1||||1|0|0||0|0|65535|0|2621.4|0|
SECUBV_u16tiDlyOnDgoTqGBx_Cnt_1|uint16|SECUBV|0|0|0|SECUBV_u16tiDlyOnDgoTqGBx_Cnt_1|0|0|Phys|s|1|0.04|0|Divers|Divers||SECUBV_u16tiDlyOnDgoTqGBx_Cnt_1||1||||||||0|1||||1|0|0||0|0|65535|0|2621.4|0|
SECUBV_u16tiDlyOnDgoTqGBx_Cnt_2|uint16|SECUBV|0|0|0|SECUBV_u16tiDlyOnDgoTqGBx_Cnt_2|0|0|Phys|s|1|0.04|0|Divers|Divers||SECUBV_u16tiDlyOnDgoTqGBx_Cnt_2||1||||||||0|1||||1|0|0||0|0|65535|0|2621.4|0|
SECUBV_u8ARRAY_LENGTH|uint8|SECUBV|0|0|0|SECUBV_u8ARRAY_LENGTH|0|0|Phys|-|||||||SECUBV_u8ARRAY_LENGTH||3||||||||0|1|||5|0|0|0||0|||||0|
SECUBV_u8Inhib|uint8|SECUBV|0|0|0|SECUBV_u8Inhib|0|0|Hexa|-||||Divers|Divers||SECUBV_u8Inhib||2|||||||V02 NT 10 01251|1|1||||1|0|0|Calibration d'inhibition du module SECUBV|0|0|255|0|255|0|
SECUBV_u8SftyMgt_bDgoSIPNotIpCnt|uint8|SECUBV|0|0|0|SECUBV_u8SftyMgt_bDgoSIPNotIpCnt|0|0|Phys|s|1|0.04|0|Divers|Divers||SECUBV_u8SftyMgt_bDgoSIPNotIp_Cnt||1||||||||0|1||||1|0|0||0|0|255|0|10.2|0|
SECUBV_u8tiDlyOnDgoDeltaTq_Cnt|uint8|SECUBV|0|0|0|SECUBV_u8tiDlyOnDgoDeltaTq_Cnt|0|0|Phys|s|1|0.04|0|Divers|Divers||SECUBV_u8tiDlyOnDgoDeltaTq_Cnt||1||||||||0|1||||1|0|0||0|0|255|0|10.2|0|
SftyMgt_bDgoDeltaTqCord|boolean|SECUBV|0|0|0|SftyMgt_bDgoDeltaTqCord|0|0|Phys|bool|2|0||Divers|Divers||SftyMgt_bDgoDeltaTqCord||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
SftyMgt_bDgoDeltaTqCordAL4|boolean|SECUBV|0|0|0|SftyMgt_bDgoDeltaTqCordAL4|0|0|Phys|bool|2|0||Divers|Divers||SftyMgt_bDgoDeltaTqCordAL4||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
SftyMgt_bDgoDeltaTqCordNotAL4|boolean|SECUBV|0|0|0|SftyMgt_bDgoDeltaTqCordNotAL4|0|0|Phys|bool|2|0||Divers|Divers||SftyMgt_bDgoDeltaTqCordNotAL4||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
SftyMgt_bDgoDeltaTqI|boolean|SECUBV|0|0|0|SftyMgt_bDgoDeltaTqI|0|0|Phys|bool|2|0||Divers|Divers||SftyMgt_bDgoDeltaTqI||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
SftyMgt_bDgoSIPCord|boolean|SECUBV|0|0|0|SftyMgt_bDgoSIPCord|0|0|Phys|bool|2|0||Divers|Divers||SftyMgt_bDgoSIPCord||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
SftyMgt_bDgoSIPNotIp|boolean|SECUBV|0|0|0|SftyMgt_bDgoSIPNotIp|0|0|Phys|bool|2|0||Divers|Divers||SftyMgt_bDgoSIPNotIp||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
SftyMgt_bDgoSIPORngCoPt|boolean|HEADER|1|0|0|SftyMgt_bDgoSIPORngCoPt|0|0|Phys|bool|2|0||Divers|Divers||SftyMgt_bDgoSIPORngCoPt||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
SftyMgt_bDgoTqGBx|boolean|SECUBV|1|0|0|SftyMgt_bDgoTqGBx|0|0|Phys|bool|2|0||Divers|Divers||SftyMgt_bDgoTqGBx||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
SftyMgt_bDgoTqGBxATAMTCf|boolean|SECUBV|0|0|0|SftyMgt_bDgoTqGBxATAMTCf|0|0|Phys|bool|2|0||Divers|Divers||SftyMgt_bDgoTqGBxATAMTCf||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
SftyMgt_bDgoTqGBxMTCf|boolean|SECUBV|0|0|0|SftyMgt_bDgoTqGBxMTCf|0|0|Phys|bool|2|0||Divers|Divers||SftyMgt_bDgoTqGBxMTCf||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
SftyMgt_bEnaAL4|boolean|SECUBV|0|0|0|SftyMgt_bEnaAL4|0|0|Phys|bool|2|0||Divers|Divers||SftyMgt_bEnaAL4||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
SftyMgt_bEnaATAMTCf|boolean|SECUBV|0|0|0|SftyMgt_bEnaATAMTCf|0|0|Phys|bool|2|0||Divers|Divers||SftyMgt_bEnaATAMTCf||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
SftyMgt_bEnaDftDeltaTqIRst|boolean|SECUBV|0|0|0|SftyMgt_bEnaDftDeltaTqIRst|0|0|Phys|bool|2|0||Divers|Divers||SftyMgt_bEnaDftDeltaTqIRst||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
SftyMgt_bEnaDftDeltaTqIRun|boolean|SECUBV|0|0|0|SftyMgt_bEnaDftDeltaTqIRun|0|0|Phys|bool|2|0||Divers|Divers||SftyMgt_bEnaDftDeltaTqIRun||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
SftyMgt_bEnaMTCf|boolean|SECUBV|0|0|0|SftyMgt_bEnaMTCf|0|0|Phys|bool|2|0||Divers|Divers||SftyMgt_bEnaMTCf||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
