Name|Type|Requirement
SECUBV_vidBVConfiguration|1|VEMS_R_10_01251_002.01
SECUBV_vidBVMConfiguration|1|VEMS_R_10_01251_003.02
SECUBV_vidRAZCompteursSurChange|1|VEMS_R_10_01251_037.01
SECUBV_vidSecurisationTempsSIP|1|VEMS_R_10_01251_005.02
SECUBV_vidIFTHENCompteurSIP|1|VEMS_R_10_01251_010.02
SECUBV_vidRAZCompteurSIP|1|VEMS_R_10_01251_011.01
SECUBV_vidIncrementeCompteurSIP|1|VEMS_R_10_01251_012.01
SECUBV_vidComparaisonSeuilSIP|1|VEMS_R_10_01251_014.02
SECUBV_vidSecurisationSpecifAL4|1|VEMS_R_10_01251_019.01
SECUBV_vidDetectErrCplLentCplRap|1|VEMS_R_10_01251_021.01
SECUBV_vidDetectErrIntegrSurcple|1|VEMS_R_10_01251_024.01
SECUBV_vidIntegraleSurcouple|1|VEMS_R_10_01251_025.01
SECUBV_vidIFTHENIntegraleSurcple|1|VEMS_R_10_01251_026.01
SECUBV_vidCompteurSIP|1|VEMS_R_10_01251_009.02
SftyMgt_bInhNbTarGearDeltaTqI_C|0|VEMS_R_10_01251_001.02
SftyMgt_noTraTypAL4_C|0|VEMS_R_10_01251_001.02
SftyMgt_bDeac0TqGBx|0|VEMS_R_10_01251_046.01
SftyMgt_bDgoTqGBx|0|VEMS_R_10_01251_100.01
SftyMgt_bDgoTqGBx|0|VEMS_R_10_01251_001.02
SftyMgt_bActDftDeltaTqIPos_C|0|VEMS_R_10_01251_001.02
SftyMgt_bInhDgoDeltaTq_C|0|VEMS_R_10_01251_001.02
SftyMgt_bInhDgoDeltaTqI_C|0|VEMS_R_10_01251_001.02
SftyMgt_bInhDgoSIPInvld_C|0|VEMS_R_10_01251_001.02
SftyMgt_bInhDgoSIPNotIp_C|0|VEMS_R_10_01251_001.02
SftyMgt_tiDlyOnDgoSIPNotIp_C|0|VEMS_R_10_01251_001.02
SftyMgt_bInhCluNotOp_C|0|VEMS_R_10_01251_100.01
SftyMgt_bInhDgoDeltaTq_C|0|VEMS_R_10_01251_046.01
SECUBV_vidCalculSIPOutOfRange|1|VEMS_R_10_01251_008.02
SECUBV_vidRAZIntegraleSurcouple|1|VEMS_R_10_01251_027.01
SECUBV_vidBVABVMPConfiguration|1|VEMS_R_10_01251_004.02
SECUBV_vidDebounDefDeltaAirAvAl4|1|VEMS_R_10_01251_032.02
SECUBV_vidDebounDefIntSurcpleAL4|1|VEMS_R_10_01251_033.02
SECUBV_vidCoordDebounceSIPErreur|1|VEMS_R_10_01251_015.03
SECUBV_vidCompSeuilIntegrSurcple|1|VEMS_R_10_01251_030.01
SECUBV_vidCoordinationAL4Erreur|1|VEMS_R_10_01251_031.01
SECUBV_vidCoordinationDefautsAL4|1|VEMS_R_10_01251_034.01
SECUBV_vidAutre|1|VEMS_R_10_01251_035.01
SECUBV_vidBVMConfiguration|1|VEMS_R_10_01251_017.01
SECUBV_vidCoordinationDefautsAL4|1|VEMS_R_10_01251_036.01
SECUBV_vidAutre|1|VEMS_R_10_01251_036.01
SECUBV_vidRAZCompteurSIP|1|VEMS_R_10_01251_013.01
SECUBV_vidIncrementeCompteurSIP|1|VEMS_R_10_01251_013.01
SECUBV_vidRAZIntegraleSurcouple|1|VEMS_R_10_01251_029.01
SftyMgt_bActDftDeltaTqIPos_C|0|VEMS_R_10_01251_046.01
SftyMgt_bInhDgoDeltaTqI_C|0|VEMS_R_10_01251_100.01
SftyMgt_bInhDgoSIPFRM_C|0|VEMS_R_10_01251_046.01
SftyMgt_bInhDgoSIPInvld_C|0|VEMS_R_10_01251_100.01
SftyMgt_bInhDgoSIPNotIp_C|0|VEMS_R_10_01251_046.01
