Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
DEFAUT_ACTIF|bool|SFTYMNGR|0|0|0|SFTYMNGR_stEscaladeDefautsState|0|3|Phys|bool|2|3||Structure Couple|Structure Couple||DEFAUT_ACTIF||1||||||||0|1||||0|0|0||0|||||0|
DEFAUT_EM|bool|SFTYMNGR|0|0|0|SFTYMNGR_stDiagEMState|0|2|Phys|bool|2|2||Structure Couple|Structure Couple||DEFAUT_EM||1||||||||0|1||||0|0|0||0|||||0|
DEFAUT_INACTIF|bool|SFTYMNGR|0|0|0|SFTYMNGR_stEscaladeDefautsState|0|2|Phys|bool|2|2||Structure Couple|Structure Couple||DEFAUT_INACTIF||1||||||||0|1||||0|0|0||0|||||0|
DEFAUT_STT|bool|SFTYMNGR|0|0|0|SFTYMNGR_stDiagSTTState|0|2|Phys|bool|2|2||Structure Couple|Structure Couple||DEFAUT_STT||1||||||||0|1||||0|0|0||0|||||0|
DEFAUT_VSCTL|bool|SFTYMNGR|0|0|0|SFTYMNGR_stDiagVSCtlState|0|2|Phys|bool|2|2||Structure Couple|Structure Couple||DEFAUT_VSCTL||1||||||||0|1||||0|0|0||0|||||0|
ECU_ctDftLadd|uint8|HEADER|1|0|0|ECU_ctDftLadd|0|0|Phys|-|1|1|0|Structure Couple|Structure Couple||ECU_ctDftLadd||1||||||||0|1||||1|0|0||0|0|9|0|9|0|
ECU_ctWrMem|uint16|HEADER|1|0|0|ECU_ctWrMem|0|0|Phys|-|1|1|0|Structure Couple|Structure Couple||ECU_ctWrMem||1||||||||0|1||||1|0|0||0|0|65000|0|65000|0|
ECU_prm_bDftHis|uint32|HEADER|1|1|4|ECU_prm_bDftHis|0|0|Phys|-|1|1|0|Structure Couple|Structure Couple||ECU_prm_bDftHis||1||*||*||*||0|1||||1|0|0||0|0|4294967295|0|4294967295|0|
ECU_prm_bFrf|uint16|HEADER|1|1|8|ECU_prm_bFrf|0|0|Phys|-|1|1|0|Structure Couple|Structure Couple||ECU_prm_bFrf||1||*||*||*||0|1||||1|0|0||0|0|65535|0|65535|0|
Ext_bInhDft|boolean|HEADER|1|0|0|Ext_bInhDft|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||Ext_bInhDft||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_bKeyOff|boolean|HEADER|1|0|0|Ext_bKeyOff|0|0|Phys|bool|2|0||XVV|XVV||Ext_bKeyOff||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
FIN_ESCALADE_DEFAUT_ACTIF|bool|SFTYMNGR|0|0|0|SFTYMNGR_stEscaladeDefautsState|0|4|Phys|bool|2|4||Structure Couple|Structure Couple||FIN_ESCALADE_DEFAUT_ACTIF||1||||||||0|1||||0|0|0||0|||||0|
FIN_ESCALADE_DEFAUT_INACTIF|bool|SFTYMNGR|0|0|0|SFTYMNGR_stEscaladeDefautsState|0|5|Phys|bool|2|5||Structure Couple|Structure Couple||FIN_ESCALADE_DEFAUT_INACTIF||1||||||||0|1||||0|0|0||0|||||0|
IRV_EM|bool|SFTYMNGR|0|0|0|SFTYMNGR_stDiagEMState|0|3|Phys|bool|2|3||Structure Couple|Structure Couple||IRV_EM||1||||||||0|1||||0|0|0||0|||||0|
IRV_STT|bool|SFTYMNGR|0|0|0|SFTYMNGR_stDiagSTTState|0|3|Phys|bool|2|3||Structure Couple|Structure Couple||IRV_STT||1||||||||0|1||||0|0|0||0|||||0|
IRV_VSCTL|bool|SFTYMNGR|0|0|0|SFTYMNGR_stDiagVSCtlState|0|3|Phys|bool|2|3||Structure Couple|Structure Couple||IRV_VSCTL||1||||||||0|1||||0|0|0||0|||||0|
KEYOFF|bool|SFTYMNGR|0|0|0|SFTYMNGR_stEscaladeDefautsState|0|1|Phys|bool|2|1||Structure Couple|Structure Couple||KEYOFF||1||||||||0|1||||0|0|0||0|||||0|
LADDER_EM|bool|SFTYMNGR|0|0|0|SFTYMNGR_stDiagEMState|0|4|Phys|bool|2|4||Structure Couple|Structure Couple||LADDER_EM||1||||||||0|1||||0|0|0||0|||||0|
LADDER_STT|bool|SFTYMNGR|0|0|0|SFTYMNGR_stDiagSTTState|0|4|Phys|bool|2|4||Structure Couple|Structure Couple||LADDER_STT||1||||||||0|1||||0|0|0||0|||||0|
LADDER_VSCTL|bool|SFTYMNGR|0|0|0|SFTYMNGR_stDiagVSCtlState|0|4|Phys|bool|2|4||Structure Couple|Structure Couple||LADDER_VSCTL||1||||||||0|1||||0|0|0||0|||||0|
NOMINAL_EM|bool|SFTYMNGR|0|0|0|SFTYMNGR_stDiagEMState|0|1|Phys|bool|2|1||Structure Couple|Structure Couple||NOMINAL_EM||1||||||||0|1||||0|0|0||0|||||0|
NOMINAL_STT|bool|SFTYMNGR|0|0|0|SFTYMNGR_stDiagSTTState|0|1|Phys|bool|2|1||Structure Couple|Structure Couple||NOMINAL_STT||1||||||||0|1||||0|0|0||0|||||0|
NOMINAL_VSCTL|bool|SFTYMNGR|0|0|0|SFTYMNGR_stDiagVSCtlState|0|1|Phys|bool|2|1||Structure Couple|Structure Couple||NOMINAL_VSCTL||1||||||||0|1||||0|0|0||0|||||0|
NVMSRV_bSAVE_NOW||HEADER|1|0|0|NVMSRV_bSAVE_NOW|0|0|Phys|-|||||||NVMSRV_bSAVE_NOW||3||||||||0|1|||0|0|0|0||0||||||
NVMSRV_u16OBJ_SFTYMNGR||HEADER|1|0|0|NVMSRV_u16OBJ_SFTYMNGR|0|0|Phys|-|||||||NVMSRV_u16OBJ_SFTYMNGR||3||||||||0|1|||301|0|0|0||0||||||
Sfty3_bEndRcvRun|boolean|HEADER|1|0|0|Sfty3_bEndRcvRun|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||Sfty3_bEndRcvRun||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Sfty3_bEngStopReq|boolean|HEADER|1|0|0|Sfty3_bEngStopReq|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||Sfty3_bEngStopReq||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Sfty3_bRstHwReq|boolean|HEADER|1|0|0|Sfty3_bRstHwReq|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||Sfty3_bRstHwReq||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
SftyMgt_bDftAutChkIni|boolean|HEADER|1|0|0|SftyMgt_bDftAutChkIni|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||SftyMgt_bDftAutChkIni||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
SftyMgt_bDftECU|boolean|HEADER|1|0|0|SftyMgt_bDftECU|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||SftyMgt_bDftECU||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
SftyMgt_bDftEM|boolean|HEADER|1|0|0|SftyMgt_bDftEM|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||SftyMgt_bDftEM||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
SftyMgt_bDftIpECUCord|boolean|SFTYMNGR|0|0|0|SftyMgt_bDftIpECUCord|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||SftyMgt_bDftIpECUCord||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
SftyMgt_bDftIpEMLadd|boolean|SFTYMNGR|0|0|0|SftyMgt_bDftIpEMLadd|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||SftyMgt_bDftIpEMLadd||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
SftyMgt_bDftIpEnaAutChkPrio|boolean|SFTYMNGR|0|0|0|SftyMgt_bDftIpEnaAutChkPrio|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||SftyMgt_bDftIpEnaAutChkPrio||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
