Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
CoCha_bTqReqASR|boolean|HEADER|1|0|0|CoCha_bTqReqASR|0|0|Phys|bool|2|0||IFRTE|IFRTE||CoCha_bTqReqASR||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoCha_bTqReqMSR|boolean|HEADER|1|0|0|CoCha_bTqReqMSR|0|0|Phys|bool|2|0||IFRTE|IFRTE||CoCha_bTqReqMSR||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoPt_noEgdGearCord|uint8|HEADER|1|0|0|CoPt_noEgdGearCord|0|0|Phys|-|1|1|0|IFRTE|IFRTE||CoPt_noEgdGearCord||1||||||||0|1||||1|0|0||0|0|7|0|7|0|
CoPt_stDrvTra|boolean|HEADER|1|0|0|CoPt_stDrvTra|0|0|Phys|bool|2|0||IFRTE|IFRTE||CoPt_stDrvTra||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoPTSt_stEng|uint8|HEADER|1|0|0|CoPTSt_stEng|0|0|Phys|-|1|1|0|IFRTE|IFRTE||CoPTSt_stEng||1||||||||0|1||||1|0|0||0|1|15|1|15|0|
CoVSCtl_rAccPEng|uint16|HEADER|1|0|0|CoVSCtl_rAccPEng|0|0|Phys|%|1|1/128|0|IFRTE|IFRTE||CoVSCtl_rAccPEng||1||||||||0|1||||1|0|0||0|0|12800|0|100|0|
CoVSCtl_tqEfcReq|sint16|HEADER|1|0|0|CoVSCtl_tqEfcReq|0|0|Phys|N.m|1|1/16|0|IFRTE|IFRTE||CoVSCtl_tqEfcReq||1||||||||0|1||||1|0|0||0|-32000|32000|-2000|2000|0|
Eng_nCkFil|uint16|HEADER|1|0|0|Eng_nCkFil|0|0|Phys|RPM|1|1/4|0|IFRTE|IFRTE||Eng_nCkFil||1||||||||0|1||||1|0|0||0|0|32000|0|8000|0|
EngLim_tqCkEfcModSptLim|sint16|HEADER|1|0|0|EngLim_tqCkEfcModSptLim|0|0|Phys|N.m|1|1/16|0|Divers|Divers||EngLim_tqCkEfcModSptLim||1||||||||0|1||||1|0|0||0|-3200|3200|-2000|2000|0|
Ext_bModSpt|boolean|SPTMOD|1|0|0|Ext_bModSpt|0|0|Phys|bool|2|0||divers|divers||Ext_bModSpt||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_bModSptReq|boolean|HEADER|1|0|0|Ext_bModSptReq|0|0|Phys|bool|2|0||Divers|Divers||Ext_bModSptReq||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_nEng|uint16|HEADER|1|0|0|Ext_nEng|0|0|Phys|RPM|1|1|0|Divers|Divers||Ext_nEng||1||||||||0|1||||1|0|0||0|0|7500|0|7500|0|
Ext_pAirExtMes|uint16|HEADER|1|0|0|Ext_pAirExtMes|0|0|Phys|mbar|1|1|0|Structure couple|Structure couple||Ext_pAirExtMes||1||||||||0|1||||1|0|0||0|500|1500|500|1500|0|
FRM_FRM_INHMODSPTREQ|uint16|HEADER|1|0|0|FRM_FRM_INHMODSPTREQ|0|0|Phys|-|||||||FRM_FRM_INHMODSPTREQ||3||||||||0|1|||0x01|0|0|0||0|||||0|
PaDyn_pBoostModSpt|uint16|HEADER|1|0|0|PaDyn_pBoostModSpt|0|0|Phys|mbar|1|1|0|Divers|Divers||PaDyn_pBoostModSpt||1||||||||0|1||||1|0|0||0|0|3000|0|3000|0|
PaDyn_rBoostModSpt|uint8|HEADER|1|0|0|PaDyn_rBoostModSpt|0|0|Phys|%|1|0.5|0|Divers|Divers||PaDyn_rBoostModSpt||1||||||||0|1||||1|0|0||0|0|200|0|100|0|
SPTMOD_bExt_ModSptSwitch|boolean|SPTMOD|0|0|0|SPTMOD_bExt_ModSptSwitch|0|0|Phys|bool|2|0||Divers|Divers||SPTMOD_bExt_ModSptSwitch||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
SPTMOD_bHystOutput1|boolean|SPTMOD|0|0|0|SPTMOD_bHystOutput1|0|0|Phys|bool|2|0||Divers|Divers||SPTMOD_bHystOutput1||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
SPTMOD_bHystOutput2|boolean|SPTMOD|0|0|0|SPTMOD_bHystOutput2|0|0|Phys|bool|2|0||Divers|Divers||SPTMOD_bHystOutput2||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
SPTMOD_s32TqEfcLimModSptFi1Prev1|sint32|SPTMOD|0|0|0|SPTMOD_s32TqEfcLimModSptFi1Prev1|0|0|Phys|N.m|1|1/16|0|Divers|Divers||SPTMOD_s32TqEfcLimModSptFi1Prev1||1||||||||0|1||||1|0|0||0|-2147483648|2147483647|-134217728|134217727.9375|0|
SPTMOD_s32TqEfcLimModSptFi1Prev2|sint32|SPTMOD|0|0|0|SPTMOD_s32TqEfcLimModSptFi1Prev2|0|0|Phys|N.m|1|1/16|0|Divers|Divers||SPTMOD_s32TqEfcLimModSptFi1Prev2||1||||||||0|1||||1|0|0||0|-2147483648|2147483647|-134217728|134217727.9375|0|
SPTMOD_s32TqEfcLimModSptFi2Prev1|sint32|SPTMOD|0|0|0|SPTMOD_s32TqEfcLimModSptFi2Prev1|0|0|Phys|N.m|1|1/16|0|Divers|Divers||SPTMOD_s32TqEfcLimModSptFi2Prev1||1||||||||0|1||||1|0|0||0|-2147483648|2147483647|-134217728|134217727.9375|0|
SPTMOD_s32TqEfcLimModSptFi2Prev2|sint32|SPTMOD|0|0|0|SPTMOD_s32TqEfcLimModSptFi2Prev2|0|0|Phys|N.m|1|1/16|0|Divers|Divers||SPTMOD_s32TqEfcLimModSptFi2Prev2||1||||||||0|1||||1|0|0||0|-2147483648|2147483647|-134217728|134217727.9375|0|
SPTMOD_u32TqEfcLimModSptFi1Rest1|uint32|SPTMOD|0|0|0|SPTMOD_u32TqEfcLimModSptFi1Rest1|0|0|Phys|-|1|1|0|Divers|Divers||SPTMOD_u32TqEfcLimModSptFi1Rest1||1||||||||0|1||||1|0|0||0|0|4294967295|0|4294967295|0|
SPTMOD_u32TqEfcLimModSptFi1Rest2|uint32|SPTMOD|0|0|0|SPTMOD_u32TqEfcLimModSptFi1Rest2|0|0|Phys|-|1|1|0|Divers|Divers||SPTMOD_u32TqEfcLimModSptFi1Rest2||1||||||||0|1||||1|0|0||0|0|4294967295|0|4294967295|0|
SPTMOD_u32TqEfcLimModSptFi2Rest1|uint32|SPTMOD|0|0|0|SPTMOD_u32TqEfcLimModSptFi2Rest1|0|0|Phys|-|1|1|0|Divers|Divers||SPTMOD_u32TqEfcLimModSptFi2Rest1||1||||||||0|1||||1|0|0||0|0|4294967295|0|4294967295|0|
SPTMOD_u32TqEfcLimModSptFi2Rest2|uint32|SPTMOD|0|0|0|SPTMOD_u32TqEfcLimModSptFi2Rest2|0|0|Phys|-|1|1|0|Divers|Divers||SPTMOD_u32TqEfcLimModSptFi2Rest2||1||||||||0|1||||1|0|0||0|0|4294967295|0|4294967295|0|
SPTMOD_u8Inhib|uint8|SPTMOD|0|0|0|SPTMOD_u8Inhib|0|0|Hexa|-||||divers|divers||SPTMOD_u8Inhib||2|||||||V02 NT 11 04668|1|1||||1|0|0|Calibration d'inhib du module SPTMOD|0|0|255|0|255|0|
TqDem_tqCkEfc|sint16|HEADER|1|0|0|TqDem_tqCkEfc|0|0|Phys|N.m|1|1/16|0|IFRTE|IFRTE||TqDem_tqCkEfc||1||||||||0|1||||1|0|0||0|-32000|32000|-2000|2000|0|
TqDem_tqEfcLimModSptFil1|sint16|SPTMOD|0|0|0|TqDem_tqEfcLimModSptFil1|0|0|Phys|N.m|1|1/16|0|Divers|Divers||TqDem_tqEfcLimModSptFil1||1||||||||0|1||||1|0|0||0|-32000|32000|-2000|2000|0|
TqDem_tqEfcLimModSptFil2|sint16|SPTMOD|0|0|0|TqDem_tqEfcLimModSptFil2|0|0|Phys|N.m|1|1/16|0|Divers|Divers||TqDem_tqEfcLimModSptFil2||1||||||||0|1||||1|0|0||0|-32000|32000|-2000|2000|0|
TqSys_bBoostPresSelModSpt_C|boolean|SPTMOD|1|0|0|TqSys_bBoostPresSelModSpt_C|0|0|Phys|bool|2|0||divers|divers||TqSys_bBoostPresSelModSpt_C||2|||||||V02 NT 11 04668|1|1||||1|0|0|Choix du calcul de la pression de sur-alimentation / Choice of boost pressure calculation|0|0|1|0|1|0|
TqSys_bChaRegSelModSpt_C|boolean|SPTMOD|1|0|0|TqSys_bChaRegSelModSpt_C|0|0|Phys|bool|2|0||divers|divers||TqSys_bChaRegSelModSpt_C||2|||||||V02 NT 11 04668|1|1||||1|0|0|Choix de la prise en compte de l'état de l'ESP dans l'activation du mode sport / Choice of ESP's state utilisation in the calculation of the sport mode|0|0|1|0|1|0|
TqSys_bEngNOnIdl|boolean|HEADER|1|0|0|TqSys_bEngNOnIdl|0|0|Phys|bool|2|0||IFRTE|IFRTE||TqSys_bEngNOnIdl||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
TqSys_facAntiOscFilModSpt_C|uint8|SPTMOD|1|0|0|TqSys_facAntiOscFilModSpt_C|0|0|Phys|-|1|1/128|0|divers|divers||TqSys_facAntiOscFilModSpt_C||2|||||||V02 NT 11 04668|1|1||||1|0|0|Coefficient d'amortissement du filtre 2 / Anti Oscillation factor|0|0|255|0|1.9921875|0|
TqSys_facAntiOscModSpt_C|uint8|SPTMOD|1|0|0|TqSys_facAntiOscModSpt_C|0|0|Phys|-|1|1/128|0|divers|divers||TqSys_facAntiOscModSpt_C||2|||||||V02 NT 11 04668|1|1||||1|0|0|Coefficient d'amortissement du filtre 1 / Anti Oscillation factor|0|0|255|0|1.9921875|0|
TqSys_idxTqEfcModSptSel_C|uint8|SPTMOD|1|0|0|TqSys_idxTqEfcModSptSel_C|0|0|Phys|-|1|1|0|divers|divers||TqSys_idxTqEfcModSptSel_C||2|||||||V02 NT 11 04668|1|1||||1|0|0|Choix du couple volonté conducteur / Choice of driver torque used|0|0|2|0|2|0|
TqSys_nEngModSpt_A|uint16|SPTMOD|1|1|16|TqSys_nEngModSpt_A|0|0|Phys|RPM|1|1|0|divers|divers||TqSys_nEngModSpt_A||2||Eng_nCkFil||D4||TqSys_nEngModSpt_A|V02 NT 11 04668|1|1||||1|0|0|Bkpts de régime moteur / Engine speed breakpoints|0|0|8000|0|8000|0|
TqSys_noGearModSpt_A|uint8|SPTMOD|1|1|8|TqSys_noGearModSpt_A|0|0|Phys|-|1|1|0|divers|divers||TqSys_noGearModSpt_A||2||CoPt_noEgdGearCord||F1_b||TqSys_noGearModSpt_A|V02 NT 11 04668|1|1||||1|0|0|Bkpts de rapport de boite / Gear ratio breakpoints|0|0|7|0|7|0|
TqSys_pBoostClcModSpt|uint16|SPTMOD|0|0|0|TqSys_pBoostClcModSpt|0|0|Phys|mbar|1|1|0|Divers|Divers||TqSys_pBoostClcModSpt||1||||||||0|1||||1|0|0||0|0|3000|0|3000|0|
TqSys_pBoostMaxModSpt_T|uint16|SPTMOD|1|1|5|TqSys_pBoostMaxModSpt_T|0|0|Phys|mbar|1|1|0|divers|divers||TqSys_pBoostMaxModSpt_T||2||Ext_pAirExtMes||F1||TqSys_pExtModSptY_A|V02 NT 11 04668|1|1||||1|0|0|Pression Sural nominale du moteur / Maximum engine boost pressure|0|0|3000|0|3000|0|
TqSys_pBoostSndModSpt|uint16|SPTMOD|1|0|0|TqSys_pBoostSndModSpt|0|0|Phys|mbar|1|1|0|divers|divers||TqSys_pBoostSndModSpt||1||||||||0|1||||1|0|0||0|0|3000|0|3000|0|
TqSys_pExtModSptY_A|uint16|SPTMOD|1|1|5|TqSys_pExtModSptY_A|0|0|Phys|mbar|1|1|0|divers|divers||TqSys_pExtModSptY_A||2||Ext_pAirExtMes||F1||TqSys_pExtModSptY_A|V02 NT 11 04668|1|1||||1|0|0|Bkpts de pression atmosphérique / Atmospheric pressure breakpoints|0|500|1500|500|1500|0|
TqSys_pwrEngClcModSpt|uint16|SPTMOD|0|0|0|TqSys_pwrEngClcModSpt|0|0|Phys|hp|1|0.5|0|Divers|Divers||TqSys_pwrEngClcModSpt||1||||||||0|1||||1|0|0||0|0|800|0|400|0|
