Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
GDGAR_bGetFRM|A|(argin uint16 u16IndexFRM)boolean;|2|HEADER|1|NONE||||0|0|0|0||
SPTMOD_vidEng_State_Treatment|A|();|FCT1.7|SPTMOD|0|V02 NT 11 04668||||0|0|0|0|The interfaces torque, power and boost pressure are only calculated during the engine running state, otherwise they are forced to zero.|
SPTMOD_vidEntryInit|A|();|SCH.1|SPTMOD|1|V02 NT 11 04668||||0|0|0|0|Événement reset calculateur.|
SPTMOD_vidInitOutputs|A|();|FCT1.1|SPTMOD|0|V02 NT 11 04668||||0|0|0|0|Fonction initialisation.|
SPTMOD_vidRatio_Calculation|A|();|FCT1.5|SPTMOD|0|V02 NT 11 04668||||0|0|0|0|Each information for posting are calculated twice, one in percentage and one in absolute value. The calculation of the boost pressure takes in consideration the maximum torque without turbine effect.|
SPTMOD_vidSportMode_State|A|();|FCT1.6|SPTMOD|0|V02 NT 11 04668||||0|0|0|0|The overall activation of the sport mode depends on several parameters, the request coming from the BSI and its diagnostic associated are taken into account.|
SPTMOD_vidSuperviseurModeSport|A|();|FCT1.2|SPTMOD|0|V02 NT 11 04668||||0|0|0|0|The function supervisor of the sport mode discusses the requests coming from the BSI to activate the dynamic mode. It calculates also interfaces: power, torque and boost pressure to inform the driver.|
SPTMOD_vidTorque_Selection|A|();|FCT1.3|SPTMOD|0|V02 NT 11 04668||||0|0|0|0|The basic driver torque used for calculations of interfaces to inform the driver can be selected in different manner. It dissociates the coordination of xVV, or LVV or idle governor.|
SPTMOD_vidTrqLimitationFiltering|A|();|FCT1.4|SPTMOD|0|V02 NT 11 04668||||0|0|0|0|Interfaces (torque, power, and boost pressure) for posting are calculated with  the driver torque selected and  the maximum power delivered by the engine.These calculated informations are filtered to reproduce the response of the engine.|
SWFAIL_vidSoftwareErrorHook|A|();|1|HEADER|1|NONE||||0|0|0|0||
TqSys_Sdl10ms_SptMod|A|();|SCH.2|SPTMOD|1|V02 NT 11 04668||||0|0|0|0|Schéduling de la fonction / Function's scheduling|
