Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
AC_bACClu|boolean|HEADER|1|0|0|AC_bACClu|0|0|Phys|bool|2|0||FHCAN|FHCAN||AC_bACClu||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Afts_bAcvHybMod_nTarIdl|boolean|HEADER|1|0|0|Afts_bAcvHybMod_nTarIdl|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||Afts_bAcvHybMod_nTarIdl||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Afts_bAcvVlvActTest_nTarIdl|boolean|HEADER|1|0|0|Afts_bAcvVlvActTest_nTarIdl|0|0|Phys|bool|2|0||Divers|Divers||Afts_bAcvVlvActTest_nTarIdl||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Afts_nBypTarIdl|sint16|HEADER|1|0|0|Afts_nBypTarIdl|0|0|Phys|Rpm|1|0.25|0|Structure Couple|Structure Couple||Afts_nBypTarIdl||1||||||||0|1||||1|0|0||0|-32000|32000|-8000|8000|0|
Afts_nTarIdlHybMod|uint16|HEADER|1|0|0|Afts_nTarIdlHybMod|0|0|Phys|RPM|1|1|0|Structure Couple|Structure Couple||Afts_nTarIdlHybMod||1||||||||0|1||||1|0|0||0|0|8000|0|8000|0|
Afts_nTarIdlVlvActTest|uint16|HEADER|1|0|0|Afts_nTarIdlVlvActTest|0|0|Phys|RPM|1|1|0|Structure Couple|Structure Couple||Afts_nTarIdlVlvActTest||1||||||||0|1||||1|0|0||0|0|8000|0|8000|0|
Afts_stBypTarIdl|uint8|HEADER|1|0|0|Afts_stBypTarIdl|0|0|Phys|-|1|1|0|Structure Couple|Structure Couple||Afts_stBypTarIdl||1||||||||0|1||||1|0|0||0|0|2|0|2|0|
AirMon_bEnaIdlCtlAftsDiag|boolean|HEADER|1|0|0|AirMon_bEnaIdlCtlAftsDiag|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||AirMon_bEnaIdlCtlAftsDiag||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
AirMon_nEngAftsDiag|uint16|HEADER|1|0|0|AirMon_nEngAftsDiag|0|0|Phys|rpm|1|1|0|Divers|Divers||AirMon_nEngAftsDiag||1||||||||0|1||||1|0|0||0|0|6000|0|6000|0|
AltCtl_bCmpReq|boolean|HEADER|1|0|0|AltCtl_bCmpReq|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||AltCtl_bCmpReq||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CanPurg_bTarIdlCanPurg|boolean|HEADER|1|0|0|CanPurg_bTarIdlCanPurg|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CanPurg_bTarIdlCanPurg||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CanPurg_facTarIdlCanPurg|uint8|HEADER|1|0|0|CanPurg_facTarIdlCanPurg|0|0|Phys|-|1|1|0|Structure Couple|Structure Couple||CanPurg_facTarIdlCanPurg||1||||||||0|1||||1|0|0||0|0|100|0|100|0|
Clm_nTarIdl|uint16|HEADER|1|0|0|Clm_nTarIdl|0|0|Phys|rpm|1|1/4|0|Structure Couple|Structure Couple||Clm_nTarIdl||1||||||||0|1||||1|0|0||0|0|32000|0|8000|0|
CoBrk_bAcvBrk|boolean|HEADER|1|0|0|CoBrk_bAcvBrk|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoBrk_bAcvBrk||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoPt_bAcvIdlCrawl|boolean|HEADER|1|0|0|CoPt_bAcvIdlCrawl|0|0|Phys|bool|2|0||Divers|Divers||CoPt_bAcvIdlCrawl||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoPt_bTarIdlInc|boolean|HEADER|1|0|0|CoPt_bTarIdlInc|0|0|Phys|bool|2|0||Divers|Divers||CoPt_bTarIdlInc||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoPt_bTqTx|boolean|HEADER|1|0|0|CoPt_bTqTx|0|0|Phys|bool|2|0||Divers|Divers||CoPt_bTqTx||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoPt_noEgdGearCord|uint8|HEADER|1|0|0|CoPt_noEgdGearCord|0|0|Phys|-|1|1|0|IFRTE|IFRTE||CoPt_noEgdGearCord||1||||||||0|1||||1|0|0||0|0|7|0|7|0|
CoPt_nTarIdl|uint16|HEADER|1|0|0|CoPt_nTarIdl|0|0|Phys|rpm|1|1/4|0|Structure Couple|Structure Couple||CoPt_nTarIdl||1||||||||0|1||||1|0|0||0|0|32000|0|8000|0|
CoPt_stCnvCluFil|uint8|HEADER|1|0|0|CoPt_stCnvCluFil|0|0|Phys|-|1|1|0|IFRTE|IFRTE||CoPt_stCnvCluFil||1||||||||0|1||||1|0|0||0|0|2|0|2|0|
CoPt_stCpl|uint8|HEADER|1|0|0|CoPt_stCpl|0|0|Phys|-|1|1|0|Divers|Divers||CoPt_stCpl||1||||||||0|1||||1|0|0||0|0|3|0|3|0|
CoPt_stDragRed|uint8|HEADER|1|0|0|CoPt_stDragRed|0|0|Phys|-|1|1|0|IFRTE|IFRTE||CoPt_stDragRed||1||||||||0|1||||1|0|0||0|0|3|0|3|0|
CoPTSt_stEng|uint8|HEADER|1|0|0|CoPTSt_stEng|0|0|Phys|-|1|1|0|IFRTE|IFRTE||CoPTSt_stEng||1||||||||0|1||||1|0|0||0|1|15|1|15|0|
D10_p50|uint16|HEADER|1|0|0|D10_p50|0|0|Phys|-|1|0.1|50|Divers|Divers||D10_p50||4||||||||0|1||||1|0|0||0|0|65535|50|6603.5|0|
Eng_nCkFil|uint16|HEADER|1|0|0|Eng_nCkFil|0|0|Phys|RPM|1|0.25|0|IFRTE|IFRTE||Eng_nCkFil||1||||||||0|1||||1|0|0||0|0|32000|0|8000|0|
EOM_tiEngRun|uint32|HEADER|1|0|0|EOM_tiEngRun|0|0|Phys|s|1|1|0|IFRTE|IFRTE||EOM_tiEngRun||1||||||||0|1||||1|0|0||0|0|4294967295|0|4294967295|0|
EOM_tiEngStop|uint32|HEADER|1|0|0|EOM_tiEngStop|0|0|Phys|s|1|1|0|TiEngStop|TiEngStop||EOM_tiEngStop||1||||||||0|1||||1|0|0||0|0|65535|0|65535|0|
Ext_bCf_nAvrFrntWhl|boolean|HEADER|1|0|0|Ext_bCf_nAvrFrntWhl|0|0|Phys|bool|2|0||Gestion des consignes de couple|Gestion des consignes de couple||Ext_bCf_nAvrFrntWhl||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_nAvrFrntWhl|uint16|HEADER|1|0|0|Ext_nAvrFrntWhl|0|0|Phys|rpm|1|0.04|0|Cf|Cf||Ext_nAvrFrntWhl||1||||||||0|1||||1|0|0||0|0|65525|0|2621|0|
Ext_pAirExtMes|uint16|HEADER|1|0|0|Ext_pAirExtMes|0|0|Phys|mbar|1|1|0|Structure couple|Structure couple||Ext_pAirExtMes||1||||||||0|1||||1|0|0||0|500|1500|500|1500|0|
Ext_pBrkAsi|uint16|HEADER|1|0|0|Ext_pBrkAsi|0|0|Phys|mbar|1|1|0|Acquisition|Acquisition||Ext_pBrkAsi||1||||||||0|1||||1|0|0||0|20|1000|20|1000|0|
Ext_stACTypCf|uint8|HEADER|1|0|0|Ext_stACTypCf|0|0|Phys|-|1|1|0|Divers|Divers||Ext_stACTypCf||1||||||||0|1||||1|0|0||0|0|7|0|7|0|
Ext_stGBxCf|uint8|HEADER|1|0|0|Ext_stGBxCf|0|0|Déci|-||||Cf|Cf||Ext_stGBxCf||1||||||||0|1||||1|0|0||0|0|2|0|2|0|
