Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
GDGAR_bGetFRM|B|(argin uint16 u16IndexFRM)boolean;|1|HEADER|1|NONE||||0|0|0|0|Fonction de production des variables FRM.|
SWFAIL_vidSoftwareErrorHook|A|();|2|HEADER|1|NONE||||0|0|0|0|Defaut logiciel.|
TARIDLSTA_vidCalc_Idl_tar|B|();|FCT3.8|TARIDLSTA|0|V02 NT 10 08533||||0|0|0|0|Ce bloc calcule la consigne de régime de ralenti à partir de tous les besoins moteurs, boite de vitesse, accessoires et safety.|
TARIDLSTA_vidCalc_Idl_tar_ac|B|();|FCT2.6|TARIDLSTA|0|V02 NT 10 08533||||0|0|0|0|Fonction qui permet de calculer TqSys_nTarIdlAC: le régime de ralenti cible requis par la climatisation (AC).|
TARIDLSTA_vidCalc_Idl_tar_alt|C|();|FCT2.7|TARIDLSTA|0|V02 NT 10 08533||||0|0|0|0|TqSys_nTarIdlAlt est un régime de ralenti demandé qui est utilisé quand la demande externe AltCtl_bCmpReq est vraie. Cette demande peut être annulée si : TqSys_bTarIdlSpd est vrai et que la demande spécifique de ralenti  Alt_bCmpReq est fausse.|
TARIDLSTA_vidCalc_Idl_tar_AT|B|();|FCT3.2|TARIDLSTA|0|V02 NT 10 08533||||0|0|0|0|Cette sous-fonction fait la synthèse des consignes de régime de ralenti spécifique à une boite de vitesse automatique.|
TARIDLSTA_vidCalc_Idl_tar_AT_bas|B|();|FCT3.4|TARIDLSTA|0|V02 NT 10 08533||||0|0|0|0|La consigne minimale de ralenti BVA est déterminée en fonction des conditions de la chaine de traction : si on est à vide ou en entrainé, si le convertisseur de couple est fermé ou ouvert, et suivant le régime de rotation de l’arbre en sortie de boite.|
TARIDLSTA_vidCalc_Idl_tar_AT_Cun|A|();|FCT3.7|TARIDLSTA|0|V02 NT 10 08533||||0|0|0|0|La fonction Demande de régime de consigne de ralenti BVA détermine le besoin en consommation d'une boite de vitesse automatique en termes de régime de ralenti de consigne. L’activation se fait via un seuil de vitesse et d’un booléen calibrable.|
TARIDLSTA_vidCalc_Idl_tar_AT_inc|B|();|FCT3.5|TARIDLSTA|0|V02 NT 10 08533||||0|0|0|0|La consigne de régime de ralenti accélérée est activée sur une demande de la BVA.|
TARIDLSTA_vidCalc_Idl_tar_consum|C|();|FCT2.4|TARIDLSTA|0|V02 NT 10 08533||||0|0|0|0|Les différents consommateurs qui peuvent modifier la consigne : L’air conditionné, Les thermoplongeurs pour chauff habitacle, Le soutien de l’alternateur, La direction assistée, La tension de batterie, Le soutien pour UH, Le chauff de l’habitacle.|
TARIDLSTA_vidCalc_Idl_tar_Dsl|B|();|FCT1.10|TARIDLSTA|0|V02 NT 10 08533||||0|0|0|0|La consigne de régime de ralenti spécifique diesel n’est actuellement pas utilisée.|
