Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
CoPTSt_bEngRun|boolean|HEADER|1|0|0|CoPTSt_bEngRun|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoPTSt_bEngRun||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
D128|uint16|HEADER|1|0|0|D128|0|0|Phys|-|1|1/128|0|Development_Z|Development_Z||D128||4||||||||0|1||||1|0|0||0|0|65535|0|511.9921875|0|
Eng_bDgoORngHiTOilEstim|boolean|TOILEST|1|0|0|Eng_bDgoORngHiTOilEstim|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||Eng_bDgoORngHiTOilEstim||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Eng_bIniTOil|boolean|TOILEST|0|0|0|Eng_bIniTOil|0|0|Phys|bool|2|0||Divers|Divers||Eng_bIniTOil||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Eng_bMonRunORngTOilEstim|boolean|TOILEST|1|0|0|Eng_bMonRunORngTOilEstim|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||Eng_bMonRunORngTOilEstim||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Eng_bTOilChk|boolean|TOILEST|1|0|0|Eng_bTOilChk|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||Eng_bTOilChk||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Eng_nCkFil|uint16|HEADER|1|0|0|Eng_nCkFil|0|0|Phys|RPM|1|0.25|0|IFRTE|IFRTE||Eng_nCkFil||1||||||||0|1||||1|0|0||0|0|32000|0|8000|0|
Eng_nEngTOilCorEngCh_A|uint16|TOILEST|1|1|12|Eng_nEngTOilCorEngCh_A|0|0|Phys|RPM|1|1|0|Structure Couple|Structure Couple||Eng_nEngTOilCorEngCh_A||2||Eng_nCkFil||D4||Eng_nEngTOilCorEngCh_A|PTS_DOC_5050596|1|1||||1|0|0|Points d'appui en régime de la cartographie de correction de la température d'huile sur charge moteur.|0|0|10000|0|10000|0|
Eng_rAirLdTOilCorEngCh_A|uint16|TOILEST|1|1|12|Eng_rAirLdTOilCorEngCh_A|0|0|Phys|-|1|1/1024|0|Structure Couple|Structure Couple||Eng_rAirLdTOilCorEngCh_A||2||EngM_rAirLdCor||D16||Eng_rAirLdTOilCorEngCh_A|PTS_DOC_5050596|1|1||||1|0|0|Points d'appui en remplissage de la cartographie de correction de la température d'huile sur charge moteur.|0|0|3072|0|3|0|
Eng_rCorTOilIni_A|uint16|TOILEST|1|1|12|Eng_rCorTOilIni_A|0|0|Phys|s|1|1|0|Structure Couple|Structure Couple||Eng_rCorTOilIni_A||2||Ext_ctSecEngStop||F1||Eng_rCorTOilIni_A|PTS_DOC_5050596|1|1||||1|0|0|Points d'appui en temps d'arrêt moteur de la correction de la température d'initialisation.|0|0|65535|0|65535|0|
Eng_rCorTOilIni_MP|uint16|TOILEST|0|0|0|Eng_rCorTOilIni_MP|0|0|Phys|-|1|1/1024|0|Structure Couple|Structure Couple||Eng_rCorTOilIni_MP||1||||||||0|1||||1|0|0||0|0|1024|0|1|0|
Eng_rCorTOilIni_T|uint8|TOILEST|1|1|12|Eng_rCorTOilIni_T|0|0|Phys|-|1|1/128|0|Structure Couple|Structure Couple||Eng_rCorTOilIni_T||2||Ext_ctSecEngStop||F1||Eng_rCorTOilIni_A|PTS_DOC_5050596|1|1||||1|0|0|Table de correction de la température d'intialisation.|0|0|128|0|1|0|
