Name|Type|Requirement
TqAdvMin_tiTranCll|0|VEMS_R_11_05439_001.01
TqAdvMin_tqIncCll|0|VEMS_R_11_05439_001.01
TqAdvMin_nEng_A|0|VEMS_R_11_05439_001.01
TqAdvMin_tqIncCll_T|0|VEMS_R_11_05439_001.01
TqAdvMin_tqThdAcvCllLo_T|0|VEMS_R_11_05439_001.01
TqAdvMin_tqAcvCllOfs_C|0|VEMS_R_11_05439_001.01
TqAdvMin_bAcvCll|0|VEMS_R_11_05439_001.01
TqAdvMin_tiTranCll_T|0|VEMS_R_11_05439_001.01
TQADVMIN_vidEntryInit|1|VEMS_R_11_05439_001.01
TQADVMIN_vidRqestClosedLopTqmin1|1|VEMS_R_11_05439_002.01
TQADVMIN_vidRqestClosedLopTqmin2|1|VEMS_R_11_05439_003.01
TqSys_Sdl20ms_TqAdvMin|1|VEMS_R_11_05439_001.01
