Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
Eng_nCkFil|uint16|HEADER|1|0|0|Eng_nCkFil|0|0|Phys|Rpm|1|1/4|0|Structure Couple|Structure Couple||Eng_nCkFil||1||||||||0|1||||1|0|0||0|0|32000|0|8000|0|
Ext_iAltExct|uint8|HEADER|1|0|0|Ext_iAltExct|0|0|Phys|A|1|0.1|0|divers|divers||Ext_iAltExct||1||||||||0|1||||1|0|0||0|0|254|0|25.4|0|
Ext_idxAltClas|uint8|HEADER|1|0|0|Ext_idxAltClas|0|0|Phys|-|1|1|0|Communication|Communication||Ext_idxAltClas||1||||||||0|1||||1|0|0||0|0|100|0|100|0|
Ext_rAltCycOp|uint8|HEADER|1|0|0|Ext_rAltCycOp|0|0|Phys|%|1|1|0|divers|divers||Ext_rAltCycOp||1||||||||0|1||||1|0|0||0|0|100|0|100|0|
Ext_stAltClasCf|uint8|HEADER|1|0|0|Ext_stAltClasCf|0|0|Phys|-|1|1|0|divers|divers||Ext_stAltClasCf||1||||||||0|1||||1|0|0||0|0|7|0|7|0|
Ext_stElProdCf|uint8|HEADER|1|0|0|Ext_stElProdCf|0|0|Phys|-|1|1|0|divers|divers||Ext_stElProdCf||1||||||||0|1||||1|0|0||0|0|3|0|3|0|
FRM_FRM_ACVTQALTRESDFTVAL|uint16|HEADER|1|0|0|FRM_FRM_ACVTQALTRESDFTVAL|0|0|Phys|-|||||||FRM_FRM_ACVTQALTRESDFTVAL||3||||||||0|1|||1|0|0|0||0|||||0|
TQALTRES_bCdnAltRes_prev|boolean|TQALTRES|0|0|0|TQALTRES_bCdnAltRes_prev|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||TQALTRES_bCdnAltRes_prev||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
TQALTRES_u16tiAltCpt|uint16|TQALTRES|0|0|0|TQALTRES_u16tiAltCpt|0|0|Phys|sec|1|0.01|0|Structure Couple|Structure Couple||TQALTRES_u16tiAltCpt||1||||||||0|1||||1|0|0||0|0|1500|0|15|0|
TQALTRES_u32FiltredCoefFilCCPMem|uint32|TQALTRES|0|0|0|TQALTRES_u32FiltredCoefFilCCPMem|0|0|Déci|-||||Structure Couple|Structure Couple||TQALTRES_u32FiltredCoefFilCCPMem||1||||||||0|1||||1|0|0||0|0|4294967295|0|4294967295|0|
TQALTRES_u32FiltredCoefFilGapMem|uint32|TQALTRES|0|0|0|TQALTRES_u32FiltredCoefFilGapMem|0|0|Déci|-||||Structure Couple|Structure Couple||TQALTRES_u32FiltredCoefFilGapMem||1||||||||0|1||||1|0|0||0|0|4294967295|0|4294967295|0|
TQALTRES_u8Inhib|uint8|TQALTRES|0|0|0|TQALTRES_u8Inhib|0|0|Hexa|-||||Structure Couple|Structure Couple||TQALTRES_u8Inhib||2|||||||V02 NT 11 02660|1|1||||1|0|0|Calibration d'inhibtion des variables produites|0|||||0|
TqCmp_tqAltLoss|sint16|HEADER|1|0|0|TqCmp_tqAltLoss|0|0|Phys|N.m|1|0.0625|0|IFRTE|IFRTE||TqCmp_tqAltLoss||1||||||||0|1||||1|0|0||0|-32000|32000|-2000|2000|0|
TqRes_bCdnAltRes|boolean|TQALTRES|0|0|0|TqRes_bCdnAltRes|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||TqRes_bCdnAltRes||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
TqRes_bCdnNEngAltRes_MP|boolean|TQALTRES|0|0|0|TqRes_bCdnNEngAltRes_MP|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||TqRes_bCdnNEngAltRes_MP||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
TqRes_facFilDuCyAltRes_C|uint8|TQALTRES|1|0|0|TqRes_facFilDuCyAltRes_C|0|0|Phys|-|1|0.0078125|0|Structure Couple|Structure Couple||TqRes_facFilDuCyAltRes_C||2|||||||V02 NT 11 02660|1|1||||1|0|0|Coefficient de filtrage rapport cyclique alternateur|0|0|128|0|1|0|
TqRes_facFilIAltRes_C|uint8|TQALTRES|1|0|0|TqRes_facFilIAltRes_C|0|0|Phys|-|1|0.0078125|0|Structure Couple|Structure Couple||TqRes_facFilIAltRes_C||2|||||||V02 NT 11 02660|1|1||||1|0|0|Coefficient de filtrage courant alternateur|0|0|128|0|1|0|
TqRes_iAltFil_A|uint8|TQALTRES|1|1|8|TqRes_iAltFil_A|0|0|Phys|A|1|0.1|0|Structure Couple|Structure Couple||TqRes_iAltFil_A||2||TqRes_iAltFil_MP||F1_b||TqRes_iAltFil_A|V02 NT 11 02660|1|1||||1|0|0|Points d'appui en courant alternateur|0|0|254|0|25.4|0|
TqRes_iAltFil_MP|uint8|TQALTRES|0|0|0|TqRes_iAltFil_MP|0|0|Phys|A|1|0.1|0|Structure Couple|Structure Couple||TqRes_iAltFil_MP||1||||||||0|1||||1|0|0||0|0|254|0|25.4|0|
TqRes_idxAltGapClas2_C|uint8|TQALTRES|1|0|0|TqRes_idxAltGapClas2_C|0|0|Phys|-|1|1|0|Structure Couple|Structure Couple||TqRes_idxAltGapClas2_C||2|||||||V02 NT 11 02660|1|1||||1|0|0|Index d'affectation de l'alternateur gap classe 2|0|0|100|0|100|0|
TqRes_idxAltGapClas3_C|uint8|TQALTRES|1|0|0|TqRes_idxAltGapClas3_C|0|0|Phys|-|1|1|0|Structure Couple|Structure Couple||TqRes_idxAltGapClas3_C||2|||||||V02 NT 11 02660|1|1||||1|0|0|Index d'affectation de l'alternateur gap classe 3|0|0|100|0|100|0|
TqRes_idxAltStdClas_T|uint8|TQALTRES|1|1|8|TqRes_idxAltStdClas_T|0|0|Phys|-|1|1|0|Structure Couple|Structure Couple||TqRes_idxAltStdClas_T||2||Ext_stAltClasCf||F256||Table_bkpt_identite|V02 NT 11 02660|1|1||||1|0|0|Table d’index d’affectation de la classe alternateur standard|0|1|3|1|3|0|
TqRes_nEngOfsLoAltRes_C|uint16|TQALTRES|1|0|0|TqRes_nEngOfsLoAltRes_C|0|0|Phys|Rpm|1|1|0|Structure Couple|Structure Couple||TqRes_nEngOfsLoAltRes_C||2|||||||V02 NT 11 02660|1|1||||1|0|0|Offset de régime bas pour désactiver la réserve alternateur|0|0|10000|0|10000|0|
TqRes_nEngThrHiAltRes_C|uint16|TQALTRES|1|0|0|TqRes_nEngThrHiAltRes_C|0|0|Phys|Rpm|1|1|0|Structure Couple|Structure Couple||TqRes_nEngThrHiAltRes_C||2|||||||V02 NT 11 02660|1|1||||1|0|0|Seuil de régime haut pour activer la réserve alternateur|0|0|10000|0|10000|0|
TqRes_rAltFil_A|uint8|TQALTRES|1|1|8|TqRes_rAltFil_A|0|0|Phys|%|1|1|0|Structure Couple|Structure Couple||TqRes_rAltFil_A||2||TqRes_rAltFil_MP||F1_b||TqRes_rAltFil_A|V02 NT 11 02660|1|1||||1|0|0|Points d'appui en rapport cyclique alternateur|0|0|100|0|100|0|
TqRes_rAltFil_MP|uint8|TQALTRES|0|0|0|TqRes_rAltFil_MP|0|0|Phys|%|1|1|0|Structure Couple|Structure Couple||TqRes_rAltFil_MP||1||||||||0|1||||1|0|0||0|0|100|0|100|0|
TqRes_tiCdnNEngAltRes_C|uint8|TQALTRES|1|0|0|TqRes_tiCdnNEngAltRes_C|0|0|Phys|s|1|0.0625|0|Structure Couple|Structure Couple||TqRes_tiCdnNEngAltRes_C||2|||||||V02 NT 11 02660|1|1||||1|0|0|Temporisation de désactivation de la réserve alternateur|0|0|240|0|15|0|
TqRes_tqAltRes|uint16|TQALTRES|1|0|0|TqRes_tqAltRes|0|0|Phys|N.m|1|0.0625|0|Structure Couple|Structure Couple||TqRes_tqAltRes||1||||||||0|1||||1|0|0||0|0|1600|0|100|0|
