Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
CoBrk_bAcvBrk|boolean|HEADER|1|0|0|CoBrk_bAcvBrk|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoBrk_bAcvBrk||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoPt_bAcvAntiStallFil|boolean|HEADER|1|0|0|CoPt_bAcvAntiStallFil|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoPt_bAcvAntiStallFil||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoPt_noEgdGearCord|uint8|HEADER|1|0|0|CoPt_noEgdGearCord|0|0|Phys|-|1|1|0|Structure Couple|Structure Couple||CoPt_noEgdGearCord||1||||||||0|1||||1|0|0||0|0|7|0|7|0|
D4_p8000|uint16|HEADER|1|0|0|D4_p8000|0|0|Phys|-|1|1/4|8000|Structure Couple|Structure Couple||D4_p8000||4|||D4_p8000|||||0|0||||1|0|0||0|0|65535|8000|24383.75|0|
EOM_bTWCHeatPha|boolean|HEADER|1|0|0|EOM_bTWCHeatPha|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||EOM_bTWCHeatPha||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_nEng|uint16|HEADER|1|0|0|Ext_nEng|0|0|Phys|tr/min|1|1|0|Structure Couple|Structure Couple||Ext_nEng||1||||||||0|1||||1|0|0||0|0|7500|0|7500|0|
Ext_tiTDC|uint8|HEADER|1|0|0|Ext_tiTDC|0|0|Phys|sec|1|0.001|0|Divers|Divers||Ext_tiTDC||1||||||||0|1||||1|0|0||0|0|100|0|0.1|0|
FARSp_bDeacAntiStall|boolean|HEADER|1|0|0|FARSp_bDeacAntiStall|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||FARSp_bDeacAntiStall||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
FRM_FRM_INHANTISTALL|uint16|HEADER|1|0|0|FRM_FRM_INHANTISTALL|0|0|Phys|-|||||||FRM_FRM_INHANTISTALL||3||||||||0|1|||1|0|0|0||0|||||0|
IdlSys_bAcvAntiStall|boolean|TQANTISTALLBVM|1|0|0|IdlSys_bAcvAntiStall|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||IdlSys_bAcvAntiStall||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
IdlSys_bAcvAntiStallPrev|boolean|TQANTISTALLBVM|0|0|0|IdlSys_bAcvAntiStallPrev|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||IdlSys_bAcvAntiStallPrev||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
