Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
GDGAR_bGetFRM|A|func_FRM_bGetFRM|1|HEADER|1|NONE||||0|0|0|0|Get FRM value|
IdlSys_EveSync_AntiStall|A|();|SCH.2|TQANTISTALLBVM|1|V02 NT 10 04974||||0|0|0|0|Fonction d'accroche au PMH.|
SWFAIL_vidSoftwareErrorHook|A|();|2|HEADER|1|NONE||||0|0|0|0||
TQANTISTALLBVM_vidActivAntical|B|();|FCT1.3|TQANTISTALLBVM|0|V02 NT 10 04974||||0|0|0|0|Fonction permettant le calcul des conditions d'autorisation de la fonction anti-calage|
TQANTISTALLBVM_vidAnticalBVM|B|();|FCT1.2|TQANTISTALLBVM|0|V02 NT 10 04974||||0|0|0|0|La fonction d’anti-calage ralenti envoie un ordre d’activation à la gestion de richesse qui permet de prendre en compte une consigne de richesse spécifique à l’anti-calage.|
TQANTISTALLBVM_vidAutActAntiCal|C|();|FCT1.7|TQANTISTALLBVM|0|V02 NT 10 04974||||0|0|0|0|on retraite IdlSys_bAcvAntiStall dans cette fonction afin d’empêcher une autre activation de l’anti-calage.|
TQANTISTALLBVM_vidConditionActiv|B|();|FCT1.8|TQANTISTALLBVM|0|V02 NT 10 04974||||0|0|0|0|on fait la synthèse de toutes les informations dans cette fonction afin de déterminer la demande d’activation de la stratégie anti-calage.|
TQANTISTALLBVM_vidEntryInit|B|();|SCH.1|TQANTISTALLBVM|1|V02 NT 10 04974||||0|0|0|0|Fonction d'accroche au moniteur reset|
TQANTISTALLBVM_vidGestionAntical|B|();|FCT1.4|TQANTISTALLBVM|0|V02 NT 10 04974||||0|0|0|0|Fonction permettant le calcul des conditions d'activation de la fonction anti-calage|
TQANTISTALLBVM_vidInhibAntical|A|();|FCT1.9|TQANTISTALLBVM|0|V02 NT 10 04974||||0|0|0|0|Lorsque IdlSys_bEnaAntiStall = 0, IdlSys_bAcvAntiStall est maintenue à la valeur 0.|
TQANTISTALLBVM_vidInitOutput|C|();|FCT1.1|TQANTISTALLBVM|0|V02 NT 10 04974||||0|0|0|0|Fonction qui initialise les sorties|
TQANTISTALLBVM_vidSeuilsActiv|C|();|FCT1.5|TQANTISTALLBVM|0|V02 NT 10 04974||||0|0|0|0|Fonction qui calcule l’offset de régime permettant de déterminer le seuil de régime d’activation de l’anti-calage et le nombre de PMH à prendre en compte entre l’initialisation du test et l’instant où l’on doit activer ou non la stratégie anti-calage.|
TQANTISTALLBVM_vidSigActivFrein|B|();|FCT1.6|TQANTISTALLBVM|0|V02 NT 10 04974||||0|0|0|0|Fonction qui retraite le signal d’appui frein afin de tenir compte d’une volonté de freiner du conducteur lorsque l’on détermine les conditions de calage.|
