Name|Type|Requirement
SftyMgt_bD0ThdSel_C|0|VEMS_R_10_01233_001.01
SftyMgt_bD1ThdSel_C|0|VEMS_R_10_01233_001.01
SftyMgt_bD2ThdSel_C|0|VEMS_R_10_01233_001.01
SftyMgt_facScaD0ThdMax_nEng_M|0|VEMS_R_10_01233_001.01
SftyMgt_facScaD0ThdMax_nEngX_A|0|VEMS_R_10_01233_001.01
SftyMgt_facScaD1Thd1Max_nEng_M|0|VEMS_R_10_01233_001.01
SftyMgt_facScaD1Thd1Max_nEngX_A|0|VEMS_R_10_01233_001.01
SftyMgt_facScaD2DlyMax_nEng_M|0|VEMS_R_10_01233_001.01
SftyMgt_facScaD2DlyMax_nEngX_A|0|VEMS_R_10_01233_001.01
SftyMgt_tiDlyOnDgoDrivFilIpCnt_C|0|VEMS_R_10_01233_001.01
SftyMgt_tqCkDrivUnfilMax_C|0|VEMS_R_10_01233_001.01
SftyMgt_facScaD1DlyMax_nEng_M|0|VEMS_R_10_01233_001.01
SftyMgt_facScaD3DlyMax_nEngX_A|0|VEMS_R_10_01233_001.01
SftyMgt_facScaD3DlyMax_nEng_M|0|VEMS_R_10_01233_001.01
SftyMgt_tiDlyD1DlyMax_tqFilX_A|0|VEMS_R_10_01233_001.01
SftyMgt_tiDlyD1DlyMax_tqFilY_A|0|VEMS_R_10_01233_001.01
SftyMgt_tiDlyD2DlyMax_tqFilX_A|0|VEMS_R_10_01233_001.01
SftyMgt_tiDlyD2DlyMax_tqFilY_A|0|VEMS_R_10_01233_001.01
SftyMgt_tiDlyD3DlyMax_tqFilY_A|0|VEMS_R_10_01233_001.01
SftyMgt_facScaD2ThdMax_nEngX_A|0|VEMS_R_10_01233_001.01
SftyMgt_tqOfsD2ThdMax_tqFilX_A|0|VEMS_R_10_01233_001.01
SftyMgt_stSelTqCkDrivUnfil_C|0|VEMS_R_10_01233_001.01
SftyMgt_tqCkDrivUnfilMin_C|0|VEMS_R_10_01233_001.01
SftyMgt_facScaD1DlyMax_nEngX_A|0|VEMS_R_10_01233_001.01
SftyMgt_tqOfsD2ThdMax_tqFilY_A|0|VEMS_R_10_01233_001.01
SftyMgt_tqThdD0ThdMax_tqFilY_A|0|VEMS_R_10_01233_001.01
SftyMgt_facScaD2ThdMax_nEng_M|0|VEMS_R_10_01233_001.01
SftyMgt_tiOfsDrivFilDeceIpThd_C|0|VEMS_R_10_01236_041.01
SftyMgt_tqCkDrivFilMax_C|0|VEMS_R_10_01236_041.01
SftyMgt_tqCkDrivFilMin_C|0|VEMS_R_10_01236_041.01
SftyMgt_tqErrDrivFilThd_C|0|VEMS_R_10_01236_041.01
SftyMgt_tiDlyOnDgoTqDrivFil_C|0|VEMS_R_10_01236_041.01
SftyMgt_tqThdD1Thd0Max_nCkFilX_A|0|VEMS_R_10_01233_001.01
SftyMgt_tqThdD1Thd0Max_nCkFil_M|0|VEMS_R_10_01233_001.01
SftyMgt_tqThdD1Thd1Max_tqFilX_A|0|VEMS_R_10_01233_001.01
SftyMgt_tqThdD1Thd1Max_tqFilY_A|0|VEMS_R_10_01233_001.01
SftyMgt_tqFilDiffMin_C|0|VEMS_R_10_01233_001.01
SftyMgt_tiDlyD3DlyMax_tqFilX_A|0|VEMS_R_10_01233_001.01
SftyMgt_tqCkEfcFil|0|VEMS_R_10_01233_001.01
SftyMgt_bInhDgoDrivFilIpCnt_C|0|VEMS_R_10_01233_023.01
SftyMgt_bInhDgoDrivFilIpCnt_C|0|VEMS_R_10_01233_001.01
SftyMgt_tiDlyOnDgoDrivFilIpCnt_C|0|VEMS_R_10_01233_023.01
