Name|Type|Requirement
TqCmp_bInhTqManGBxLoss_C|0|PTS_R_5199347_001.01
TqCmp_facTOilFilManGBx_C|0|PTS_R_5199347_001.01
TqCmp_tOfsOilMinManGBx_C|0|PTS_R_5199347_001.01
TqCmp_tqAuxLoss|0|PTS_R_5199347_001.01
TqCmp_tiStopManGBxY_A|0|PTS_R_5199347_001.01
TqCmp_tAirManGBxLossX_A|0|PTS_R_5199347_001.01
TqCmp_tManGBxX_A|0|PTS_R_5199347_001.01
TqCmp_tqManGBxLoss_M|0|PTS_R_5199347_001.01
TqCmp_tiEngRunCluManGBxY_A|0|PTS_R_5199347_001.01
TqCmp_tManGBxLoss_M|0|PTS_R_5199347_001.01
TqCmp_tiEngStop_C|0|PTS_R_5199347_001.01
TQCMPMANGBX_vidEntryInit|1|PTS_R_5199347_001.01
TqSys_Sdl20ms_TqCmpManGBx|1|PTS_R_5199347_001.01
