Name|Type|Requirement
TqRes_spdCnvSpdThr_C|0|VEMS_R_08_07508_001.01
TqRes_tiCdn1Cnv_C|0|VEMS_R_08_07508_001.01
TqRes_tiCdn2Cnv_C|0|VEMS_R_08_07508_001.01
TqRes_tqResCnvInc_C|0|VEMS_R_08_07508_001.01
TqRes_tqResCnvDec_C|0|VEMS_R_08_07508_001.01
TqRes_tSftyTempOilGbx_C|0|VEMS_R_08_07508_001.01
TqRes_tOilGbx_AX|0|VEMS_R_08_07508_001.01
TqRes_tqOilGbxCnvRes_T|0|VEMS_R_08_07508_001.01
TQCNVRES_vidCondition2|1|VEMS_R_08_07508_004.01
TQCNVRES_vidCondition1|1|VEMS_R_08_07508_003.01
TQCNVRES_vidCalculReserve|1|VEMS_R_08_07508_005.01
TQCNVRES_vidReserveBVA|1|VEMS_R_08_07508_002.01
TqRes_spdThrEgdCnvRes_C|0|VEMS_R_10_08543_001.01
TqRes_tiCdnDragRedCnvRes_C|0|VEMS_R_10_08543_001.01
TqRes_tiCdnEgdCnvRes_C|0|VEMS_R_10_08543_001.01
TqRes_tOilGBx_A|0|VEMS_R_10_08543_001.01
TqRes_tqCnvRes|0|VEMS_R_10_08543_001.01
TqRes_tqDecMaxCnvRes_C|0|VEMS_R_10_08543_001.01
TqRes_tqDftValCnvRes_C|0|VEMS_R_10_08543_001.01
TqRes_tqDragRedCnvRes_T|0|VEMS_R_10_08543_001.01
TqRes_tqEgdCnvRes_T|0|VEMS_R_10_08543_001.01
TqRes_tqIncMaxCnvRes_C|0|VEMS_R_10_08543_001.01
TQCNVRES_vidCalcul_Reserve|1|VEMS_R_10_08543_005.01
TQCNVRES_vidCondition_Engagement|1|VEMS_R_10_08543_003.01
TQCNVRES_vidCondition_Sortie_Rdt|1|VEMS_R_10_08543_004.01
TQCNVRES_vidEntry_10ms|1|VEMS_R_10_08543_001.01
TQCNVRES_vidEntryInit|1|VEMS_R_10_08543_001.01
TQCNVRES_vidReserve_Couple_BVA|1|VEMS_R_10_08543_002.01
