Name|Type|Requirement
TQCOHEATRES_vidEntry_10ms|1|VEMS_R_10_05009_001.01
TqRes_bAcvCoHeatRes_C|0|VEMS_R_11_02653_001.01
TqRes_bAcvCoHeatRes_C|0|VEMS_R_11_02653_002.01
TqRes_tqCoHeatRes|0|VEMS_R_11_02653_001.01
TqRes_tqCoHeatRes|0|VEMS_R_11_02653_002.01
TQCOHEATRES_u8Inhib|0|VEMS_R_11_02653_001.01
TQCOHEATRES_u8Inhib|0|VEMS_R_11_02653_002.01
TqRes_facCorCoHeatRes_M|0|VEMS_R_11_02653_001.01
TqRes_facCorCoHeatRes_M|0|VEMS_R_11_02653_002.01
TqRes_nEngCoHeatRes_A|0|VEMS_R_11_02653_001.01
TqRes_nEngCoHeatRes_A|0|VEMS_R_11_02653_002.01
TqRes_tAir_A|0|VEMS_R_11_02653_001.01
TqRes_tAir_A|0|VEMS_R_11_02653_002.01
TqRes_tCo_A|0|VEMS_R_11_02653_001.01
TqRes_tCo_A|0|VEMS_R_11_02653_002.01
TqRes_tqDecMaxCoHeatRes_C|0|VEMS_R_11_02653_001.01
TqRes_tqDecMaxCoHeatRes_C|0|VEMS_R_11_02653_002.01
TqRes_tqIncMaxCoHeatRes_C|0|VEMS_R_11_02653_001.01
TqRes_tqIncMaxCoHeatRes_C|0|VEMS_R_11_02653_002.01
TqRes_tqMaxCoHeatRes_C|0|VEMS_R_11_02653_001.01
TqRes_tqMaxCoHeatRes_C|0|VEMS_R_11_02653_002.01
TQCOHEATRES_vidEntryInit|1|VEMS_R_11_02653_001.01
TQCOHEATRES_vidEntryInit|1|VEMS_R_11_02653_002.01
TQCOHEATRES_vidReserveThrmHabit|1|VEMS_R_11_02653_001.01
TQCOHEATRES_vidReserveThrmHabit|1|VEMS_R_11_02653_002.01
TqRes_Sdl10ms_tqCoHeatRes|1|VEMS_R_11_02653_001.01
TqRes_Sdl10ms_tqCoHeatRes|1|VEMS_R_11_02653_002.01
TqRes_tqCkEngCoHeatRes_A|0|VEMS_R_11_02653_001.01
TqRes_tqCkEngCoHeatRes_A|0|VEMS_R_11_02653_002.01
TqRes_tqCoHeatRes_M|0|VEMS_R_11_02653_001.01
TqRes_tqCoHeatRes_M|0|VEMS_R_11_02653_002.01
