Name|Type|Requirement
SftyMgt_nErrThdSftyCompX_A|0|VEMS_R_10_01255_001.02
SftyMgt_nOfsSftyComp_A|0|VEMS_R_10_01255_001.02
SftyMgt_tiRefDly_C|0|VEMS_R_10_01255_001.02
SftyMgt_tiRefDlyZeroTq_C|0|VEMS_R_10_01255_001.02
SftyMgt_tqErrThdSftyComp_M|0|VEMS_R_10_01255_001.02
SftyMgt_tqErrThdSftyCompY_A|0|VEMS_R_10_01255_001.02
SftyMgt_tqErrTolZeroTq_C|0|VEMS_R_10_01255_001.02
SftyMgt_tqIdcEngRealMax_C|0|VEMS_R_10_01255_001.02
SftyMgt_tqOfsSftyComp_T|0|VEMS_R_10_01255_001.02
SftyMgt_tqOfst0Tq_C|0|VEMS_R_10_01255_001.02
SftyMgt_bDgoSftyTqComp|0|VEMS_R_10_01255_001.02
SftyMgt_SdlMid_tqComp|1|VEMS_R_10_01255_001.02
TQCOMP_vidEntryInit|1|VEMS_R_10_01255_001.02
