Name|Type|Requirement
TqRes_tCoCrwlRes_A|0|VEMS_R_10_00181_001.01
TQCRWLRES_TqRes_SdlMid_tqCrwlRes|1|VEMS_R_10_00181_001.01
TqRes_facCorTqCrwlResDyn_T|0|VEMS_R_10_04975_001.01
TqRes_facCorTqCrwlResStat_T|0|VEMS_R_10_04975_001.01
TqRes_spdVehCrwlRes_A|0|VEMS_R_10_04975_001.01
TqRes_tqCrwlRes|0|VEMS_R_10_04975_001.01
TqRes_tqCrwlResDyn_M|0|VEMS_R_10_04975_001.01
TqRes_tqDecMaxCrwlResDyn_C|0|VEMS_R_10_04975_001.01
TqRes_tqDecMaxCrwlResStat_C|0|VEMS_R_10_04975_001.01
TqRes_tqIncMaxCrwlResDyn_C|0|VEMS_R_10_04975_001.01
TqRes_tqIncMaxCrwlResStat_C|0|VEMS_R_10_04975_001.01
TqRes_bCfTqMaxCluDyn_C|0|VEMS_R_10_04975_001.01
TqRes_bCfTqMaxCluStat_C|0|VEMS_R_10_04975_001.01
TqRes_bCfTqReqCluDyn_C|0|VEMS_R_10_04975_001.01
TqRes_bCfTqReqCluStat_C|0|VEMS_R_10_04975_001.01
TqRes_facFilTqMaxClu_C|0|VEMS_R_10_04975_001.01
TqRes_facFilTqReqClu_C|0|VEMS_R_10_04975_001.01
TqRes_tqCrwlResStat_M|0|VEMS_R_10_04975_001.01
TqRes_tqMaxClu_A|0|VEMS_R_10_04975_001.01
TqRes_tqReqClu_A|0|VEMS_R_10_04975_001.01
TqRes_tCo_A|0|VEMS_R_10_04975_001.01
TQCRWLRES_vidCalcResRampageDyn|1|VEMS_R_10_04975_003.01
TQCRWLRES_vidCalcResRampageStat|1|VEMS_R_10_04975_004.01
TQCRWLRES_vidEntryInit|1|VEMS_R_10_04975_001.01
TQCRWLRES_vidFilterCplBVMP|1|VEMS_R_10_00181_005.01
TQCRWLRES_vidReserveRampBVMP|1|VEMS_R_10_00181_002.02
TqRes_Sdl10ms_tqCrawlRes|1|VEMS_R_10_04975_001.01
TqRes_tqMaxClu_T|0|VEMS_R_10_04975_001.01
TqRes_tqReqClu_T|0|VEMS_R_10_04975_001.01
