Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
SftyMgt_rAccP|uint16|HEADER|1|0|0|SftyMgt_rAccP|0|0|Phys|%|1|1/128|0|Structure Couple|Structure Couple||SftyMgt_rAccP||1||||||||0|1||||1|0|0||0|0|12800|0|100|0|
SftyMgt_rAccPOfs_C|uint16|TQDRIVMON|1|0|0|SftyMgt_rAccPOfs_C|0|0|Phys|%|1|1/128|0|Structure Couple|Structure Couple||SftyMgt_rAccPOfs_C||2|||||||V02 NT 10 01230|1|1||||1|0|0|Offset de seuil pédale|0|0|12800|0|100|0|
SftyMgt_rAccPSptModTqDem|uint16|HEADER|1|0|0|SftyMgt_rAccPSptModTqDem|0|0|Phys|%|1|1/128|0|divers|divers||SftyMgt_rAccPSptModTqDem||1||||||||0|1||||1|0|0||0|0|12800|0|100|0|
SftyMgt_rAccPThdAcvTakeOff_C|uint16|TQDRIVMON|1|0|0|SftyMgt_rAccPThdAcvTakeOff_C|0|0|Phys|%|1|1/128|0|Structure Couple|Structure Couple||SftyMgt_rAccPThdAcvTakeOff_C||2|||||||V02 NT 10 01230|1|1||||1|0|0|seuil pédale de la désactivation décollage en régule de régime|0|0|12800|0|100|0|
SftyMgt_rAccPThdDZone_C|uint16|TQDRIVMON|1|0|0|SftyMgt_rAccPThdDZone_C|0|0|Phys|%|1|1/128|0|Structure Couple|Structure Couple||SftyMgt_rAccPThdDZone_C||2|||||||V02 NT 10 01230|1|1||||1|0|0|seuil pédale de la désactivation zone morte|0|0|12800|0|100|0|
SftyMgt_rDrivTakeOffTqDem|uint16|HEADER|1|0|0|SftyMgt_rDrivTakeOffTqDem|0|0|Phys|-|1|1/1000|0|divers|divers||SftyMgt_rDrivTakeOffTqDem||1||||||||0|1||||1|0|0||0|0|1000|0|1|0|
SftyMgt_spdVeh|uint16|HEADER|1|0|0|SftyMgt_spdVeh|0|0|Phys|km/h|1|1/128|0|Structure Couple|Structure Couple||SftyMgt_spdVeh||1||||||||0|1||||1|0|0||0|0|64000|0|500|0|
SftyMgt_spdVehDft_C|uint16|TQDRIVMON|1|0|0|SftyMgt_spdVehDft_C|0|0|Phys|km/h|1|1/128|0|Structure Couple|Structure Couple||SftyMgt_spdVehDft_C||2|||||||V02 NT 10 01230|1|1||||1|0|0|Valeur de vitesse véhicule de refuge en cas de défaut du signal|0|0|64000|0|500|0|
SftyMgt_spdVehMaxTakeOff_C|uint16|TQDRIVMON|1|0|0|SftyMgt_spdVehMaxTakeOff_C|0|0|Phys|km/h|1|1/128|0|Structure Couple|Structure Couple||SftyMgt_spdVehMaxTakeOff_C||2|||||||V02 NT 10 01230|1|1||||1|0|0|Seuil de vitesse pour commencer la transition déco à hors déco|0|0|64000|0|500|0|
Ext_stGBxCf|uint8|HEADER|1|0|0|Ext_stGBxCf|0|0|Phys|-|1|1|0|Cf|Cf||Ext_stGBxCf||1||||||||0|1||||1|0|0||0|0|2|0|2|0|
