Name|Type|Requirement
TqRes_tqElPmpGrpInc_C|0|VEMS_R_08_07511_001.01
TqRes_tiElPmpGrpRes_C|0|VEMS_R_08_07511_001.01
TqRes_spdElPmpGrpThr_C|0|VEMS_R_08_07511_001.01
TqRes_tqElPmpGrpMaxThr_C|0|VEMS_R_08_07511_001.01
TqRes_tqElPmpGrpDec_C|0|VEMS_R_08_07511_001.01
TQEIPMPRES_vidReserve_GEP|1|VEMS_R_08_07511_002.01
TqRes_bAcvElPmpGrpRes_C|0|VEMS_R_10_05003_001.01
TqRes_spdThrElPmpGrpRes_C|0|VEMS_R_10_05003_001.01
TqRes_tiCdnElPmpGrpRes_C|0|VEMS_R_10_05003_001.01
TqRes_tqDecMaxElPmpGrpRes_C|0|VEMS_R_10_05003_001.01
TqRes_tqElPmpGrpRes_C|0|VEMS_R_10_05003_001.01
TqRes_tqIncMaxElPmpGrpRes_C|0|VEMS_R_10_05003_001.01
TqRes_tqElPmpGrpRes|0|VEMS_R_10_05003_001.01
TQEIPMPRES_vidEntry_10ms|1|VEMS_R_10_05003_001.01
TQEIPMPRES_vidEntryInit|1|VEMS_R_10_05003_001.01
TQEIPMPRES_vidPmpGrpDelay|1|VEMS_R_10_05003_002.01
TQEIPMPRES_vidReserve_couple_GEP|1|VEMS_R_10_05003_002.01
