Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
AccP_rAccP|uint16|HEADER|1|0|0|AccP_rAccP|0|0|Phys|%|1|1/128|0|AccP|AccP||AccP_rAccP||1||||||||0|1||||1|0|0||0|0|12800|0|100|0|
CoPt_noEgdGearCord|uint8|HEADER|1|0|0|CoPt_noEgdGearCord|0|0|Phys|-|1|1|0|Structure Couple|Structure Couple||CoPt_noEgdGearCord||1||||||||0|1||||1|0|0||0|0|7|0|7|0|
D4|uint16|HEADER|1|0|0|D4|0|0|Phys|-|1|1/4|0|Structure Couple|Structure Couple||D4||4||||||||0|1||||1|0|0||0|||||0|
Eng_nCkFil|uint16|HEADER|1|0|0|Eng_nCkFil|0|0|Phys|Rpm|1|1/4|0|Structure Couple|Structure Couple||Eng_nCkFil||1||||||||0|1||||1|0|0||0|0|32000|0|8000|0|
EngM_rAirLdCor|uint16|HEADER|1|0|0|EngM_rAirLdCor|0|0|Phys|-|1|4/65536|0|IFRTE|IFRTE||EngM_rAirLdCor||1||||||||0|1||||1|0|0||0|0|49152|0|3|0|
Ext_tAir|sint8|HEADER|1|0|0|Ext_tAir|0|0|Phys|°C|1|1|0|Structure Couple|Structure Couple||Ext_tAir||1||||||||0|1||||1|0|0||0|-40|100|-40|100|0|
Ext_tCoMes|sint16|HEADER|1|0|0|Ext_tCoMes|0|0|Phys|°C|1|1|0|Structure Couple|Structure Couple||Ext_tCoMes||1||||||||0|1||||1|0|0||0|-40|214|-40|214|0|
FRM_FRM_ACVTQIDLRESDFTVAL|uint16|HEADER|1|0|0|FRM_FRM_ACVTQIDLRESDFTVAL|0|0|Phys|-|||||||FRM_FRM_ACVTQIDLRESDFTVAL||3||||||||0|1|||2|0|0|0||0|||||0|
IdlSys_bAcvIdlCtl|boolean|HEADER|1|0|0|IdlSys_bAcvIdlCtl|0|0|Phys|bool|2|0||Tq|Tq||IdlSys_bAcvIdlCtl||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
IdlSys_bEnaIdl|boolean|HEADER|1|0|0|IdlSys_bEnaIdl|0|0|Phys|bool|2|0||Tq|Tq||IdlSys_bEnaIdl||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
IdlSys_noGear|uint8|HEADER|1|0|0|IdlSys_noGear|0|0|Phys|-|1|1|0|Tq|Tq||IdlSys_noGear||1||||||||0|1||||1|0|0||0|0|3|0|3|0|
IdlSys_tqIdcIdlStab|sint16|HEADER|1|0|0|IdlSys_tqIdcIdlStab|0|0|Phys|N.m|1|0.0625|0|Tq|Tq||IdlSys_tqIdcIdlStab||1||||||||0|1||||1|0|0||0|-32000|32000|-2000|2000|0|
IdlSys_tqLoss|sint16|HEADER|1|0|0|IdlSys_tqLoss|0|0|Phys|N.m|1|0.0625|0|Tq|Tq||IdlSys_tqLoss||1||||||||0|1||||1|0|0||0|-32000|32000|-2000|2000|0|
IgSys_rMaxIgEfc|uint16|HEADER|1|0|0|IgSys_rMaxIgEfc|0|0|Phys|-|1|1/1024|0|Structure Couple|Structure Couple||IgSys_rMaxIgEfc||1||||||||0|1||||1|0|0||0|0|1024|0|1|0|
IgSys_rStatIgSpEfc|uint16|HEADER|1|0|0|IgSys_rStatIgSpEfc|0|0|Phys|-|1|1/1024|0|Structure Couple|Structure Couple||IgSys_rStatIgSpEfc||1||||||||0|1||||1|0|0||0|0|1024|0|1|0|
TQENGRES_bNegHysOut|boolean|TQENGRES|0|0|0|TQENGRES_bNegHysOut|0|0|Phys|bool|2|0||TQENGRES|TQENGRES||TQENGRES_bNegHysOut||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
TQENGRES_u16TqDeltaTqStabLoss|uint16|TQENGRES|0|0|0|TQENGRES_u16TqDeltaTqStabLoss|0|0|Phys|N.m|1|1|-200|TQENGRES|TQENGRES||TQENGRES_u16TqDeltaTqStabLoss||1||||||||0|1||||1|0|0||0|0|65535|-200|65335|0|
TQENGRES_u32FiltredResAntIdlMem|uint32|TQENGRES|0|0|0|TQENGRES_u32FiltredResAntIdlMem|0|0|Phys|-|1|1|0|TQENGRES|TQENGRES||TQENGRES_u32FiltredResAntIdlMem||1||||||||0|1||||1|0|0||0|0|4294967295|0|4294967295|0|
