Name|Type|Requirement
TqRes_facEfcOfs_C|0|VEMS_R_08_07504_001.01
TqRes_nCk_degBase_AX|0|VEMS_R_08_07504_001.01
TqRes_noEgdGear_ResRal_AY|0|VEMS_R_08_07504_001.01
TqRes_rAirFilg_degBase_AY|0|VEMS_R_08_07504_001.01
TqRes_rBasRes_M|0|VEMS_R_08_07504_001.01
TqRes_tAir_ResRal_AX|0|VEMS_R_08_07504_001.01
TqRes_tAirSftyVal_C|0|VEMS_R_08_07504_001.01
TqRes_tCo_ResRal_AX|0|VEMS_R_08_07504_001.01
TqRes_tCoSftyVal_C|0|VEMS_R_08_07504_001.01
TqRes_tqAdvFastDec_IdlRes_C|0|VEMS_R_08_07504_001.01
TqRes_tqAdvInc_IdlRes_C|0|VEMS_R_08_07504_001.01
TqRes_tqAdvSlowDec_IdlRes_C|0|VEMS_R_08_07504_001.01
TqRes_tqBasResDec_C|0|VEMS_R_08_07504_001.01
TqRes_tqBasResInc_C|0|VEMS_R_08_07504_001.01
TqRes_tqIdlRes1_T|0|VEMS_R_08_07504_001.01
TqRes_tqIdlRes2_M|0|VEMS_R_08_07504_001.01
TqRes_tqIdlResMaxVal_C|0|VEMS_R_08_07504_001.01
TqRes_tqIdlRes_TCo_M|0|VEMS_R_08_07504_001.01
TqRes_bCfRBasRes_C|0|VEMS_R_08_07504_001.01
TqRes_tqIdlRes_TAir_T|0|VEMS_R_08_07504_001.01
TqRes_tqIdlRes|1|VEMS_R_08_07504_001.02
TqRes_bCfEfcIvsBasRes_C|1|VEMS_R_08_07504_001.02
TqRes_ctDecCdnResDyn_C|1|VEMS_R_08_07504_001.02
TqRes_ctIncCdnResDyn_C|1|VEMS_R_08_07504_001.02
TqRes_rAirLdBasRes_A|0|VEMS_R_08_07504_001.02
TqRes_rIgEfcOfsIdlResDyn_C|0|VEMS_R_08_07504_001.02
TqRes_rMaxBasRes_C|0|VEMS_R_08_07504_001.02
TqRes_tqIdlResStat_M|0|VEMS_R_08_07504_001.02
TqRes_tqIncMaxIdlResStat_C|0|VEMS_R_08_07504_001.02
TqRes_tqDecMaxFastIdlResDyn_C|0|VEMS_R_08_07504_001.02
TqRes_rBasRes|1|VEMS_R_08_07504_001.02
TQENGRES_vidCond_reserve_dyn|1|VEMS_R_10_04985_005.01
TQENGRES_vidDegradation_de_base|1|VEMS_R_10_04985_003.01
TQENGRES_vidEntryInit|1|VEMS_R_08_07504_001.02
TQENGRES_vidReserve_au_ralenti|1|VEMS_R_10_04985_004.02
TQENGRES_vidReserve_moteur|1|VEMS_R_08_07504_002.02
TqRes_nEngBasRes_A|1|VEMS_R_08_07504_001.02
TqRes_ctThdHiCdnResDyn_C|1|VEMS_R_08_07504_001.02
TqRes_ctThdLoCdnResDyn_C|1|VEMS_R_08_07504_001.02
TqRes_tqDftValIdlResStat_C|0|VEMS_R_08_07504_001.02
TqRes_rEfcIvsBasRes_M|0|VEMS_R_08_07504_001.02
TqRes_tAir_A|0|VEMS_R_08_07504_001.02
TqRes_tqIncMaxIdlResDyn_C|0|VEMS_R_08_07504_001.02
TqRes_tqDecMaxIdlResStat_C|0|VEMS_R_08_07504_001.02
TqRes_tqDecMaxSlowIdlResDyn_C|0|VEMS_R_08_07504_001.02
TqRes_tqDynMaxIdlRes_C|0|VEMS_R_08_07504_001.02
TqRes_tqIdlResStat_T|0|VEMS_R_08_07504_001.02
TqRes_bDeacAntRes_C|0|VEMS_R_08_07504_001.02
TqRes_bTqLossBfIdlAcv_C|0|VEMS_R_08_07504_001.02
TqRes_facFilDecTqAntIdlRes_C|0|VEMS_R_08_07504_001.02
TqRes_facFilIncTqAntIdlRes_C|0|VEMS_R_08_07504_001.02
TqRes_nThdDeacAntRes_C|0|VEMS_R_08_07504_001.02
TqRes_noSelAntRes_C|0|VEMS_R_08_07504_001.02
TqRes_rAccPThdAcvAntDyn_C|0|VEMS_R_08_07504_001.02
TqRes_facNoGearTqAntRes_T|0|VEMS_R_08_07504_001.02
TqRes_nOfsAcvAntRes_T|0|VEMS_R_08_07504_001.02
TqRes_tqDeltaTqStabLoss_A|0|VEMS_R_08_07504_001.02
TqRes_tqIdlAntRes_M|0|VEMS_R_08_07504_001.02
TqRes_tqTqLoss_A|0|VEMS_R_08_07504_001.02
TqRes_Sdl10ms_tqIdlRes|1|VEMS_R_08_07504_001.02
TQENGRES_vidResAnticipRalenti|1|VEMS_R_10_04985_006.01
TQENGRES_vidActResAnticipRalenti|1|VEMS_R_10_04985_007.01
TQENGRES_vidCalCplResAntiRalenti|1|VEMS_R_10_04985_008.01
TQENGRES_vidFilResAnticipRalenti|1|VEMS_R_10_04985_009.01
