Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
Cha_stTqReq|uint8|HEADER|1|0|0|Cha_stTqReq|0|0|Phys|-|0|||FHCAN|FHCAN||Cha_stTqReq||1||||||||0|1||||1|0|0||0|0|7|0|7|0|
Cha_tqAirMSRReq|sint16|HEADER|1|0|0|Cha_tqAirMSRReq|0|0|Phys|N.m|1|1/16|0|FHCAN|FHCAN||Cha_tqAirMSRReq||1||||||||0|1||||1|0|0||0|-32000|32000|-2000|2000|0|
CoPt_bAcvASRUp_C|boolean|TQESTMAX|1|0|0|CoPt_bAcvASRUp_C|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoPt_bAcvASRUp_C||2|||||||PTS_DOC_5795522|1|1||||1|0|0|Booléen d'activation du front montant de régulation ASR|0|0|1|0|1|0|
CoPt_bAcvTqMaxEstim|boolean|TQESTMAX|1|0|0|CoPt_bAcvTqMaxEstim|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoPt_bAcvTqMaxEstim||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoPt_bAcvTqMaxEstimSIP|boolean|TQESTMAX|1|0|0|CoPt_bAcvTqMaxEstimSIP|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoPt_bAcvTqMaxEstimSIP||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoPt_bAcvTqMaxEstimTq_MP|boolean|TQESTMAX|0|0|0|CoPt_bAcvTqMaxEstimTq_MP|0|0|Phys|bool|2|0|0|Structure Couple|Structure Couple||CoPt_bAcvTqMaxEstimTq_MP||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoPt_bAcvTqResEstim_C|boolean|TQESTMAX|1|0|0|CoPt_bAcvTqResEstim_C|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoPt_bAcvTqResEstim_C||2|||||||PTS_DOC_5795522|1|1||||1|0|0|Booléen d'activation de la prise en compte du couple de réserves dans le test de protection BVA|0|0|1|0|1|0|
CoPt_bASR|boolean|TQESTMAX|0|0|0|CoPt_bASR|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoPt_bASR||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoPt_bAuthTqMaxEstimSIP|boolean|TQESTMAX|0|0|0|CoPt_bAuthTqMaxEstimSIP|0|0|Phys|bool|2|0||TQESTMAX|TQESTMAX||CoPt_bAuthTqMaxEstimSIP||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoPt_bAuthTqMaxEstimSIP_C|boolean|TQESTMAX|1|0|0|CoPt_bAuthTqMaxEstimSIP_C|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoPt_bAuthTqMaxEstimSIP_C||2|||||||PTS_DOC_5795522|1|1||||1|0|0|Booléen d'autorisation du filtrage en SIP|0|0|1|0|1|0|
