Name|Type|Requirement
TQFANRES_vidCalculValeurReserve|1|VEMS_R_08_07509_006.01
TQFANRES_vidConditionReserve|1|VEMS_R_08_07509_005.01
TQFANRES_vidCoupleTransitoire|1|VEMS_R_08_07509_004.01
TQFANRES_vidTraitementEntrees|1|VEMS_R_08_07509_003.01
TqRes_bCdnFanRes|0|VEMS_R_08_07509_001.01
TqRes_facFiltFanSwtOnLoss_C|0|VEMS_R_08_07509_001.01
TqRes_facStrtFan_C|0|VEMS_R_08_07509_001.01
TqRes_idxFanTyp|0|VEMS_R_08_07509_001.01
TqRes_nCkFil_FanRes_AY|0|VEMS_R_08_07509_001.01
TqRes_spdSfty_FanSpd_C|0|VEMS_R_08_07509_001.01
TqRes_spdVeh_FanRes_AX|0|VEMS_R_08_07509_001.01
TqRes_tqCmpValB1_C|0|VEMS_R_08_07509_001.01
TqRes_tqCmpValGvB2_C|0|VEMS_R_08_07509_001.01
TqRes_tqCmpValPvB2_C|0|VEMS_R_08_07509_001.01
TqRes_tqCmpValPvGvB2_C|0|VEMS_R_08_07509_001.01
TqRes_tqFanRes|0|VEMS_R_08_07509_001.01
TqRes_tqFanRes_NoSat_MP|0|VEMS_R_08_07509_006.01
TqRes_tqFanResDec_C|0|VEMS_R_08_07509_001.01
TqRes_tqFanResInc_C|0|VEMS_R_08_07509_001.01
TqRes_tqFanStrtLoss|0|VEMS_R_08_07509_001.01
TqRes_tqValFanResB1_C|0|VEMS_R_08_07509_001.01
TqRes_tqValFanResB2_C|0|VEMS_R_08_07509_001.01
TqRes_tqValFanResC_C|0|VEMS_R_08_07509_001.01
TqRes_facCmpFanRes_M|0|VEMS_R_08_07509_001.01
TqRes_tiFanRes_C|0|VEMS_R_08_07509_001.01
TqRes_spdVehFanRes_A|0|VEMS_R_08_07509_001.01
TQFANRES_vidConditionReserveGMV|1|VEMS_R_10_05001_005.01
TQFANRES_vidEntryInit|1|VEMS_R_08_07509_001.01
TQFANRES_vidReserveGMV|1|VEMS_R_08_07509_001.01
TQFANRES_vidReserveGMV|1|VEMS_R_10_05001_002.01
TQFANRES_vidEntry_10ms|1|VEMS_R_08_07509_001.01
TqRes_nEngFanRes_A|0|VEMS_R_08_07509_001.01
TqRes_facFilTqFanLoss_C|0|VEMS_R_08_07509_001.01
TQFANRES_vidCalculReserveGMV|1|VEMS_R_10_05001_006.02
TQFANRES_vidCoupleTransitoireGMV|1|VEMS_R_10_05001_004.02
TQFANRES_vidTraitementEntreesGMV|1|VEMS_R_10_05001_003.02
TqRes_rSpdThrFanRes_C|0|VEMS_R_08_07509_001.01
TqRes_tqCmpB1FanLoss_C|0|VEMS_R_08_07509_001.01
TqRes_tqCmpGvB2FanLoss_C|0|VEMS_R_08_07509_001.01
TqRes_tqCmpPvB2FanLoss_C|0|VEMS_R_08_07509_001.01
TqRes_tqCmpPvGvB2FanLoss_C|0|VEMS_R_08_07509_001.01
TqRes_tqDecMaxFanRes_C|0|VEMS_R_08_07509_001.01
TqRes_tqFanResB1_C|0|VEMS_R_08_07509_001.01
TqRes_tqFanResB2_C|0|VEMS_R_08_07509_001.01
TqRes_tqFanResC_C|0|VEMS_R_08_07509_001.01
TqRes_tqIncMaxFanRes_C|0|VEMS_R_08_07509_001.01
