Name|Type|Requirement
SftyMgt_bDgoTqIdl|0|VEMS_R_10_01242_001.01
SftyMgt_facTqldcIdlFil_T|0|VEMS_R_10_01242_001.01
SftyMgt_nOfsIdlTakeOff_C|0|VEMS_R_10_01242_001.01
SftyMgt_nTarIdlOfs_C|0|VEMS_R_10_01242_001.01
SftyMgt_tiDlyOfsIdlTakeOff_C|0|VEMS_R_10_01242_001.01
SftyMgt_tiTqIdlDly_C|0|VEMS_R_10_01242_001.01
SftyMgt_tqIdlThd_C|0|VEMS_R_10_01242_001.01
SftyMgt_tqldcIdl_A|0|VEMS_R_10_01242_001.01
TQIDLCHK_u8Inhib|0|VEMS_R_10_01242_001.01
SftyMgt_SdlMid_IdlChk|1|VEMS_R_10_01242_001.01
SftyMgt_SdlMid_nOfsIdlTakeOff|1|VEMS_R_10_01242_001.01
SftyMgt_SdlMid_tqIdl|1|VEMS_R_10_01242_001.01
TQIDLCHK_vidValidGlobaleRalenti|1|VEMS_R_10_01242_004.01
TQIDLCHK_vidValidRegulRalenti|1|VEMS_R_10_01242_003.02
TQIDLCHK_vidValRalentiDecollage|1|VEMS_R_10_01242_002.01
