Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
AccP_rAccP|uint16|HEADER|1|0|0|AccP_rAccP|0|0|Phys|%|1|1/128|0|Structure Couple|Structure Couple||AccP_rAccP||1||||||||0|1||||1|0|0||0|0|12800|0|100|0|
CoPTSt_bEngRun|boolean|HEADER|1|0|0|CoPTSt_bEngRun|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||CoPTSt_bEngRun||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Eng_nCkFil|uint16|HEADER|1|0|0|Eng_nCkFil|0|0|Phys|Rpm|1|1/4|0|Structure Couple|Structure Couple||Eng_nCkFil||1||||||||0|1||||1|0|0||0|0|32000|0|8000|0|
Ext_bCluPedPrss|boolean|HEADER|1|0|0|Ext_bCluPedPrss|0|0|Phys|bool|2|0|0|Structure Couple|Structure Couple||Ext_bCluPedPrss||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_rCluP|uint8|HEADER|1|0|0|Ext_rCluP|0|0|Phys|%|1|0.5|0|Divers|Divers||Ext_rCluP||1||||||||0|1||||1|0|0||0|0|200|0|100|0|
Ext_stGBxCf|uint8|HEADER|1|0|0|Ext_stGBxCf|0|0|Phys|-|1|1|0|Cf|Cf||Ext_stGBxCf||1||||||||0|1||||1|0|0||0|0|2|0|2|0|
Ext_tCoMes|sint16|HEADER|1|0|0|Ext_tCoMes|0|0|Phys|°C|1|1|0|Structure Couple|Structure Couple||Ext_tCoMes||1||||||||0|1||||1|0|0||0|-40|214|-40|214|0|
F1_p1600|uint16|HEADER|1|0|0|F1_p1600|0|0|Phys|-|1|1|1600|Structure Couple|Structure Couple||F1_p1600||4||||||||0|1||||1|0|0||0|||||0|
F1_p40|uint16|HEADER|1|0|0|F1_p40|0|0|Phys|-|1|1|40|Structure Couple|Structure Couple||F1_p40||4||||||||0|1||||1|0|0||0|||||0|
FRM_FRM_DFT_SPDVEH|uint16|HEADER|1|0|0|FRM_FRM_DFT_SPDVEH|0|0|Phys|-|||||||FRM_FRM_DFT_SPDVEH||3||||||||0|1|||4|0|0|0||0|||||0|
TqDem_tqCkEfc|sint16|HEADER|1|0|0|TqDem_tqCkEfc|0|0|Phys|Nm|1|1/16|0|Structure Couple|Structure Couple||TqDem_tqCkEfc||1||||||||0|1||||1|0|0||0|-32000|32000|-2000|2000|0|
TQLNCHRES_bCdnCluLnchResInPrev|boolean|TQLNCHRES|0|0|0|TQLNCHRES_bCdnCluLnchResInPrev|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||TQLNCHRES_bCdnCluLnchResInPrev||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
TQLNCHRES_bCdnExtrCluPPrev|boolean|TQLNCHRES|0|0|0|TQLNCHRES_bCdnExtrCluPPrev|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||TQLNCHRES_bCdnExtrCluPPrev||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
TQLNCHRES_bCdnNEngLnchResInPrev|boolean|TQLNCHRES|0|0|0|TQLNCHRES_bCdnNEngLnchResInPrev|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||TQLNCHRES_bCdnNEngLnchResInPrev||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
TQLNCHRES_bCdnSpdLnchResInPrev|boolean|TQLNCHRES|0|0|0|TQLNCHRES_bCdnSpdLnchResInPrev|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||TQLNCHRES_bCdnSpdLnchResInPrev||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
TQLNCHRES_bRateLimiterSwitchPrev|boolean|TQLNCHRES|0|0|0|TQLNCHRES_bRateLimiterSwitchPrev|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||TQLNCHRES_bRateLimiterSwitchPrev||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
TQLNCHRES_u16tiCluTempo|uint16|TQLNCHRES|0|0|0|TQLNCHRES_u16tiCluTempo|0|0|Phys|s|1|1/100|0|Structure Couple|Structure Couple||TQLNCHRES_u16tiCluTempo||1||||||||0|1||||1|0|0||0|0|1500|0|15|0|
TQLNCHRES_u16tiLoCkSpdTempo|uint16|TQLNCHRES|0|0|0|TQLNCHRES_u16tiLoCkSpdTempo|0|0|Phys|s|1|1/100|0|Structure Couple|Structure Couple||TQLNCHRES_u16tiLoCkSpdTempo||1||||||||0|1||||1|0|0||0|0|1500|0|15|0|
TQLNCHRES_u16tiSpdVehTempo|uint16|TQLNCHRES|0|0|0|TQLNCHRES_u16tiSpdVehTempo|0|0|Phys|s|1|1/100|0|Structure Couple|Structure Couple||TQLNCHRES_u16tiSpdVehTempo||1||||||||0|1||||1|0|0||0|0|1500|0|15|0|
TQLNCHRES_u8Inhib|uint8|TQLNCHRES|0|0|0|TQLNCHRES_u8Inhib|0|0|Hexa|-||||Structure Couple|Structure Couple||TQLNCHRES_u8Inhib||2|||||||V02 NT 10 04984|1|1||||1|0|0|Calibration d'inhibition du module TQLNCHRES|0|0|255|0|255|0|
TqRes_bAcvCdnAccLnchRes_C|boolean|TQLNCHRES|1|0|0|TqRes_bAcvCdnAccLnchRes_C|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||TqRes_bAcvCdnAccLnchRes_C||2|||||||V02 NT 10 04984|1|1||||1|0|0|Booléen d'activation de la condition pédale accélérateur.|0|0|1|0|1|0|
TqRes_bAcvCdnCluLnchRes_C|boolean|TQLNCHRES|1|0|0|TqRes_bAcvCdnCluLnchRes_C|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||TqRes_bAcvCdnCluLnchRes_C||2|||||||V02 NT 10 04984|1|1||||1|0|0|Booléen d'activation de la condition pédale embrayage.|0|0|1|0|1|0|
TqRes_bAcvCdnSpdLnchRes_C|boolean|TQLNCHRES|1|0|0|TqRes_bAcvCdnSpdLnchRes_C|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||TqRes_bAcvCdnSpdLnchRes_C||2|||||||V02 NT 10 04984|1|1||||1|0|0|Booléen d'activation de la condition vitesse véhicule.|0|0|1|0|1|0|
TqRes_bCdnAccLnchRes_MP|boolean|TQLNCHRES|0|0|0|TqRes_bCdnAccLnchRes_MP|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||TqRes_bCdnAccLnchRes_MP||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
TqRes_bCdnCluLnchRes_MP|boolean|TQLNCHRES|0|0|0|TqRes_bCdnCluLnchRes_MP|0|0|Phys|bool|2|0||Structure Couple|Structure Couple||TqRes_bCdnCluLnchRes_MP||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
