Name|Type|Requirement
TqRes_agStgPmpThr_C|0|VEMS_R_08_07507_001.01
TqRes_bValAgStgPmp_C|0|VEMS_R_08_07507_001.01
TqRes_facFilStgPmpAg_C|0|VEMS_R_08_07507_001.01
TqRes_nCkFil_StgPmpResr_AY|0|VEMS_R_08_07507_001.01
TqRes_pStgPmpThr_C|0|VEMS_R_08_07507_001.01
TqRes_spdSftySpdStgPmp_C|0|VEMS_R_08_07507_001.01
TqRes_spdStgPmpGrdThr_C|0|VEMS_R_08_07507_001.01
TqRes_spdStgPmpThrSpd_C|0|VEMS_R_08_07507_001.01
TqRes_spdVehSpd_StgPmpRes_AX|0|VEMS_R_08_07507_001.01
TqRes_tCoStgPmpThr_C|0|VEMS_R_08_07507_001.01
TqRes_tiStgPmpRunStrtThr_C|0|VEMS_R_08_07507_001.01
TqRes_tiStgPmpThr_C|0|VEMS_R_08_07507_001.01
TqRes_tqStgPmpResDec_C|0|VEMS_R_08_07507_001.01
TqRes_tqStgPmpResInc_C|0|VEMS_R_08_07507_001.01
TQSTGPMPRES_vidCondManoeuvre|1|VEMS_R_08_07507_003.01
TQSTGPMPRES_vidPtCondAngleVolant|1|VEMS_R_08_07507_004.01
TqRes_bAcvStgPmpRes_C|0|VEMS_R_10_04991_001.01
TqRes_agStrWhlThr_T|0|VEMS_R_10_04991_001.01
TqRes_agvStrWhl_A|0|VEMS_R_10_04991_001.01
TqRes_bAcvCdnAgStgPmpRes_C|0|VEMS_R_10_04991_001.01
TqRes_tqStgPmpRes|0|VEMS_R_10_04991_001.01
TqRes_facFilAgStgPmpRes_C|0|VEMS_R_10_04991_001.01
TqRes_facFilAvgStgPmpRes_C|0|VEMS_R_10_04991_001.01
TqRes_spdVehStgPmpRes_A|0|VEMS_R_10_04991_001.01
TqRes_spdThrStgPmpRes_C|0|VEMS_R_10_04991_001.01
TqRes_pStgPmpThrStgPmpRes_C|0|VEMS_R_10_04991_001.01
TqRes_nEngStgPmpRes_A|0|VEMS_R_10_04991_001.01
TqRes_tCoThrStgPmpRes_C|0|VEMS_R_10_04991_001.01
TQSTGPMPRES_vidCalculReserve|1|VEMS_R_10_04991_005.01
TQSTGPMPRES_vidEntryInit|1|VEMS_R_10_04991_001.01
TQSTGPMPRES_vidReserveDeCoupleDA|1|VEMS_R_10_04991_001.01
TQSTGPMPRES_vidEntry_10ms|1|VEMS_R_10_04991_001.01
TQSTGPMPRES_vidConditionDA|1|VEMS_R_08_07507_004.02
TqRes_tiCdnStgPmpStgPmpRes_C|0|VEMS_R_10_04991_001.01
TQSTGPMPRES_vidConditionVolant|1|VEMS_R_10_04991_006.01
TqRes_tiCdnStrWhlStgPmpRes_C|0|VEMS_R_10_04991_001.01
TqRes_tiThrEngRunStgPmpRes_C|0|VEMS_R_10_04991_001.01
TqRes_tqDecMaxStgPmpRes_C|0|VEMS_R_10_04991_001.01
TqRes_tqIncMaxStgPmpRes_C|0|VEMS_R_10_04991_001.01
TqRes_tqStgPmpRes_M|0|VEMS_R_10_04991_001.01
TQSTGPMPRES_vidConditionReserve|1|VEMS_R_10_04991_003.01
TQSTGPMPRES_vidReserveDeCoupleDA|1|VEMS_R_08_07507_002.01
