Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
AccP_rAccP|uint16|HEADER|1|0|0|AccP_rAccP|0|0|Phys|%|1|1/128|0|Divers|Divers||AccP_rAccP||1||||||||0|1||||1|0|0||0|0|12800|0|100|0|
CoPt_noEgdGearCord|uint8|HEADER|1|0|0|CoPt_noEgdGearCord|0|0|Phys|-|1|1|0|IFRTE|IFRTE||CoPt_noEgdGearCord||1||||||||0|1||||1|0|0||0|0|7|0|7|0|
CoVSCtl_stAccP|uint8|HEADER|1|0|0|CoVSCtl_stAccP|0|0|Phys|-|1|1|0|IFRTE|IFRTE||CoVSCtl_stAccP||1||||||||0|1||||1|0|0||0|0|2|0|2|0|
EOM_tiEngStopRst|uint32|HEADER|1|0|0|EOM_tiEngStopRst|0|0|Phys|s|1|1|0|TiEngStop|TiEngStop||EOM_tiEngStopRst||1||||||||0|1||||1|0|0||0|0|864000|0|864000|0|
ExM_tOxCEstim|sint16|HEADER|1|0|0|ExM_tOxCEstim|0|0|Phys|°C|1|1|0|IFRTE|IFRTE||ExM_tOxCEstim||1||||||||0|1||||1|0|0||0|-55|1000|-55|1000|0|
Ext_dstVehTotMes|uint32|HEADER|1|0|0|Ext_dstVehTotMes|0|0|Phys|km|1|1|0|FHCAN|FHCAN||Ext_dstVehTotMes||1||||||||0|1||||1|0|0||0|0|16777214|0|16777214|0|
Ext_nEng|uint16|HEADER|1|0|0|Ext_nEng|0|0|Phys|RPM|1|1|0|Divers|Divers||Ext_nEng||1||||||||0|1||||1|0|0||0|0|7500|0|7500|0|
Ext_stTypInjSysCf|uint8|HEADER|1|0|0|Ext_stTypInjSysCf|0|0|Phys|-|1|1|0|Divers|Divers||Ext_stTypInjSysCf||1||||||||0|1||||1|0|0||0|0|7|0|7|0|
Ext_tCoMes|sint16|HEADER|1|0|0|Ext_tCoMes|0|0|Phys|°C|1|1|0|Divers|Divers||Ext_tCoMes||1||||||||0|1||||1|0|0||0|-40|214|-40|214|0|
Ext_tCoMesPwrl|sint16|HEADER|1|0|0|Ext_tCoMesPwrl|0|0|Phys|°C|1|1|0|Eeprom|Eeprom||Ext_tCoMesPwrl||1||||||||0|1||||1|0|0||0|-40|214|-40|214|0|
Ext_tCoStrtMes|sint16|HEADER|1|0|0|Ext_tCoStrtMes|0|0|Phys|°C|1|1|0|Acquisitions|Acquisitions||Ext_tCoStrtMes||1||||||||0|1||||1|0|0||0|-40|214|-40|214|0|
Ext_tDsThrMes|sint16|HEADER|1|0|0|Ext_tDsThrMes|0|0|Phys|°C|1|1|0|Cf|Cf||Ext_tDsThrMes||1||||||||0|1||||1|0|0||0|-50|200|-50|200|0|
FRM_FRM_ACVHEATPHAMAX|uint16|HEADER|1|0|0|FRM_FRM_ACVHEATPHAMAX|0|0|Phys|-|||||||FRM_FRM_ACVHEATPHAMAX||3||||||||0|1|||2|0|0|0||0|||||0|
FRM_FRM_INHTWCHEAT|uint16|HEADER|1|0|0|FRM_FRM_INHTWCHEAT|0|0|Phys|-|||||||FRM_FRM_INHTWCHEAT||3||||||||0|1|||1|0|0|0||0|||||0|
LsMon_bEndMonResHeatLsUs|boolean|HEADER|1|0|0|LsMon_bEndMonResHeatLsUs|0|0|Phys|bool|2|0||Divers|Divers||LsMon_bEndMonResHeatLsUs||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
LsMon_noRatEfcLsUsPer|uint16|HEADER|1|0|0|LsMon_noRatEfcLsUsPer|0|0|Phys|-|1|0.01|0|Divers|Divers||LsMon_noRatEfcLsUsPer||1||||||||0|1||||1|0|0||0|0|2550|0|25.5|0|
LsMon_resLsUsHeat|uint16|HEADER|1|0|0|LsMon_resLsUsHeat|0|0|Phys|Ohm|1|20/65536|0|Divers|Divers||LsMon_resLsUsHeat||1||||||||0|1||||1|0|0||0|0|65535|0|19.99969482421875|0|
LsSys_bLsFloOxCHeatReq|boolean|HEADER|1|0|0|LsSys_bLsFloOxCHeatReq|0|0|Phys|bool|2|0||HeatSenO2|HeatSenO2||LsSys_bLsFloOxCHeatReq||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
