Name|Type|Requirement
TWCMgt_dstVeh_tiPha1Km_A|0|VEMS_R_11_02024_002.01
TWCMgt_mO2Stg_tiPha_A|0|VEMS_R_11_02024_001.01
TWCMgt_mO2Stg_tiPha_A|0|VEMS_R_11_02024_002.01
TWCMgt_nEngToDrvReq_A|0|VEMS_R_11_02024_001.01
TWCMgt_nEngToDrvReq_A|0|VEMS_R_11_02024_002.01
TWCMgt_noRatEfcLsUsPer_A|0|VEMS_R_11_02024_001.01
TWCMgt_noRatEfcLsUsPer_A|0|VEMS_R_11_02024_002.01
TWCMgt_rMisfOBD_tPha1Misf_A|0|VEMS_R_11_02024_001.01
TWCMgt_rMisfOBD_tPha1Misf_A|0|VEMS_R_11_02024_002.01
TWCMgt_resLsUsHeat_A|0|VEMS_R_11_02024_001.01
TWCMgt_resLsUsHeat_A|0|VEMS_R_11_02024_002.01
TWCMgt_stAcvHeatPha_T|0|VEMS_R_11_02024_001.01
TWCMgt_stAcvHeatPha_T|0|VEMS_R_11_02024_002.01
TWCMgt_tCoAcvHeatPha_A|0|VEMS_R_11_02024_001.01
TWCMgt_tCoAcvHeatPha_A|0|VEMS_R_11_02024_002.01
TWCMgt_tiHeatCaseDeacLiOff_T|0|VEMS_R_11_02024_001.01
TWCMgt_tiHeatCaseDeacLiOff_T|0|VEMS_R_11_02024_002.01
TWCMgt_tiHeatCaseDeac_A|0|VEMS_R_11_02024_001.01
TWCMgt_tiHeatCaseDeac_A|0|VEMS_R_11_02024_002.01
TWCMgt_tiHeatHiAr_A|0|VEMS_R_11_02024_001.01
TWCMgt_tiHeatHiAr_A|0|VEMS_R_11_02024_002.01
TWCMgt_tiLiOffDone_T|0|VEMS_R_11_02024_001.01
TWCMgt_tiLiOffDone_T|0|VEMS_R_11_02024_002.01
TWCMgt_tiPha1Km_T|0|VEMS_R_11_02024_001.01
TWCMgt_tiPha1Km_T|0|VEMS_R_11_02024_002.01
TWCMgt_tiPha1Misf_T|0|VEMS_R_11_02024_001.01
TWCMgt_tiPha1Misf_T|0|VEMS_R_11_02024_002.01
TWCMgt_tiPha1_tiTrbPosn_A|0|VEMS_R_11_02024_001.01
TWCMgt_tiPha1_tiTrbPosn_A|0|VEMS_R_11_02024_002.01
TWCMgt_tiPha3Acv_T|0|VEMS_R_11_02024_001.01
TWCMgt_tiPha3Acv_T|0|VEMS_R_11_02024_002.01
TWCMgt_tiPhaO2Stg_T|0|VEMS_R_11_02024_001.01
TWCMgt_tiPhaO2Stg_T|0|VEMS_R_11_02024_002.01
TWCMgt_tiPhaRatEfcLsUsPer_T|0|VEMS_R_11_02024_001.01
TWCMgt_tiPhaRatEfcLsUsPer_T|0|VEMS_R_11_02024_002.01
TWCMgt_tiResLsUsHeat_T|0|VEMS_R_11_02024_001.01
TWCMgt_tiResLsUsHeat_T|0|VEMS_R_11_02024_002.01
TWCMgt_tiTWCHeatDeac_T|0|VEMS_R_11_02024_001.01
TWCMgt_tiTWCHeatDeac_T|0|VEMS_R_11_02024_002.01
TWCMgt_tiTrbClsPosn_T|0|VEMS_R_11_02024_001.01
TWCMgt_tiTrbClsPosn_T|0|VEMS_R_11_02024_002.01
TWCMgt_tiTrbOpPosn_T|0|VEMS_R_11_02024_001.01
TWCMgt_tiTrbOpPosn_T|0|VEMS_R_11_02024_002.01
TWCMgt_tqNEngDrvReq_T|0|VEMS_R_11_02024_001.01
TWCMgt_tqNEngDrvReq_T|0|VEMS_R_11_02024_002.01
TWCMgt_tiDlyAcvCdnAcvLoAr_C|0|VEMS_R_11_02024_002.01
TWCMgt_tiDlyGearIdl_C|0|VEMS_R_11_02024_001.01
TWCMgt_tiDlyGearIdl_C|0|VEMS_R_11_02024_002.01
TWCMgt_tiDlyIdlHeatPhaThd_C|0|VEMS_R_11_02024_001.01
TWCMgt_tiDlyIdlHeatPhaThd_C|0|VEMS_R_11_02024_002.01
TWCMgt_tiDlyPha3_C|0|VEMS_R_11_02024_001.01
TWCMgt_tiDlyPha3_C|0|VEMS_R_11_02024_002.01
TWCMgt_tiDlyTWCHeatDeac_C|0|VEMS_R_11_02024_001.01
TWCMgt_tiDlyTWCHeatDeac_C|0|VEMS_R_11_02024_002.01
TWCMgt_tiDlyTWCLiOff_C|0|VEMS_R_11_02024_001.01
TWCMgt_tiDlyTWCLiOff_C|0|VEMS_R_11_02024_002.01
TWCMgt_tiMaxHeatThdLoAr_C|0|VEMS_R_11_02024_001.01
TWCMgt_tiMaxHeatThdLoAr_C|0|VEMS_R_11_02024_002.01
TWCMgt_tiPha1ETB_C|0|VEMS_R_11_02024_001.01
TWCMgt_tiPha1ETB_C|0|VEMS_R_11_02024_002.01
TWCMgt_tiSdlFast_C|0|VEMS_R_11_02024_001.01
TWCMgt_tiSdlFast_C|0|VEMS_R_11_02024_002.01
TWCMgt_tiTWCLiOffHeatLoAr_C|0|VEMS_R_11_02024_001.01
TWCMgt_tiTWCLiOffHeatLoAr_C|0|VEMS_R_11_02024_002.01
TWCMgt_tiThdMinEngStopRst_C|0|VEMS_R_11_02024_001.01
TWCMgt_tiThdMinEngStopRst_C|0|VEMS_R_11_02024_002.01
TWCMgt_tiTrbClsPosnThdLoAr_C|0|VEMS_R_11_02024_001.01
TWCMgt_tiTrbClsPosnThdLoAr_C|0|VEMS_R_11_02024_002.01
TWCMgt_tiTrbOpPosnThdLoAr_C|0|VEMS_R_11_02024_001.01
TWCMgt_tiTrbOpPosnThdLoAr_C|0|VEMS_R_11_02024_002.01
OxC_bIntrHeat|0|VEMS_R_11_02024_001.01
OxC_bIntrHeat|0|VEMS_R_11_02024_002.01
TWCMgt_bLiOffDone|0|VEMS_R_11_02024_001.01
