Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description|MemSec
ExM_SdlFast_ExOfs|A|();|SCH.2|VVTSPLIMCORD|1|V02 NT 11 02903||||0|0|0|0|Fonction d'accroche au moniteur 10ms|
VVTSPLIMCORD_vidCalibration_1|A|();|FCT1.7|VVTSPLIMCORD|0|V02 NT 11 02903||||0|0|0|0|Ce bloc contient une des cartographies de la fonction. Il n’est calculé que lorsque le mode de fonctionnement courant ou celui de consigne nécessite une interpolation dans cette cartographie.|
VVTSPLIMCORD_vidCalibration_10|A|();|FCT2.6|VVTSPLIMCORD|0|V02 NT 11 02903||||0|0|0|0|Ce bloc contient une des cartographies de la fonction. Il n’est calculé que lorsque le mode de fonctionnement courant ou celui de consigne nécessite une interpolation dans cette cartographie.|
VVTSPLIMCORD_vidCalibration_11|A|();|FCT2.7|VVTSPLIMCORD|0|V02 NT 11 02903||||0|0|0|0|Ce bloc contient une des cartographies de la fonction. Il n’est calculé que lorsque le mode de fonctionnement courant ou celui de consigne nécessite une interpolation dans cette cartographie.|
VVTSPLIMCORD_vidCalibration_12|A|();|FCT2.8|VVTSPLIMCORD|0|V02 NT 11 02903||||0|0|0|0|Ce bloc contient une des cartographies de la fonction. Il n’est calculé que lorsque le mode de fonctionnement courant ou celui de consigne nécessite une interpolation dans cette cartographie.|
VVTSPLIMCORD_vidCalibration_13|A|();|FCT2.9|VVTSPLIMCORD|0|V02 NT 11 02903||||0|0|0|0|Ce bloc contient une des cartographies de la fonction. Il n’est calculé que lorsque le mode de fonctionnement courant ou celui de consigne nécessite une interpolation dans cette cartographie.|
VVTSPLIMCORD_vidCalibration_14|A|();|FCT2.10|VVTSPLIMCORD|0|V02 NT 11 02903||||0|0|0|0|Ce bloc contient une des calibrations de la fonction. Ce scalaire n’est calculé que lorsque le mode de fonctionnement courant ou celui de consigne nécessite un appel de cette calibration.|
VVTSPLIMCORD_vidCalibration_2|A|();|FCT1.8|VVTSPLIMCORD|0|V02 NT 11 02903||||0|0|0|0|Ce bloc contient une des cartographies de la fonction. Il n’est calculé que lorsque le mode de fonctionnement courant ou celui de consigne nécessite une interpolation dans cette cartographie.|
VVTSPLIMCORD_vidCalibration_3|A|();|FCT1.9|VVTSPLIMCORD|0|V02 NT 11 02903||||0|0|0|0|Ce bloc contient une des cartographies de la fonction. Il n’est calculé que lorsque le mode de fonctionnement courant ou celui de consigne nécessite une interpolation dans cette cartographie.|
VVTSPLIMCORD_vidCalibration_4|A|();|FCT1.10|VVTSPLIMCORD|0|V02 NT 11 02903||||0|0|0|0|Ce bloc contient une des cartographies de la fonction. Il n’est calculé que lorsque le mode de fonctionnement courant ou celui de consigne nécessite une interpolation dans cette cartographie.|
VVTSPLIMCORD_vidCalibration_5|A|();|FCT2.1|VVTSPLIMCORD|0|V02 NT 11 02903||||0|0|0|0|Ce bloc contient une des cartographies de la fonction. Il n’est calculé que lorsque le mode de fonctionnement courant ou celui de consigne nécessite une interpolation dans cette cartographie.|
VVTSPLIMCORD_vidCalibration_6|A|();|FCT2.2|VVTSPLIMCORD|0|V02 NT 11 02903||||0|0|0|0|Ce bloc contient une des cartographies de la fonction. Il n’est calculé que lorsque le mode de fonctionnement courant ou celui de consigne nécessite une interpolation dans cette cartographie.|
VVTSPLIMCORD_vidCalibration_7|A|();|FCT2.3|VVTSPLIMCORD|0|V02 NT 11 02903||||0|0|0|0|Ce bloc contient une des cartographies de la fonction. Il n’est calculé que lorsque le mode de fonctionnement courant ou celui de consigne nécessite une interpolation dans cette cartographie.|
VVTSPLIMCORD_vidCalibration_8|A|();|FCT2.4|VVTSPLIMCORD|0|V02 NT 11 02903||||0|0|0|0|Ce bloc contient une des cartographies de la fonction. Il n’est calculé que lorsque le mode de fonctionnement courant ou celui de consigne nécessite une interpolation dans cette cartographie.|
VVTSPLIMCORD_vidCalibration_9|A|();|FCT2.5|VVTSPLIMCORD|0|V02 NT 11 02903||||0|0|0|0|Ce bloc contient une des cartographies de la fonction. Il n’est calculé que lorsque le mode de fonctionnement courant ou celui de consigne nécessite une interpolation dans cette cartographie.|
VVTSPLIMCORD_vidCalibrations|A|();|FCT1.5|VVTSPLIMCORD|0|V02 NT 11 02903||||0|0|0|0|Ce bloc regroupe les différentes calibrations de la fonction|
VVTSPLIMCORD_vidEntryInit|A|();|SCH.1|VVTSPLIMCORD|1|V02 NT 11 02903||||0|0|0|0|Evénement reset du calculateur.|
VVTSPLIMCORD_vidExOfs|A|();|FCT1.2|VVTSPLIMCORD|0|V02 NT 11 02903||||0|0|0|0|La fonction est constituée de 5 blocs permettant de calculer l’offset de la température des gaz d’échappement à la sortie culasse.|
VVTSPLIMCORD_vidInitOutput|B|();|FCT1.1|VVTSPLIMCORD|0|V02 NT 11 02903||||0|0|0|0|Initialisation des sorties|
VVTSPLIMCORD_vidInterpolation|B|();|FCT3.3|VVTSPLIMCORD|0|V02 NT 11 02903||||0|0|0|0|Ce bloc permet d’interpoler l’offset de la température des gaz d’échappement à la sortie culasse entre les valeurs pour les modes courants et de consigne.|
VVTSPLIMCORD_vidMode_Mask|A|();|FCT1.4|VVTSPLIMCORD|0|V02 NT 11 02903||||0|0|0|0|Ce bloc permet de sélectionner le numéro des cartographies utiles|
VVTSPLIMCORD_vidSelect_Modes|A|();|FCT3.2|VVTSPLIMCORD|0|V02 NT 11 02903||||0|0|0|0|Ce bloc permet de calculer l’offset de la température des gaz d’échappement à la sortie culasse pour les modes courants et de consigne|
VVTSPLIMCORD_vidUnvect_Act_Bool|A|();|FCT1.6|VVTSPLIMCORD|0|V02 NT 11 02903||||0|0|0|0|Ce bloc permet la démultiplication des flux de sélection des cartographies utiles.|
VVTSPLIMCORD_vidUnvectorize_Mode|B|();|FCT1.3|VVTSPLIMCORD|0|V02 NT 11 02903||||0|0|0|0|Ce bloc permet de sélectionner les informations provenant du gestionnaire de modes de fonctionnements|
VVTSPLIMCORD_vidVectorize_Calib|A|();|FCT3.1|VVTSPLIMCORD|0|V02 NT 11 02903||||0|0|0|0|Ce bloc permet de calculer l’offset de la température des gaz d’échappement à la sortie culasse.|
