Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
Afr_target_reinst_aps_corr|sint16|HEADER|1|0|0|Afr_target_reinst_aps_corr|0|0|Phys|s.u.|1|14.7/65536|0|injection|injection||Afr_target_reinst_aps_corr||1||||||||0|1||||1|0|0||0|-32768|32767|-7.35|7.34977569580078|0|
Afr_target_reinst_corr|sint16|HEADER|1|0|0|Afr_target_reinst_corr|0|0|Phys|s.u.|1|14.7/65536|0|Injection|Injection||Afr_target_reinst_corr||1||||||||0|1||||1|0|0||0|-32768|32767|-7.35|7.34977569580078|0|
Coupure_decel_progr_inj|uint8|HEADER|1|0|0|Coupure_decel_progr_inj|0|0|Phys|-|0|||Variables systeme|Variables systeme||Coupure_decel_progr_inj||1||||||||0|1||||1|0|0||0|0|255|0|255|0|
Ctrl_bSelFarSpMdlCf|boolean|HEADER|1|0|0|Ctrl_bSelFarSpMdlCf|0|0|Phys|bool|2|0||Divers|Divers||Ctrl_bSelFarSpMdlCf||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Eng_FacCorIntrSttHiEngSpd|sint16|HEADER|1|0|0|Eng_FacCorIntrSttHiEngSpd|0|0|Phys|s.u.|1|14.7/65536|0|Divers|Divers||Eng_FacCorIntrSttHiEngSpd||1||||||||0|1||||1|0|0||0|-32768|32767|-7.35|7.34977569580078|0|
Eng_rlamRstrtSTT|uint16|HEADER|1|0|0|Eng_rlamRstrtSTT|0|0|Phys|s.u.|1|7.35/65536|0|Divers|Divers||Eng_rlamRstrtSTT||1||||||||0|1||||1|0|0||0|0|65535|0|7.34988784790039|0|
EngM_mfAirCor|uint16|HEADER|1|0|0|EngM_mfAirCor|0|0|Phys|kg/s|1|1/65536|0|IFRTE|IFRTE||EngM_mfAirCor||1||||||||0|1||||1|0|0||0|0|65535|0|0.999984741210938|0|
EngM_mfAirScvCor|uint16|HEADER|1|0|0|EngM_mfAirScvCor|0|0|Phys|kg/s|1|1/65536|0|IFRTE|IFRTE||EngM_mfAirScvCor||1||||||||0|1||||1|0|0||0|0|65535|0|0.999984741210938|0|
Ext_stGasMod_SC|uint8|HEADER|1|0|0|Ext_stGasMod_SC|0|0|Phys|-|||||||Ext_stGasMod_SC||3||||||||0|1|||0|0|0|0||0|||||0|
Ext_stSysGas|uint8|HEADER|1|0|0|Ext_stSysGas|0|0|Phys|-|1|1|0|Divers|Divers||Ext_stSysGas||1||||||||0|1||||1|0|0||0|0|3|0|3|0|
