Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
Cf_bPresPAirExtSens|boolean|HEADER|1|0|0|Cf_bPresPAirExtSens|0|0|Phys|bool|2|0||Cf|Cf||Cf_bPresPAirExtSens||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Corrected_throttle_position|uint8|HEADER|1|0|0|Corrected_throttle_position|0|0|Phys|%|1|100/256|0|Thr|Thr||Corrected_throttle_position||1||||||||0|1||||1|0|0||0|0|255|0|99.609375|0|
DIAG_DISPO|boolean|HEADER|1|0|0|DIAG_DISPO|0|0|Phys|bool|2|0|||||DIAG_DISPO||3||||||||0|1|||0|0|0|0||0|||||0|
DmpVlv_bDgoStuckCls_DmpVlv|boolean|FCTDIAGDMPVLV|0|0|0|DmpVlv_bDgoStuckCls_DmpVlv|0|0|Phys|bool|2|0||Divers|Divers||DmpVlv_bDgoStuckCls_DmpVlv||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
DmpVlv_bDgoStuckOp_DmpVlv|boolean|FCTDIAGDMPVLV|0|0|0|DmpVlv_bDgoStuckOp_DmpVlv|0|0|Phys|bool|2|0||Divers|Divers||DmpVlv_bDgoStuckOp_DmpVlv||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
DmpVlv_bEndCntOscStuckCls|boolean|FCTDIAGDMPVLV|0|0|0|DmpVlv_bEndCntOscStuckCls|0|0|Phys|bool|2|0||Divers|Divers||DmpVlv_bEndCntOscStuckCls||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
DmpVlv_bMonRunStuckCls_DmpVlv|boolean|FCTDIAGDMPVLV|0|0|0|DmpVlv_bMonRunStuckCls_DmpVlv|0|0|Phys|bool|2|0||Divers|Divers||DmpVlv_bMonRunStuckCls_DmpVlv||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
DmpVlv_bMonRunStuckOp_DmpVlv|boolean|FCTDIAGDMPVLV|0|0|0|DmpVlv_bMonRunStuckOp_DmpVlv|0|0|Phys|bool|2|0||Divers|Divers||DmpVlv_bMonRunStuckOp_DmpVlv||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
DmpVlv_bOscStuckCls|boolean|FCTDIAGDMPVLV|0|0|0|DmpVlv_bOscStuckCls|0|0|Phys|bool|2|0||Divers|Divers||DmpVlv_bOscStuckCls||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
DmpVlv_bPresOscStuckCls|boolean|FCTDIAGDMPVLV|0|0|0|DmpVlv_bPresOscStuckCls|0|0|Phys|bool|2|0||Divers|Divers||DmpVlv_bPresOscStuckCls||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
