Name|Type|Requirement
irPres_pUsThrNegDif1_C|0|VEMS_E_11_03491_001.01
irPres_pUsThrNegDif1_C|0|VEMS_E_11_03491_002.01
FCTDIAGTRBPRES_vidCdnEnaHiTrbPres|1|VEMS_E_11_03491_004.01
FCTDIAGTRBPRES_vidCdnEnaLoTrbPres|1|VEMS_E_11_03491_006.01
FCTDIAGTRBPRES_vidCdnEnaCohTrbPresIdl|1|VEMS_E_11_03491_007.01
AirPres_pAirExtMes1_C|0|VEMS_E_11_03491_002.01
AirPres_pAirExtMes1_C|0|VEMS_E_11_03491_001.01
AirPres_pAirExtMes2_C|0|VEMS_E_11_03491_001.01
AirPres_pAirExtMes2_C|0|VEMS_E_11_03491_002.01
AirPres_pUsThrBoostPlaus_C|0|VEMS_E_11_03491_001.01
AirPres_pUsThrBoostPlaus_C|0|VEMS_E_11_03491_002.01
AirPres_pUsThrIdlPlaus_C|0|VEMS_E_11_03491_001.01
AirPres_pUsThrIdlPlaus_C|0|VEMS_E_11_03491_002.01
AirPres_pUsThrNegDif2_C|0|VEMS_E_11_03491_001.01
AirPres_pUsThrNegDif2_C|0|VEMS_E_11_03491_002.01
AirPres_pUsThrNegDifSen_C|0|VEMS_E_11_03491_001.01
AirPres_pUsThrNegDifSen_C|0|VEMS_E_11_03491_002.01
AirPres_pUsThrPosDif1_C|0|VEMS_E_11_03491_001.01
AirPres_pUsThrPosDif1_C|0|VEMS_E_11_03491_002.01
AirPres_pUsThrPosDif2_C|0|VEMS_E_11_03491_001.01
AirPres_EveRst_FctDiagTrbPres|1|VEMS_E_11_03491_001.01
AirPres_EveRst_FctDiagTrbPres|1|VEMS_E_11_03491_002.01
AirPres_EveRst_FctDiagTrbPres|1|VEMS_E_11_03491_003.01
AirPres_SdlMid_FctDiagTrbPres|1|VEMS_E_11_03491_001.01
AirPres_SdlMid_FctDiagTrbPres|1|VEMS_E_11_03491_002.01
AirPres_SdlMid_FctDiagTrbPres|1|VEMS_E_11_03491_003.01
FCTDIAGTRBPRES_vidCdEnaHiTrbPre|1|VEMS_E_11_03491_004.01
FCTDIAGTRBPRES_vidCdnCohTrbPrId|1|VEMS_E_11_03491_008.01
FCTDIAGTRBPRES_vidCdnEnaLoTrbPre|1|VEMS_E_11_03491_006.02
FCTDIAGTRBPRES_vidCdnNegTrbPres|1|VEMS_E_11_03491_012.01
FCTDIAGTRBPRES_vidCdnPosTrbPres|1|VEMS_E_11_03491_014.01
FCTDIAGTRBPRES_vidCohTrbPresBst|1|VEMS_E_11_03491_011.01
AirPres_pUsThrPosDif2_C|0|VEMS_E_11_03491_002.01
AirPres_pUsThrPosDifSen_C|0|VEMS_E_11_03491_001.01
AirPres_pUsThrPosDifSen_C|0|VEMS_E_11_03491_002.01
AirPres_pAirExtMes1_C|0|VEMS_E_11_03491_003.01
AirPres_pAirExtMes2_C|0|VEMS_E_11_03491_003.01
AirPres_pUsThrBoostPlaus_C|0|VEMS_E_11_03491_003.01
AirPres_pUsThrIdlPlaus_C|0|VEMS_E_11_03491_003.01
AirPres_pUsThrNegDif1_C|0|VEMS_E_11_03491_001.01
AirPres_pUsThrNegDif1_C|0|VEMS_E_11_03491_002.01
AirPres_pUsThrNegDif1_C|0|VEMS_E_11_03491_003.01
AirPres_pUsThrNegDif2_C|0|VEMS_E_11_03491_003.01
AirPres_pUsThrNegDifSen_C|0|VEMS_E_11_03491_003.01
AirPres_pUsThrPosDif1_C|0|VEMS_E_11_03491_003.01
AirPres_pUsThrPosDif2_C|0|VEMS_E_11_03491_003.01
AirPres_pUsThrPosDifSen_C|0|VEMS_E_11_03491_003.01
AirPres_tiBoostPresClCtlAcv_C|0|VEMS_E_11_03491_001.01
AirPres_tiBoostPresClCtlAcv_C|0|VEMS_E_11_03491_002.01
AirPres_tiUsThrPlaus_AcvIdlCtl_C|0|VEMS_E_11_03491_001.01
AirPres_tiUsThrPlaus_AcvIdlCtl_C|0|VEMS_E_11_03491_002.01
AirPres_tiBoostPresClCtlAcv_C|0|VEMS_E_11_03491_003.01
AirPres_tiUsThrPlaus_AcvIdlCtl_C|0|VEMS_E_11_03491_003.01
