Name|Type|Requirement
Ext_volCircFu_C|0|VEMS_R_08_07467_001.01
Fisa_EveKOn_FisaRFuDet|1|VEMS_R_08_07467_001.01
Fisa_EvePwrl_FisaRFuDet|1|VEMS_R_08_07467_001.01
Fisa_EveRst_FisaRFuDet|1|VEMS_R_08_07467_001.01
Fisa_EveRTSt_FisaRFuDet|1|VEMS_R_08_07467_001.01
Fisa_EveTDC_FisaRFuDet|1|VEMS_R_08_07467_001.01
FISA_facRic_C|0|VEMS_R_08_07467_001.01
FISA_facRich_C_VEMS|0|VEMS_R_08_07467_001.01
FISA_facRst|0|VEMS_R_08_07467_001.01
FISARFUDET_ArretMoteur|1|VEMS_R_08_07467_003.01
FISARFUDET_CalcCoefLissage|1|VEMS_R_08_07467_004.01
FISARFUDET_CalcConsoDepuisRempl|1|VEMS_R_08_07467_005.01
FISARFUDET_ClefOn|1|VEMS_R_08_07467_003.01
FISARFUDET_ClefOn|1|VEMS_R_08_07467_004.01
FISARFUDET_CondCalcCoefLissage|1|VEMS_R_08_07467_004.01
RFuDet_bRstAdp|0|VEMS_R_08_07467_001.01
Rho_carburant|0|VEMS_R_08_07467_001.01
VolFuDelta_C|0|VEMS_R_08_07467_001.01
FISA_facNew_C|0|VEMS_R_08_07467_001.01
FISARFUDET_vidClefOn|1|VEMS_R_08_07467_003.01
FISARFUDET_vidCalcConsoDepRempl|1|VEMS_R_08_07467_005.01
FISARFUDET_vidCndCalcCoefLissage|1|VEMS_R_08_07467_004.02
