Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
ABSENT|uint8|FLOWMNG|1|0|0|ABSENT|0|0|Phys|-|||||||ABSENT||3||||||||0|1|||0|0|0|0||0|||||0|
AraMth_ctStaAcv|uint32|FLOWMNG|1|0|0|AraMth_ctStaAcv|0|0|Phys|-|1|1|0|divers|divers||AraMth_ctStaAcv||1||||||||0|1||||1|0|0||0|0|3000000|0|3000000|0|
Bat_rBattSoC|uint16|FLOWMNG|1|0|0|Bat_rBattSoC|0|0|Phys|%|1|0.1|0|divers|divers||Bat_rBattSoC||1||||||||0|1||||1|0|0||0|0|1000|0|100|0|
Bat_rBattSoC_4F2|uint16|HEADER|1|0|0|Bat_rBattSoC_4F2|0|0|Phys|%|1|0.1|0|divers|divers||Bat_rBattSoC_4F2||1||||||||0|1||||1|0|0||0|0|1000|0|100|0|
Bps_brake_pedal_can_hs|boolean|FLOWMNG|1|0|0|Bps_brake_pedal_can_hs|0|0|Phys|bool|2|0||divers|divers||Bps_brake_pedal_can_hs||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Bps_brake_pedal_can_input|boolean|FLOWMNG|1|0|0|Bps_brake_pedal_can_input|0|0|Phys|bool|2|0||divers|divers||Bps_brake_pedal_can_input||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
BVA|uint8|HEADER|1|0|0|BVA|0|0|Phys|-|||||||BVA||3||||||||0|1|||1|0|0|0||0|||||0|
BVM|uint8|HEADER|1|0|0|BVM|0|0|Phys|-|||||||BVM||3||||||||0|1|||0|0|0|0||0|||||0|
BVMP|uint8|HEADER|1|0|0|BVMP|0|0|Phys|-|||||||BVMP||3||||||||0|1|||2|0|0|0||0|||||0|
Cf_rBattSoCSeln_C|boolean|FLOWMNG|1|0|0|Cf_rBattSoCSeln_C|0|0|Phys|bool|2|0||divers|divers||Cf_rBattSoCSeln_C||2|||||||PTS_DOC_5068508|1|1||||1|0|0|Flow selection boolean Bat_rBattSoC between frames 4F2 and  592|0|0|1|0|1|0|
Cha_bMainBrkPedPrssMes|boolean|HEADER|1|0|0|Cha_bMainBrkPedPrssMes|0|0|Phys|bool|2|0||FHCAN|FHCAN||Cha_bMainBrkPedPrssMes||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Clu_bCluPedEng|boolean|HEADER|1|0|0|Clu_bCluPedEng|0|0|Phys|bool|2|0||divers|divers||Clu_bCluPedEng||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CMMPropSnsrOnly_PTT|boolean|FLOWMNG|0|0|0|CMMPropSnsrOnly_PTT|0|0|Phys|bool|2|0||divers|divers||CMMPropSnsrOnly_PTT||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CMMPropSnsrOnly_TT|boolean|FLOWMNG|0|0|0|CMMPropSnsrOnly_TT|0|0|Phys|bool|2|0||divers|divers||CMMPropSnsrOnly_TT||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CMMSwtOnly|boolean|FLOWMNG|0|0|0|CMMSwtOnly|0|0|Phys|bool|2|0||divers|divers||CMMSwtOnly||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Commande_pompe_ess|boolean|HEADER|1|0|0|Commande_pompe_ess|0|0|Phys|bool|2|0||FuPmp|FuPmp||Commande_pompe_ess||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoPTSt_stDrvTra|uint8|HEADER|1|0|0|CoPTSt_stDrvTra|0|0|Phys|-|1|1|0|IFRTE|IFRTE||CoPTSt_stDrvTra||1||||||||0|1||||1|0|0||0|0|2|0|2|0|
CoReqVeh_bMainBrkPedPrss|boolean|HEADER|1|0|0|CoReqVeh_bMainBrkPedPrss|0|0|Phys|bool|2|0||FHCAN|FHCAN||CoReqVeh_bMainBrkPedPrss||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
CoReqVeh_bMainBrkPedPrssHS|boolean|HEADER|1|0|0|CoReqVeh_bMainBrkPedPrssHS|0|0|Phys|bool|2|0||FHCAN|FHCAN||CoReqVeh_bMainBrkPedPrssHS||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Cps_clutch_pedal_input|boolean|FLOWMNG|1|0|0|Cps_clutch_pedal_input|0|0|Phys|bool|2|0||divers|divers||Cps_clutch_pedal_input||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ctrl_bAcv_FuTnkPmp|boolean|HEADER|1|0|0|Ctrl_bAcv_FuTnkPmp|0|0|Phys|bool|2|0||Cf|Cf||Ctrl_bAcv_FuTnkPmp||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ctrl_bCluPedPrssSen|boolean|HEADER|1|0|0|Ctrl_bCluPedPrssSen|0|0|Phys|bool|2|0||divers|divers||Ctrl_bCluPedPrssSen||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ctrl_bOilPropPresAcq|boolean|HEADER|1|0|0|Ctrl_bOilPropPresAcq|0|0|Phys|bool|2|0||Cf|Cf||Ctrl_bOilPropPresAcq||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ctrl_bTAirExtMes|boolean|HEADER|1|0|0|Ctrl_bTAirExtMes|0|0|Phys|bool|2|0||divers|divers||Ctrl_bTAirExtMes||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ctrl_CMMPropSnsrOnly_PTT|boolean|HEADER|1|0|0|Ctrl_CMMPropSnsrOnly_PTT|0|0|Phys|bool|2|0||divers|divers||Ctrl_CMMPropSnsrOnly_PTT||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ctrl_ESPPropSnsr_CMMPropSnsr|boolean|HEADER|1|0|0|Ctrl_ESPPropSnsr_CMMPropSnsr|0|0|Phys|bool|2|0||divers|divers||Ctrl_ESPPropSnsr_CMMPropSnsr||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ctrl_ESPPropSnsr_CMMSwt|boolean|HEADER|1|0|0|Ctrl_ESPPropSnsr_CMMSwt|0|0|Phys|bool|2|0||divers|divers||Ctrl_ESPPropSnsr_CMMSwt||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ctrl_rCluPedPrssMes|boolean|HEADER|1|0|0|Ctrl_rCluPedPrssMes|0|0|Phys|bool|2|0||divers|divers||Ctrl_rCluPedPrssMes||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
DAGMP_Key_Meca|uint8|FLOWMNG|1|0|0|DAGMP_Key_Meca|0|0|Phys|-|||||||DAGMP_Key_Meca||3||||||||0|1|||0|0|0|0||0|||||0|
DCM_AEE2004|uint8|FLOWMNG|0|0|0|DCM_AEE2004|0|0|Phys|-|||||||DCM_AEE2004||3||||||||0|1|||1|0|0|0||0|||||0|
DCM_MAINTENU|uint8|FLOWMNG|0|0|0|DCM_MAINTENU|0|0|Phys|-|||||||DCM_MAINTENU||3||||||||0|1|||0|0|0|0||0|||||0|
DmgBelt_noEngStrt|uint32|HEADER|1|0|0|DmgBelt_noEngStrt|0|0|Phys|-|1|1|0|divers|divers||DmgBelt_noEngStrt||1||||||||0|1||||1|0|0||0|0|3000000|0|3000000|0|
DML_IMPULSIONNEL|uint8|FLOWMNG|0|0|0|DML_IMPULSIONNEL|0|0|Phys|-|||||||DML_IMPULSIONNEL||3||||||||0|1|||2|0|0|0||0|||||0|
DML_MAINTENU|uint8|FLOWMNG|0|0|0|DML_MAINTENU|0|0|Phys|-|||||||DML_MAINTENU||3||||||||0|1|||3|0|0|0||0|||||0|
Driv_Train_closed|uint8|FLOWMNG|1|0|0|Driv_Train_closed|0|0|Phys|-|||||||Driv_Train_closed||3||||||||0|1|||1|0|0|0||0|||||0|
DRIVALTMGT_BSS|uint8|FLOWMNG|1|0|0|DRIVALTMGT_BSS|0|0|Phys|-|||||||DRIVALTMGT_BSS||3||||||||0|1|||1|0|0|0||0|||||0|
DRIVALTMGT_LIN|uint8|FLOWMNG|1|0|0|DRIVALTMGT_LIN|0|0|Phys|-|||||||DRIVALTMGT_LIN||3||||||||0|1|||0|0|0|0||0|||||0|
DRIVALTMGT_NOSUBNET|uint8|FLOWMNG|1|0|0|DRIVALTMGT_NOSUBNET|0|0|Phys|-|||||||DRIVALTMGT_NOSUBNET||3||||||||0|1|||2|0|0|0||0|||||0|
ECU_bImmoUnlockWkuSt|boolean|HEADER|1|0|0|ECU_bImmoUnlockWkuSt|0|0|Phys|bool|2|0||Cf|Cf||ECU_bImmoUnlockWkuSt||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
ECU_bPrepIgEngWkuSt|boolean|HEADER|1|0|0|ECU_bPrepIgEngWkuSt|0|0|Phys|bool|2|0||divers|divers||ECU_bPrepIgEngWkuSt||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
ECU_bWkuMain|boolean|HEADER|1|0|0|ECU_bWkuMain|0|0|Phys|bool|2|0||divers|divers||ECU_bWkuMain||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
EIPRODCF_ALTDRV|uint8|FLOWMNG|1|0|0|EIPRODCF_ALTDRV|0|0|Phys|-|||||||EIPRODCF_ALTDRV||3||||||||0|1|||1|0|0|0||0|||||0|
EIPRODCF_ALTRV|uint8|FLOWMNG|1|0|0|EIPRODCF_ALTRV|0|0|Phys|-|||||||EIPRODCF_ALTRV||3||||||||0|1|||2|0|0|0||0|||||0|
EIPRODCF_ALTSTD|uint8|FLOWMNG|1|0|0|EIPRODCF_ALTSTD|0|0|Phys|-|||||||EIPRODCF_ALTSTD||3||||||||0|1|||0|0|0|0||0|||||0|
ElProdMgt_stProdPrgCh|uint8|HEADER|1|0|0|ElProdMgt_stProdPrgCh|0|0|Phys|-|1|1|0|divers|divers||ElProdMgt_stProdPrgCh||1||||||||0|1||||1|0|0||0|0|15|0|15|0|
ElProdMgt_stProdPrgChDi_nEng|uint8|HEADER|1|0|0|ElProdMgt_stProdPrgChDi_nEng|0|0|Phys|-|1|1|0|divers|divers||ElProdMgt_stProdPrgChDi_nEng||1||||||||0|1||||1|0|0||0|0|15|0|15|0|
