Name|Type|Requirement
FLOWMNG_vidClu|1|VEMS_R_11_00339_005.02
FLOWMNG_vidClu|1|VEMS_R_11_00339_006.02
FLOWMNG_vidClu|1|VEMS_R_11_00339_007.02
Ext_uAltLINSp|0|VEMS_R_11_00339_001.03
FlowMng_bCluPropSnsrEna|0|VEMS_R_11_00339_001.03
FlowMng_bCluSwtEna|0|VEMS_R_11_00339_001.03
Km_vehicle_mux|0|VEMS_R_11_00339_001.03
Oil_pres_alert|0|VEMS_R_11_00339_001.03
TiCt_ctSecStopEng|0|VEMS_R_11_00339_001.03
Tra_posnATLevExtSecu|0|VEMS_R_11_00339_001.03
Tra_tqCnvClu|0|VEMS_R_11_00339_001.03
Ext_ctSecPwrl|0|VEMS_R_11_00339_001.03
Ext_ctYr|0|VEMS_R_11_00339_001.03
Ext_rCluPHiFreq|0|VEMS_R_11_00339_001.03
Ext_dstVehMes|0|VEMS_R_11_00339_001.03
Ext_rSpdFanPred|0|VEMS_R_11_00339_001.03
Ext_rSpdFanReqB2|0|VEMS_R_11_00339_001.03
Ext_rSpdFanReqC|0|VEMS_R_11_00339_001.03
Cf_rBattSoCSeln_C|0|VEMS_R_11_00339_001.03
ElProdMgt_uElProdSp_C|0|VEMS_R_11_00339_001.03
Ext_pRelBrkAsiInit_C|0|VEMS_R_11_00339_001.03
Ext_tOilDft|0|VEMS_R_11_00339_001.03
Ext_tPosATLevExtdInCoh_C|0|VEMS_R_11_00339_001.03
Ext_tPosATLevExtdInter_C|0|VEMS_R_11_00339_001.03
Ext_tPosATLevInCoh_C|0|VEMS_R_11_00339_001.03
TiCt_ctDayInYr_C|0|VEMS_R_11_00339_001.03
TiCt_ctSecInDay_C|0|VEMS_R_11_00339_001.03
TiCt_ctTiUSec_C|0|VEMS_R_11_00339_001.03
TqCnvClu_nEngNorm_C|0|VEMS_R_11_00339_001.03
FLOWMNG_vidDAGMP_Traction|1|VEMS_R_11_00339_019.02
FLOWMNG_vidDayCtMng|1|VEMS_R_11_00339_012.01
FLOWMNG_vidDayCtMng|1|VEMS_R_11_00339_013.01
FLOWMNG_vidDayCtMng|1|VEMS_R_11_00339_017.01
FLOWMNG_vidDayCtMng_EEPROM|1|VEMS_R_11_00339_018.02
FLOWMNG_vidFirst_DayCtMng|1|VEMS_R_11_00339_027.01
FLOWMNG_vidFirst_DayCtMng|1|VEMS_R_11_00339_029.01
FLOWMNG_vidFirst_DayCtMng|1|VEMS_R_11_00339_030.01
FLOWMNG_vidInit_EEPROM|1|VEMS_R_11_00339_014.01
FLOWMNG_vidOil|1|VEMS_R_11_00339_031.02
FLOWMNG_vidOutput_GBxLev1|1|VEMS_R_11_00339_033.01
Can_EveRst_FHCanF349_FlowMng|1|VEMS_R_11_00339_001.03
Can_EveRst_FHCanF552_FlowMng|1|VEMS_R_11_00339_001.03
Ext_posnGBxLev|0|VEMS_R_11_00339_001.03
Ext_dstVehTotMes|0|VEMS_R_11_00339_001.03
TqCnvClu_tqRcvVal_C|0|VEMS_R_11_00339_001.03
Ext_posnGBxLevDft_C|0|VEMS_R_11_00339_001.03
Fgigb_ti_VsctlDiagIniGb_C|0|VEMS_R_11_00339_001.03
Ctrl_bTAirExtMes|0|VEMS_R_11_00339_001.03
FLOWMNG_vidOutput_GBxLev2|1|VEMS_R_11_00339_033.01
FLOWMNG_vidOutput_posnGBxLev|1|VEMS_R_11_00339_033.01
FLOWMNG_vidPMastervac|1|VEMS_R_11_00339_034.01
FLOWMNG_vidPosGearLev|1|VEMS_R_11_00339_023.01
FLOWMNG_vidTExtMng|1|VEMS_R_11_00339_008.02
FLOWMNG_vidTExtMng|1|VEMS_R_11_00339_009.02
FLOWMNG_vidTExtMng|1|VEMS_R_11_00339_028.01
FLOWMNG_vidTOilMng|1|VEMS_R_11_00339_010.02
FLOWMNG_vidTOilMng|1|VEMS_R_11_00339_011.02
FLOWMNG_vidTqSel|1|VEMS_R_11_00339_024.01
Tpsveh_seuil_bas_C|0|VEMS_R_11_00339_001.03
Tpsveh_seuil_haut_C|0|VEMS_R_11_00339_001.03
Cf_EveRxn552_FlowMng|1|VEMS_R_11_00339_032.02
Cf_EveRst_FlowMngAlt|1|VEMS_R_11_00339_001.03
Cf_EveRst_FlowMngBatt|1|VEMS_R_11_00339_001.03
Cf_EveRst_FlowMngBrk|1|VEMS_R_11_00339_001.03
Cf_EveRst_FlowMngBrkAsi|1|VEMS_R_11_00339_001.03
Cf_EveRst_FlowMngClu_1|1|VEMS_R_11_00339_001.03
Cf_EveRst_FlowMngClu_2|1|VEMS_R_11_00339_001.03
Cf_EveRst_FlowMngDayCt|1|VEMS_R_11_00339_001.03
Cf_EveRst_FlowMngGear|1|VEMS_R_11_00339_001.03
Cf_EveRst_FlowMngGmv|1|VEMS_R_11_00339_001.03
Cf_EveRst_FlowMngOilPres|1|VEMS_R_11_00339_001.03
Cf_EveRst_FlowMngPedPrss|1|VEMS_R_11_00339_001.03
Ext_bAcvLoFuPmp|0|VEMS_R_11_00339_001.03
FuPmp_bTypFuTnkPmp_C|0|VEMS_R_11_00339_001.03
FuPmp_rLoAcvFuTnkPmp_C|0|VEMS_R_11_00339_001.03
FLOWMNG_vidAlt_Cpt_Dem_Redem|1|VEMS_R_11_00339_035.01
Cf_EveRst_FlowMngPwt|1|VEMS_R_11_00339_001.03
Cf_EveRst_FlowMngTqSel|1|VEMS_R_11_00339_001.03
Cf_SdlFast_FlowMngAlt|1|VEMS_R_11_00339_001.03
Cf_SdlFast_FlowMngBatt|1|VEMS_R_11_00339_001.03
Cf_SdlFast_FlowMngBrk|1|VEMS_R_11_00339_001.03
Cf_SdlFast_FlowMngBrkAsi|1|VEMS_R_11_00339_001.03
