Nom_fonction|Release_fonction|Prototype|Num_stc|Nom_module|Public|Reférence_spec_systéme|Reférence_spec_systéme_1|Reférence_spec_systéme_2|Reférence_spec_systéme_3|Fonction_à_supprimer|Validation|Export_part|Macro|function_description
Dem_GetEventStatus|A|func_dem_GetEventStatus|2|HEADER|1|V02 NT 10 03836|V02 NT 10 02964|||0|0|0|0|Get the current extended event status of an EventId
Fim_DemInit|A|();|API.3|FRM|1|PTS_DOC_5447824|PTS_DOC_5447829|||0|0|0|0|This service re-initializes the GAR.
Fim_DemTriggerOnEventStatus|B|(argin uint16 u16DftIdx, argin uint8 u8StatusOld, argin uint8 u8Status);|API.3|FRM|1|PTS_DOC_5447829|PTS_DOC_5447824|||0|0|0|0|Update the GAR upon changes of the event status
Fim_GetFunctionPermission|B|func_GetFunctionPermission|API.4|FRM|1|PTS_DOC_5447829|PTS_DOC_5447824|||0|0|0|0|This function reports the permission state to the functionality
Fim_Init|C|();|SCH.1|FRM|1|PTS_DOC_5447829|PTS_DOC_5447824|||0|0|0|0|
FRM_vidDemInit|A|();|FCT1.2|FRM|0|PTS_DOC_5447829|PTS_DOC_5447824|||0|0|0|0|Re_initialization of FRM module.
FRM_vidF01_PrmDft_Init|C|(argin uint16 u16Index, argin uint8 u8StatusOld, argin uint8 u8Status);|FCT1.1|FRM|0|PTS_DOC_5447829|PTS_DOC_5447824|||0|0|0|0|
FRM_vidF02_FidMng_F02_AcvTable|C|(argin uint16 u16LDIndex);|FCT2.1|FRM|0|PTS_DOC_5447829|PTS_DOC_5447824|||0|0|0|0|
FRM_vidF03_EnaFid_Idx_Switch|C|func_GetFunctionPermission|FCT3.1|FRM|0|PTS_DOC_5447829|PTS_DOC_5447824|||0|0|0|0|
FRM_vidInit|C|();|FCT0.1|FRM|0|PTS_DOC_5447829|PTS_DOC_5447824|||0|0|0|0|Initialization of FRM module
SWFAIL_vidSoftwareErrorHook|B|();|1|HEADER|1|NONE||||0|0|0|0|
