Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
Conso_carb_entre_trame_InjDir|uint16|FUCNS|0|0|0|Conso_carb_entre_trame_InjDir|0|0|Phys|mm3|1|5|0|Divers|Divers||Conso_carb_entre_trame_InjDir||1||||||||0|1||||1|0|0||0|0|65535|0|327675|0|
Conso_carburant_can_InjDir|uint8|FUCNS|0|0|0|Conso_carburant_can_InjDir|0|0|Phys|mm3|1|80|0|Divers|Divers||Conso_carburant_can_InjDir||1||||||||0|1||||1|0|0||0|0|255|0|20400|0|
Conso_carburant_can_InjInd|uint8|FUCNS|0|0|0|Conso_carburant_can_InjInd|0|0|Phys|mm3|1|80|0|Divers|Divers||Conso_carburant_can_InjInd||1||||||||0|1||||1|0|0||0|0|255|0|20400|0|
Conso_carburant_entre_trame|uint16|FUCNS|0|0|0|Conso_carburant_entre_trame|0|0|Phys|mm3|1|5|0|Divers|Divers||Conso_carburant_entre_trame||1||||||||0|1||||1|0|0||0|0|65535|0|327675|0|
Conso_carburant_filtre_gain|uint8|FUCNS|1|0|0|Conso_carburant_filtre_gain|0|0|Phys|%|1|100/256|0|Injection|Injection||Conso_carburant_filtre_gain||2|||||||PTS_DOC_5139613|1|1||||1|0|0|Gain du filtre passe-bas du 1er ordre sur la consommation horaire de carburant|0|0|255|0|99.609375|0|
Conso_carburant_inst_filtre_gain|uint8|FUCNS|1|0|0|Conso_carburant_inst_filtre_gain|0|0|Phys|%|1|100/256|0|Communication|Communication||Conso_carburant_inst_filtre_gain||2|||||||PTS_DOC_5139613|1|1||||1|0|0|Gain de filtrage de la consommation instantanée de carburant|0|0|255|0|99.609375|0|
Conso_Inst_InjDir|uint8|FUCNS|0|0|0|Conso_Inst_InjDir|0|0|Phys|L/100km|1|0.12|0|Divers|Divers||Conso_Inst_InjDir||1||||||||0|1||||1|0|0||0|0|255|0|30.6|0|
Conso_Inst_InjInd|uint8|FUCNS|0|0|0|Conso_Inst_InjInd|0|0|Phys|L/100km|1|0.12|0|Divers|Divers||Conso_Inst_InjInd||1||||||||0|1||||1|0|0||0|0|255|0|30.6|0|
Consommation_carburant_horaire|uint16|FUCNS|1|0|0|Consommation_carburant_horaire|0|0|Phys|L/h|1|1/1024|0|Communication|Communication||Consommation_carburant_horaire||1||||||||0|1||||1|0|0||0|0|65535|0|63.9990234375|0|
Consommation_carburant_inst|uint8|FUCNS|1|0|0|Consommation_carburant_inst|0|0|Phys|L/100km|1|0.12|0|Communication|Communication||Consommation_carburant_inst||1||||||||0|1||||1|0|0||0|0|255|0|30.6|0|
