Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
Afa_panne_presente_adapt_inj|boolean|HEADER|1|0|0|Afa_panne_presente_adapt_inj|0|0|Phys|bool|1|1|0|Diagnostic_eep|Diagnostic_eep||Afa_panne_presente_adapt_inj||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Conso_carbu_totale_ref|uint32|FULVL|0|0|0|Conso_carbu_totale_ref|0|0|Phys|mm3|1|80|0|Communication|Communication||Conso_carbu_totale_ref||1||||||||0|1||||1|0|0||0|0|4294967295|0|343597383600|0|
Consommation_carburant_totale|uint32|HEADER|1|0|0|Consommation_carburant_totale|0|0|Phys|L|1|0.00008|0|Communication|Communication||Consommation_carburant_totale||1||||||||0|1||||1|0|0||0|0|4294967295|0|343597.3836|0|
DIAG_DISPO|boolean|HEADER|1|0|0|DIAG_DISPO|0|0|Phys|-|||||||DIAG_DISPO||3||||||||0|1|||0|0|0|0||0|||||0|
Diag_on|boolean|HEADER|1|0|0|Diag_on|0|0|Phys|bool|1|1|0|Communication|Communication||Diag_on||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Ext_bLowFuelLevelSel|boolean|HEADER|1|0|0|Ext_bLowFuelLevelSel|0|0|Phys|bool|2|0||Divers|Divers||Ext_bLowFuelLevelSel||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
Flev_etat_haut_en_reserve|boolean|FULVL|1|0|0|Flev_etat_haut_en_reserve|0|0|Phys|bool|1|1|0|Acquisitions|Acquisitions||Flev_etat_haut_en_reserve||2|||||||PTS_DOC_5462804|1|1||||1|0|0|Booléen indiquant que le niveau d'essence est haut en réserve|0|0|1|0|1|0|
Flev_fuel_inc_run_manu_inh|boolean|FULVL|1|0|0|Flev_fuel_inc_run_manu_inh|0|0|Phys|bool|1|1|0|Communication|Communication||Flev_fuel_inc_run_manu_inh||2|||||||PTS_DOC_5462804|1|1||||1|0|0|Inhibition de détection d'ajout de carburant moteur tournant|0|0|1|0|1|0|
Flev_fuel_level|uint8|FULVL|1|0|0|Flev_fuel_level|0|0|Phys|L|1|0.5|0|Communication|Communication||Flev_fuel_level||1||||||||0|1||||1|0|0||0|0|255|0|127.5|0|
Flev_fuel_level_count|uint8|FULVL|0|0|0|Flev_fuel_level_count|0|0|Phys|s|1|Fu_SampleTiMid_SC/1000|0|Communication|Communication||Flev_fuel_level_count||1||||||||0|1||||1|0|0||0|0|29|0|2.9|0|
