Name|Type|Requirement
FUPMPMNG_vidCondAcv|1|VEMS_R_07_01322_002.01
FUPMPMNG_vidEngineRunning|1|VEMS_R_07_01322_005.01
FUPMPMNG_vidEngRot|1|VEMS_R_08_04976_013.01
FUPMPMNG_vidEngRot|1|VEMS_R_08_04976_016.01
FUPMPMNG_vidInitPumpKeyOffOn|1|VEMS_R_08_04976_001.01
FUPMPMNG_vidInitPumpKeyOffOn|1|VEMS_R_08_04976_002.01
FUPMPMNG_vidStopEngReq|1|VEMS_R_08_04976_014.01
FUPMPMNG_vidStopEngReq|1|VEMS_R_08_04976_015.01
FUPMPMNG_vidStopEngReq|1|VEMS_R_08_04976_016.01
FUPMPMNG_vidStopEngReqOrKeyOff|1|VEMS_R_07_01322_006.01
FUPMPMNG_vidCtl|1|VEMS_R_07_01322_004.01
FUPMPMNG_vidInitFuPmpPctl|1|VEMS_R_07_01322_003.01
FUPMPMNG_vidInitCallMng|1|VEMS_R_07_01322_001.01
