Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
CoPtUH_bLatchDrvCyc|boolean|HEADER|1|0|0|CoPtUH_bLatchDrvCyc|0|0|Phys|-||||HEADER|HEADER||CoPtUH_bLatchDrvCyc||1||||||||0|1||||0|0|0||0|0|1|||0|
DC_au8DC_EEPROM|uint8|DC|1|GD_DFT_NB/8+1|1|DC_au8DC_EEPROM|0|0|Deci|-||||DC|DC||DC_abDC||1||||||||0|1||||0|0|0||0|||||0|
DC_bAuthNewDrvCyc|boolean|DC|0|0|0|DC_bAuthNewDrvCyc|0|0|Phys|bool|2|0||DC|DC||DC_bAuthNewDrvCyc||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
DC_bSyncGlbDC|boolean|DC|1|0|0|DC_bSyncGlbDC|0|0|Phys|bool|2|0||DC|DC||DC_bSyncGlbDC||1||||||||0|1||||1|0|0||0|0|1|||0|
DC_u8Inhib|uint8|DC|1|0|0|DC_u8Inhib|0|0|Hexa|-||||DC|DC||DC_u8Inhib||2|||||||V02 NT 10 04662|1|1||||1|0|0|calibration permettant d'inhiber la mise à jour des variables produites de la spec|0|||||0|
FRM_bInhDrvCycGlbStrt|boolean|HEADER|1|0|0|FRM_bInhDrvCycGlbStrt|0|0|Phys|-||||header|header||FRM_bInhDrvCycGlbStrt||1||||||||0|1||||0|0|0||0|0|1|||0|
FRM_FRM_INHDRVCYCGLBSTRT|uint16|HEADER|1|0|0|FRM_FRM_INHDRVCYCGLBSTRT|0|0|Phys|-||||HEADER|HEADER||FRM_FRM_INHDRVCYCGLBSTRT||3||||||||0|1|||8|0|0|0||0|||||0|
GD_astrClasObd|GD_strClasObd|HEADER|1|40|1|GD_astrClasObd|0|0|Déci|-||||HEADER|HEADER||GD_astrClasObd||2|||||||V02 NT 08 05814|1|1||||0|0|0||0|||||0|
GD_au8IdxClasObd|uint8|HEADER|1|GD_DFT_NB|1|GD_au8IdxClasObd|0|0|Déci|-||||HEADER|HEADER||GD_au8IdxClasObd||2|-||-||-||V02NT0805814|1|1||||0|0|0||0|0|GD_CLAS_OBD - 1|||0|
GD_DFT_NB|uint16|HEADER|1|0|0|GD_DFT_NB|0|0|Phys|-|||||||GD_DFT_NB||3||||||||0|1|||9|0|0|0||0|||||0|
GOBD_bKeyOBD|boolean|HEADER|1|0|0|GOBD_bKeyOBD|0|0|Phys|bool|2|0||HEADER|HEADER||GOBD_bKeyOBD||1||||||||0|1||||1|0|0||0|0|1|0|1|0|
