Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
CAT|uint8|HEADER|1|0|0|CAT|0|0|Phys|-|||||||CAT||3||||||||0|1|||0|0|0|0||0|||||0|
CLIM|uint8|HEADER|1|0|0|CLIM|0|0|Phys|-|||||||CLIM||3||||||||0|1|||7|0|0|0||0|||||0|
CPT|uint8|HEADER|1|0|0|CPT|0|0|Phys|-|||||||CPT||3||||||||0|1|||9|0|0|0||0|||||0|
DEM_CLEAR_FAILED|uint8|GDEXTINT|1|0|0|DEM_CLEAR_FAILED|0|0|Phys|-||||HEADER|HEADER||DEM_CLEAR_FAILED||3||||||||0|1|||4|0|0|0||0|||||0|
DEM_CLEAR_OK|uint8|GDEXTINT|1|0|0|DEM_CLEAR_OK|0|0|Phys|-||||HEADER|HEADER||DEM_CLEAR_OK||3||||||||0|1|||0|0|0|0||0|||||0|
DEM_CLEAR_WRONG_DTC|uint8|GDEXTINT|1|0|0|DEM_CLEAR_WRONG_DTC|0|0|Phys|-||||HEADER|HEADER||DEM_CLEAR_WRONG_DTC||3||||||||0|1|||1|0|0|0||0|||||0|
DEM_CLEAR_WRONG_DTCKIND|uint8|GDEXTINT|1|0|0|DEM_CLEAR_WRONG_DTCKIND|0|0|Phys|-|||||||DEM_CLEAR_WRONG_DTCKIND||3||||||||0|1|||3|0|0|0||0|||||0|
DEM_CLEAR_WRONG_DTCORIGIN|uint8|GDEXTINT|1|0|0|DEM_CLEAR_WRONG_DTCORIGIN|0|0|Phys|-|||||||DEM_CLEAR_WRONG_DTCORIGIN||3||||||||0|1|||2|0|0|0||0|||||0|
DEM_CONTROL_DTC_SETTING_OK|uint8|GDEXTINT|1|0|0|DEM_CONTROL_DTC_SETTING_OK|0|0|Phys|-|||||||DEM_CONTROL_DTC_SETTING_OK||3||||||||0|1|||0|0|0|0||0|||||0|
DEM_CONTROL_DTC_WRONG_DTCGROUP|uint8|GDEXTINT|1|0|0|DEM_CONTROL_DTC_WRONG_DTCGROUP|0|0|Phys|-|||||||DEM_CONTROL_DTC_WRONG_DTCGROUP||3||||||||0|1|||2|0|0|0||0|||||0|
DEM_DTC_GROUP_ALL_DTCS|uint32|GDEXTINT|1|0|0|DEM_DTC_GROUP_ALL_DTCS|0|0|Phys|-|||||||DEM_DTC_GROUP_ALL_DTCS||3||||||||0|1|||0xFFFFFF|0|0|0||0|||||0|
DEM_DTC_KIND_ALL_DTCS|uint8|GDEXTINT|1|0|0|DEM_DTC_KIND_ALL_DTCS|0|0|Phys|-|||||||DEM_DTC_KIND_ALL_DTCS||3||||||||0|1|||1|0|0|0||0|||||0|
DEM_DTC_KIND_EMISSION_REL_DTCS|uint8|HEADER|1|0|0|DEM_DTC_KIND_EMISSION_REL_DTCS|0|0|Phys|-|||||||DEM_DTC_KIND_EMISSION_REL_DTCS||3||||||||0|1|||2|0|0|0||0|||||0|
DEM_DTC_ORIGIN_PRIMARY_MEMORY|uint8|GDEXTINT|1|0|0|DEM_DTC_ORIGIN_PRIMARY_MEMORY|0|0|Phys|-|||||||DEM_DTC_ORIGIN_PRIMARY_MEMORY||3||||||||0|1|||1|0|0|0||0|||||0|
DEM_EVENT_STATUS_FAILED|uint8|HEADER|1|0|0|DEM_EVENT_STATUS_FAILED|0|0|Phys|-|||||||DEM_EVENT_STATUS_FAILED||3||||||||0|1|||1|0|0|0||0|||||0|
DEM_EVENT_STATUS_INIT|uint8|HEADER|1|0|0|DEM_EVENT_STATUS_INIT|0|0|Phys|-|||||||DEM_EVENT_STATUS_INIT||3||||||||0|1|||32|0|0|0||0|||||0|
DEM_EVENT_STATUS_PASSED|uint8|HEADER|1|0|0|DEM_EVENT_STATUS_PASSED|0|0|Phys|-|||||||DEM_EVENT_STATUS_PASSED||3||||||||0|1|||0|0|0|0||0|||||0|
DEM_EVENT_STATUS_PREFAILED|uint8|HEADER|1|0|0|DEM_EVENT_STATUS_PREFAILED|0|0|Phys|-|||||||DEM_EVENT_STATUS_PREFAILED||3||||||||0|1|||3|0|0|0||0|||||0|
DEM_EVENT_STATUS_PREPASSED|uint8|HEADER|1|0|0|DEM_EVENT_STATUS_PREPASSED|0|0|Phys|-|||||||DEM_EVENT_STATUS_PREPASSED||3||||||||0|1|||2|0|0|0||0|||||0|
DEM_FILTER_ACCEPTED|uint8|GDEXTINT|1|0|0|DEM_FILTER_ACCEPTED|0|0|Phys|-|||||||DEM_FILTER_ACCEPTED||3||||||||0|1|||0|0|0|0||0|||||0|
DEM_FILTER_FOR_FDC_NO|uint8|GDEXTINT|1|0|0|DEM_FILTER_FOR_FDC_NO|0|0|Phys|-|||||||DEM_FILTER_FOR_FDC_NO||3||||||||0|1|||1|0|0|0||0|||||0|
DEM_FILTER_WITH_SEVERITY_NO|uint8|GDEXTINT|1|0|0|DEM_FILTER_WITH_SEVERITY_NO|0|0|Phys|-|||||||DEM_FILTER_WITH_SEVERITY_NO||3||||||||0|1|||1|0|0|0||0|||||0|
DEM_FILTERED_NO_MATCHING_DTC|uint8|GDEXTINT|1|0|0|DEM_FILTERED_NO_MATCHING_DTC|0|0|Phys|-|||||||DEM_FILTERED_NO_MATCHING_DTC||3||||||||0|1|||1|0|0|0||0|||||0|
DEM_FILTERED_OK|uint8|GDEXTINT|1|0|0|DEM_FILTERED_OK|0|0|Phys|-|||||||DEM_FILTERED_OK||3||||||||0|1|||0|0|0|0||0|||||0|
DEM_GET_FFDATABYDTC_OK|uint8|GDEXTINT|1|0|0|DEM_GET_FFDATABYDTC_OK|0|0|Phys|-|||||||DEM_GET_FFDATABYDTC_OK||3||||||||0|1|||0|0|0|0||0|||||0|
